context,module,cell_type,n_cells,mean_score
STAD,VEGF_PDGF_AXIS,intestine goblet cell,1202,0.05324463646691571
STAD,VEGF_PDGF_AXIS,enterocyte,5575,0.07787216611406995
STAD,VEGF_PDGF_AXIS,type EC enteroendocrine cell,1158,0.038887138875757885
STAD,VEGF_PDGF_AXIS,parietal cell,1358,0.07327454406576059
STAD,VEGF_PDGF_AXIS,enteroendocrine cell,1928,0.040914634739230404
STAD,VEGF_PDGF_AXIS,BEST4+ enterocyte,64,0.04953568591736257
STAD,VEGF_PDGF_AXIS,type X enteroendocrine cell,606,0.03724303481356539
STAD,VEGF_PDGF_AXIS,type G enteroendocrine cell,480,0.03590320724761113
STAD,HGF_MET_AXIS,unknown,1846,0.0993349427177711
STAD,HGF_MET_AXIS,mucous neck cell of gastric gland,18372,0.04690169114149067
STAD,HGF_MET_AXIS,foveolar cell of stomach,14313,0.1258837760441135
STAD,HGF_MET_AXIS,epithelial cell,19556,0.09362213032796947
STAD,HGF_MET_AXIS,peptic cell,2355,0.012476505288526004
STAD,HGF_MET_AXIS,intestine goblet cell,1202,0.05521147191127802
STAD,HGF_MET_AXIS,enterocyte,5575,0.1011292398884692
STAD,HGF_MET_AXIS,type EC enteroendocrine cell,1158,0.07512672150922563
STAD,HGF_MET_AXIS,parietal cell,1358,0.044201917748826945
STAD,HGF_MET_AXIS,enteroendocrine cell,1928,0.035248879551949344
STAD,HGF_MET_AXIS,BEST4+ enterocyte,64,0.07266326667740941
STAD,HGF_MET_AXIS,type X enteroendocrine cell,606,0.021732950810552036
STAD,HGF_MET_AXIS,type G enteroendocrine cell,480,0.03180018202401698
STAD,EPH_RECEPTORS,unknown,1846,0.12470825936015643
STAD,EPH_RECEPTORS,mucous neck cell of gastric gland,18372,0.0604291359088778
STAD,EPH_RECEPTORS,foveolar cell of stomach,14313,0.07447350602983505
STAD,EPH_RECEPTORS,epithelial cell,19556,0.10081758636817044
STAD,EPH_RECEPTORS,peptic cell,2355,0.008412131410875138
STAD,EPH_RECEPTORS,intestine goblet cell,1202,0.10317972605232888
STAD,EPH_RECEPTORS,enterocyte,5575,0.10713542022579454
STAD,EPH_RECEPTORS,type EC enteroendocrine cell,1158,0.01027084171566115
STAD,EPH_RECEPTORS,parietal cell,1358,0.025265837359805872
STAD,EPH_RECEPTORS,enteroendocrine cell,1928,0.05296680251236897
STAD,EPH_RECEPTORS,BEST4+ enterocyte,64,0.05102533078752458
STAD,EPH_RECEPTORS,type X enteroendocrine cell,606,0.009145730030615338
STAD,EPH_RECEPTORS,type G enteroendocrine cell,480,0.024025641210998098
STAD,JAK_STAT,unknown,1846,0.1103821392599917
STAD,JAK_STAT,mucous neck cell of gastric gland,18372,0.0877556042806946
STAD,JAK_STAT,foveolar cell of stomach,14313,0.10068978340397722
STAD,JAK_STAT,epithelial cell,19556,0.10469681527273184
STAD,JAK_STAT,peptic cell,2355,0.04049050686465707
STAD,JAK_STAT,intestine goblet cell,1202,0.07860566272296494
STAD,JAK_STAT,enterocyte,5575,0.10768149296064013
STAD,JAK_STAT,type EC enteroendocrine cell,1158,0.12517580195669478
STAD,JAK_STAT,parietal cell,1358,0.08431545345439125
STAD,JAK_STAT,enteroendocrine cell,1928,0.11852443782821359
STAD,JAK_STAT,BEST4+ enterocyte,64,0.11754592205397785
STAD,JAK_STAT,type X enteroendocrine cell,606,0.10684992487944982
STAD,JAK_STAT,type G enteroendocrine cell,480,0.09535852017967651
STAD,SRC_FAK,unknown,1846,0.07978360312925258
STAD,SRC_FAK,mucous neck cell of gastric gland,18372,0.08447167880353801
STAD,SRC_FAK,foveolar cell of stomach,14313,0.08809576515535976
STAD,SRC_FAK,epithelial cell,19556,0.08325070226324982
STAD,SRC_FAK,peptic cell,2355,0.053331942375425066
STAD,SRC_FAK,intestine goblet cell,1202,0.08826061111941512
STAD,SRC_FAK,enterocyte,5575,0.09566810142165343
STAD,SRC_FAK,type EC enteroendocrine cell,1158,0.06235285753799226
STAD,SRC_FAK,parietal cell,1358,0.07630823783038818
STAD,SRC_FAK,enteroendocrine cell,1928,0.08026809540202386
STAD,SRC_FAK,BEST4+ enterocyte,64,0.10440901760011911
STAD,SRC_FAK,type X enteroendocrine cell,606,0.045862138086911475
STAD,SRC_FAK,type G enteroendocrine cell,480,0.06976427172776312
STAD,WNT_CTNNB1,unknown,1846,0.24330229965217193
STAD,WNT_CTNNB1,mucous neck cell of gastric gland,18372,0.20666859763287757
STAD,WNT_CTNNB1,foveolar cell of stomach,14313,0.2614970481675047
STAD,WNT_CTNNB1,epithelial cell,19556,0.27690424332934294
STAD,WNT_CTNNB1,peptic cell,2355,0.09170253287898
STAD,WNT_CTNNB1,intestine goblet cell,1202,0.21346739297748207
STAD,WNT_CTNNB1,enterocyte,5575,0.16341263111263113
STAD,WNT_CTNNB1,type EC enteroendocrine cell,1158,0.10794486092574032
STAD,WNT_CTNNB1,parietal cell,1358,0.11113589627884976
STAD,WNT_CTNNB1,enteroendocrine cell,1928,0.13895736010629237
STAD,WNT_CTNNB1,BEST4+ enterocyte,64,0.1492092818953097
STAD,WNT_CTNNB1,type X enteroendocrine cell,606,0.11933745849545639
STAD,WNT_CTNNB1,type G enteroendocrine cell,480,0.10929373564043393
