"context","gene","n_mutated","n_sequenced","mutated_percent"
"HCC","FLT1",4,367,1.08991825613079
"HCC","FLT3",3,367,0.817438692098093
"HCC","FLT4",8,367,2.17983651226158
"HCC","FYN",1,367,0.272479564032698
"HCC","HGF",9,367,2.45231607629428
"HCC","IGF1R",10,367,2.72479564032698
"HCC","IGF2",1,367,0.272479564032698
"HCC","INSR",3,367,0.817438692098093
"HCC","JAK1",10,367,2.72479564032698
"HCC","JAK2",4,367,1.08991825613079
"HCC","JAK3",7,367,1.90735694822888
"HCC","KDR",7,367,1.90735694822888
"HCC","KIT",10,367,2.72479564032698
"HCC","KRAS",5,367,1.36239782016349
"HCC","MAP2K1",1,367,0.272479564032698
"HCC","MAP2K2",3,367,0.817438692098093
"HCC","MAPK1",3,367,0.817438692098093
"HCC","MERTK",3,367,0.817438692098093
"HCC","MET",2,367,0.544959128065395
"HCC","MST1R",5,367,1.36239782016349
"HCC","MTOR",7,367,1.90735694822888
"HCC","MYC",1,367,0.272479564032698
"HCC","NRAS",5,367,1.36239782016349
"HCC","NRG1",3,367,0.817438692098093
"HCC","NTRK1",4,367,1.08991825613079
"HCC","NTRK2",7,367,1.90735694822888
"HCC","NTRK3",7,367,1.90735694822888
"HCC","PDGFA",1,367,0.272479564032698
"HCC","PDGFB",1,367,0.272479564032698
"HCC","PDGFRA",7,367,1.90735694822888
"HCC","PDGFRB",1,367,0.272479564032698
"HCC","PIK3CA",13,367,3.54223433242507
"HCC","PIK3CB",3,367,0.817438692098093
"HCC","PIK3CD",4,367,1.08991825613079
"HCC","PTK2",6,367,1.63487738419619
"HCC","PTK2B",6,367,1.63487738419619
"HCC","RAF1",1,367,0.272479564032698
"HCC","RET",2,367,0.544959128065395
"HCC","ROS1",4,367,1.08991825613079
"HCC","RPS6KB1",2,367,0.544959128065395
"HCC","RPTOR",3,367,0.817438692098093
"HCC","SMAD3",3,367,0.817438692098093
"HCC","SRC",3,367,0.817438692098093
"HCC","STAT1",4,367,1.08991825613079
"HCC","STAT3",4,367,1.08991825613079
"HCC","STAT5A",1,367,0.272479564032698
"HCC","STAT5B",1,367,0.272479564032698
"HCC","STAT6",2,367,0.544959128065395
"HCC","TEK",9,367,2.45231607629428
"HCC","TGFA",1,367,0.272479564032698
"HCC","TGFB1",4,367,1.08991825613079
"HCC","TGFBR1",1,367,0.272479564032698
"HCC","TGFBR2",1,367,0.272479564032698
"HCC","TP53",110,367,29.9727520435967
"HCC","TYK2",1,367,0.272479564032698
"HCC","TYRO3",3,367,0.817438692098093
"HCC","VEGFC",4,367,1.08991825613079
"HCC","YES1",2,367,0.544959128065395
"LUAD","AKT1",3,508,0.590551181102362
"LUAD","AKT2",6,508,1.18110236220472
"LUAD","ALK",28,508,5.51181102362205
"LUAD","ANGPT1",15,508,2.95275590551181
"LUAD","ANGPT2",5,508,0.984251968503937
"LUAD","AREG",2,508,0.393700787401575
"LUAD","AXIN2",6,508,1.18110236220472
"LUAD","AXL",5,508,0.984251968503937
"LUAD","BRAF",41,508,8.07086614173228
"LUAD","CCND1",2,508,0.393700787401575
"LUAD","CSF1R",16,508,3.1496062992126
"LUAD","CTNNB1",19,508,3.74015748031496
"LUAD","DUSP6",5,508,0.984251968503937
"LUAD","EGF",14,508,2.75590551181102
"LUAD","EGFR",76,508,14.9606299212598
"LUAD","EPHA1",7,508,1.37795275590551
"LUAD","EPHA2",9,508,1.77165354330709
"LUAD","EPHB2",9,508,1.77165354330709
"LUAD","EPHB4",9,508,1.77165354330709
"LUAD","ERBB2",13,508,2.55905511811024
"LUAD","ERBB3",11,508,2.16535433070866
"LUAD","ERBB4",41,508,8.07086614173228
"LUAD","EREG",4,508,0.78740157480315
"LUAD","ETV4",1,508,0.196850393700787
"LUAD","ETV5",5,508,0.984251968503937
"LUAD","FGF1",2,508,0.393700787401575
"LUAD","FGF10",8,508,1.5748031496063
"LUAD","FGF2",2,508,0.393700787401575
"LUAD","FGF7",4,508,0.78740157480315
"LUAD","FGFR1",5,508,0.984251968503937
"LUAD","FGFR2",10,508,1.96850393700787
"LUAD","FGFR3",2,508,0.393700787401575
"LUAD","FGFR4",11,508,2.16535433070866
"LUAD","FLT1",26,508,5.11811023622047
"LUAD","FLT3",21,508,4.13385826771654
"LUAD","FLT4",20,508,3.93700787401575
"LUAD","FYN",5,508,0.984251968503937
"LUAD","HGF",46,508,9.05511811023622
"LUAD","HRAS",3,508,0.590551181102362
"LUAD","IGF1",3,508,0.590551181102362
"LUAD","IGF1R",10,508,1.96850393700787
"LUAD","IGF2",4,508,0.78740157480315
"LUAD","INSR",11,508,2.16535433070866
"LUAD","JAK1",9,508,1.77165354330709
"LUAD","JAK2",14,508,2.75590551181102
"LUAD","JAK3",9,508,1.77165354330709
"LUAD","KDR",44,508,8.66141732283465
"LUAD","KIT",6,508,1.18110236220472
"LUAD","KRAS",149,508,29.3307086614173
"LUAD","MAP2K1",10,508,1.96850393700787
"LUAD","MAP2K2",2,508,0.393700787401575
"LUAD","MAPK1",3,508,0.590551181102362
"LUAD","MAPK3",3,508,0.590551181102362
"LUAD","MERTK",10,508,1.96850393700787
"LUAD","MET",19,508,3.74015748031496
"LUAD","MST1R",8,508,1.5748031496063
"LUAD","MTOR",26,508,5.11811023622047
"LUAD","MYC",3,508,0.590551181102362
"LUAD","NRAS",4,508,0.78740157480315
"LUAD","NRG1",15,508,2.95275590551181
"LUAD","NTRK1",11,508,2.16535433070866
"LUAD","NTRK2",22,508,4.33070866141732
"LUAD","NTRK3",41,508,8.07086614173228
"LUAD","PDGFA",3,508,0.590551181102362
"LUAD","PDGFB",1,508,0.196850393700787
"LUAD","PDGFRA",37,508,7.28346456692913
"LUAD","PDGFRB",14,508,2.75590551181102
"LUAD","PDPK1",3,508,0.590551181102362
"LUAD","PGF",2,508,0.393700787401575
"LUAD","PIK3CA",25,508,4.92125984251969
"LUAD","PIK3CB",9,508,1.77165354330709
"LUAD","PIK3CD",2,508,0.393700787401575
"LUAD","PTK2",8,508,1.5748031496063
"LUAD","PTK2B",10,508,1.96850393700787
"LUAD","RAF1",4,508,0.78740157480315
"LUAD","RET",16,508,3.1496062992126
"LUAD","ROS1",22,508,4.33070866141732
"LUAD","RPS6KB1",3,508,0.590551181102362
"LUAD","RPTOR",16,508,3.1496062992126
"LUAD","SMAD2",8,508,1.5748031496063
"LUAD","SMAD3",8,508,1.5748031496063
"LUAD","SRC",2,508,0.393700787401575
"LUAD","STAT1",10,508,1.96850393700787
"LUAD","STAT3",8,508,1.5748031496063
"LUAD","STAT5A",4,508,0.78740157480315
"LUAD","STAT5B",7,508,1.37795275590551
"LUAD","STAT6",3,508,0.590551181102362
"LUAD","TEK",6,508,1.18110236220472
"LUAD","TGFA",1,508,0.196850393700787
"LUAD","TGFB1",3,508,0.590551181102362
"LUAD","TGFBR1",5,508,0.984251968503937
"LUAD","TGFBR2",4,508,0.78740157480315
"LUAD","TP53",284,508,55.9055118110236
"LUAD","TYK2",6,508,1.18110236220472
"LUAD","TYRO3",11,508,2.16535433070866
"LUAD","VEGFA",1,508,0.196850393700787
"LUAD","VEGFC",19,508,3.74015748031496
"LUAD","YES1",6,508,1.18110236220472
"PAAD","AKT2",1,182,0.549450549450549
"PAAD","ALK",2,182,1.0989010989011
"PAAD","AXIN2",1,182,0.549450549450549
"PAAD","AXL",2,182,1.0989010989011
"PAAD","BRAF",2,182,1.0989010989011
"PAAD","CSF1R",1,182,0.549450549450549
"PAAD","CTNNB1",4,182,2.1978021978022
"PAAD","DUSP6",1,182,0.549450549450549
"PAAD","EGF",3,182,1.64835164835165
"PAAD","EGFR",1,182,0.549450549450549
"PAAD","EPHA1",2,182,1.0989010989011
"PAAD","EPHA2",1,182,0.549450549450549
"PAAD","EPHB2",2,182,1.0989010989011
"PAAD","EPHB4",2,182,1.0989010989011
"PAAD","ERBB2",2,182,1.0989010989011
"PAAD","ERBB3",1,182,0.549450549450549
"PAAD","ERBB4",2,182,1.0989010989011
"PAAD","ETV5",2,182,1.0989010989011
"PAAD","FGF2",1,182,0.549450549450549
"PAAD","FGFR3",1,182,0.549450549450549
"PAAD","FGFR4",1,182,0.549450549450549
"PAAD","FLT1",3,182,1.64835164835165
"PAAD","FLT3",2,182,1.0989010989011
"PAAD","FLT4",5,182,2.74725274725275
"PAAD","HRAS",1,182,0.549450549450549
"PAAD","IGF1R",1,182,0.549450549450549
"PAAD","INSR",2,182,1.0989010989011
"PAAD","JAK2",1,182,0.549450549450549
"PAAD","JAK3",1,182,0.549450549450549
"PAAD","KDR",1,182,0.549450549450549
"PAAD","KIT",1,182,0.549450549450549
"PAAD","KRAS",107,182,58.7912087912088
"PAAD","MERTK",2,182,1.0989010989011
"PAAD","MET",1,182,0.549450549450549
"PAAD","MST1R",1,182,0.549450549450549
"PAAD","MTOR",3,182,1.64835164835165
"PAAD","NRG1",1,182,0.549450549450549
"PAAD","NTRK1",3,182,1.64835164835165
"PAAD","NTRK2",1,182,0.549450549450549
"PAAD","NTRK3",1,182,0.549450549450549
"PAAD","PDGFRA",1,182,0.549450549450549
"PAAD","PDGFRB",2,182,1.0989010989011
"PAAD","PIK3CA",4,182,2.1978021978022
"PAAD","PIK3CD",1,182,0.549450549450549
"PAAD","PTK2",1,182,0.549450549450549
"PAAD","PTK2B",1,182,0.549450549450549
"PAAD","RET",1,182,0.549450549450549
"PAAD","ROS1",1,182,0.549450549450549
"PAAD","RPTOR",2,182,1.0989010989011
"PAAD","SMAD2",1,182,0.549450549450549
"PAAD","SMAD3",1,182,0.549450549450549
"PAAD","SRC",2,182,1.0989010989011
"PAAD","STAT1",2,182,1.0989010989011
"PAAD","STAT3",1,182,0.549450549450549
"PAAD","STAT5A",1,182,0.549450549450549
"PAAD","STAT6",1,182,0.549450549450549
"PAAD","TEK",2,182,1.0989010989011
"PAAD","TGFB1",1,182,0.549450549450549
"PAAD","TGFBR1",3,182,1.64835164835165
"PAAD","TGFBR2",8,182,4.3956043956044
"PAAD","TP53",100,182,54.9450549450549
"PAAD","TYK2",1,182,0.549450549450549
"PAAD","YES1",1,182,0.549450549450549
"STAD","AKT1",3,436,0.688073394495413
"STAD","AKT2",8,436,1.8348623853211
"STAD","ALK",17,436,3.89908256880734
"STAD","ANGPT1",11,436,2.52293577981651
"STAD","ANGPT2",14,436,3.21100917431193
"STAD","AREG",2,436,0.458715596330275
"STAD","AXIN2",19,436,4.35779816513761
"STAD","AXL",18,436,4.12844036697248
"STAD","BRAF",22,436,5.04587155963303
"STAD","CCND1",3,436,0.688073394495413
"STAD","CSF1R",17,436,3.89908256880734
"STAD","CTNNB1",26,436,5.96330275229358
"STAD","DUSP6",4,436,0.917431192660551
"STAD","EGF",11,436,2.52293577981651
"STAD","EGFR",17,436,3.89908256880734
"STAD","EPHA1",12,436,2.75229357798165
"STAD","EPHA2",29,436,6.65137614678899
"STAD","EPHB2",18,436,4.12844036697248
"STAD","EPHB4",9,436,2.06422018348624
"STAD","ERBB2",19,436,4.35779816513761
"STAD","ERBB3",40,436,9.1743119266055
"STAD","ERBB4",47,436,10.7798165137615
"STAD","EREG",3,436,0.688073394495413
"STAD","ETV4",8,436,1.8348623853211
"STAD","ETV5",10,436,2.29357798165138
