"disease","feature","k","accession","n_case","n_control","smd_min","smd_max","smd_DL","se_DL","p_DL","smd_REML","se_HK","p_REML_HK","ci_lo","ci_hi","I2","tau2_REML","fdr_DL","fdr_REML_HK"
"IBD","HGF_MET_AXIS",3,"GSE75214;GSE87473;GSE179285",202,75,1.22712495174091,1.91260940648997,1.51795870480367,0.202549120192298,6.66660785071549e-14,1.51802456231944,0.203688403468571,0.0175321645832124,0.641624097117083,2.3944250275218,37.7916725290518,0.0450958038029855,2.52269872138344e-13,0.0496744663191018
"NAFLD","HGF_MET_AXIS",2,"GSE33814;GSE66676",62,47,-0.375275573851173,-0.0197437449377738,-0.146888440284162,0.199041439747921,0.460527095568637,-0.146888440284162,0.170406022541495,0.547099565665879,-2.3121022509736,2.01832537040527,0,0,0.872548557125363,0.930302148823174
"STAD","HGF_MET_AXIS",1,"GSE13911",38,31,0.505039325073007,0.505039325073007,0.505039325073007,0.245809172044772,0.0399177342529516,0.505039325073007,NA,NA,NA,NA,0,0,NA,NA
"Asthma","IGF_INSR_AXIS",3,"GSE4302;GSE43696;GSE67472",192,91,-1.14926724161031,-0.370399123536866,-0.805779592992499,0.231622674626383,0.00050357806636618,-0.805940861795195,0.228692066731956,0.071938069650271,-1.78992340699149,0.1780416834011,64.6244297971453,0.101898224939233,0.00428041356411253,0.244589436810922
"COPD","IGF_INSR_AXIS",2,"GSE76925;GSE47460",256,131,-0.496975143115682,0.0724020169004024,-0.197419292143299,0.284300108760212,0.487428534372488,-0.197378410209387,0.28429796792126,0.613656303038534,-3.80972659669534,3.41496977627657,83.7368674013892,0.135288915844049,0.522244858256237,0.657488896112715
"CRC","IGF_INSR_AXIS",2,"GSE41258;GSE23878",217,77,-0.880941992248855,-0.691015583482067,-0.831682224468072,0.138804410944742,2.07586652478521e-09,-0.831682224468072,0.0832418528714575,0.0635068375115581,-1.88937024967134,0.226005800735198,0,0,7.0579461842697e-09,0.179936039616081
"HCC","IGF_INSR_AXIS",1,"GSE62232",81,5,-0.978418910015154,-0.978418910015154,-0.978418910015154,0.466809808599438,0.0360849367611781,-0.978418910015154,NA,NA,NA,NA,0,0,NA,NA
"IBD","IGF_INSR_AXIS",3,"GSE75214;GSE87473;GSE179285",202,75,-0.79234636144423,-0.371315357765053,-0.560813854368219,0.146621452715835,0.000130819890688963,-0.560813854368219,0.125518150085327,0.0466178665493934,-1.10087486546595,-0.020752843270486,0,0,0.000247104237968041,0.0824466198451573
"NAFLD","IGF_INSR_AXIS",2,"GSE33814;GSE66676",62,47,-1.51667627547119,-0.399879251219566,-0.925854173477798,0.557456374225302,0.0967425837373671,-0.925743733816737,0.557449939695889,0.345053943435026,-8.00881679776094,6.15732933012746,84.1071847690276,0.522390446356577,0.515960446599291,0.930302148823174
"STAD","IGF_INSR_AXIS",1,"GSE13911",38,31,-0.139782666960805,-0.139782666960805,-0.139782666960805,0.242312695399986,0.564027996179236,-0.139782666960805,NA,NA,NA,NA,0,0,NA,NA
"Asthma","JAK_STAT",3,"GSE4302;GSE43696;GSE67472",192,91,-0.409348219328128,-0.0457815168535684,-0.173902122370978,0.131039642318047,0.184477086837911,-0.173902122370978,0.10669770656056,0.244694041652824,-0.632985300761777,0.285181056019822,0,0,0.285100952385862,0.37764806705092
"COPD","JAK_STAT",2,"GSE76925;GSE47460",256,131,0.243918852114403,0.359291971130084,0.28354006011612,0.108747880321008,0.00912551700894792,0.28354006011612,0.05478487220768,0.121508688001603,-0.412567742599829,0.979647862832069,0,0,0.0301334898112119,0.414562421898681
"CRC","JAK_STAT",2,"GSE41258;GSE23878",217,77,-0.063384206898812,-0.0371989780618045,-0.0439406268550142,0.134507491119312,0.743911505271012,-0.0439406268550142,0.0114490955074165,0.162268616125971,-0.189415178416266,0.101533924706238,0,0,0.79040597435045,0.229880539511792
"HCC","JAK_STAT",1,"GSE62232",81,5,1.00723085001967,1.00723085001967,1.00723085001967,0.467165940684661,0.0310801415749099,1.00723085001967,NA,NA,NA,NA,0,0,NA,NA
"IBD","JAK_STAT",3,"GSE75214;GSE87473;GSE179285",202,75,1.35759154506285,1.9986501550238,1.77491956509162,0.190276015999197,1.07754382900358e-20,1.7761323946411,0.192039574624333,0.01148935312048,0.949852794663783,2.60241199461841,25.8826037977055,0.0221935882883912,1.83182450930609e-19,0.0390638006096319
"NAFLD","JAK_STAT",2,"GSE33814;GSE66676",62,47,-0.336287801351052,0.347742572909844,-0.0293701343475955,0.340209571159911,0.931204459954617,-0.0297519335868168,0.340169966524362,0.944461312404909,-4.35202117334305,4.29251730616942,63.0057829413537,0.144883694071011,0.931204459954617,0.944461312404909
"STAD","JAK_STAT",1,"GSE13911",38,31,0.797754763691784,0.797754763691784,0.797754763691784,0.251367340666066,0.00150529312663429,0.797754763691784,NA,NA,NA,NA,0,0,NA,NA
"Asthma","PDGFR_KIT_CSF1R",3,"GSE4302;GSE43696;GSE67472",192,91,0.196117065060595,0.533418393384907,0.351668556063008,0.131880277062131,0.00766286685976117,0.351668556063008,0.111462158397344,0.0874778627208956,-0.127914404029091,0.831251516155106,0,0,0.032567184153985,0.247853944375871
"COPD","PDGFR_KIT_CSF1R",2,"GSE76925;GSE47460",256,131,0.115707372899228,0.593164651138352,0.37058650958995,0.238181704931512,0.119732277921223,0.37066146123071,0.238176610803306,0.363596194368322,-2.65565931900429,3.39698224146571,76.889333117915,0.0871140276945097,0.224498021102293,0.605993657280537
"CRC","PDGFR_KIT_CSF1R",2,"GSE41258;GSE23878",217,77,-1.07629322072237,-1.06919679692872,-1.07097636700863,0.141687745654945,4.07091069993141e-14,-1.07097636700863,0.00307598988753714,0.00182845360341675,-1.11006052428608,-1.03189220973118,0,0,1.73013704747085e-13,0.0124566041344592
"HCC","PDGFR_KIT_CSF1R",1,"GSE62232",81,5,0.0294290951468313,0.0294290951468313,0.0294290951468313,0.460815271353484,0.949079228348845,0.0294290951468313,NA,NA,NA,NA,100,0,NA,NA
"IBD","PDGFR_KIT_CSF1R",3,"GSE75214;GSE87473;GSE179285",202,75,0.917278008025534,1.63885527969242,1.33831142516834,0.205191161095181,6.92528485992464e-11,1.33855384315113,0.208034264818138,0.0233131448051032,0.443454645749944,2.23365304055231,42.2522084437928,0.0516489113739953,1.96216404364531e-10,0.0566176373838222
"NAFLD","PDGFR_KIT_CSF1R",2,"GSE33814;GSE66676",62,47,-0.0153732472290403,0.347887601939444,0.114703652647869,0.198967802724611,0.564281636049568,0.114703652647869,0.174160400851923,0.629230330174679,-2.09821405751092,2.32762136280666,0,0,0.872548557125363,0.930302148823174
"STAD","PDGFR_KIT_CSF1R",1,"GSE13911",38,31,-0.760450675627649,-0.760450675627649,-0.760450675627649,0.250528095572983,0.00240224198886371,-0.760450675627649,NA,NA,NA,NA,0,0,NA,NA
"Asthma","PI3K_AKT",3,"GSE4302;GSE43696;GSE67472",192,91,0.220002837077129,0.357032591307492,0.306725844368105,0.131483998770802,0.019658655849578,0.306725844368105,0.0401788010883611,0.016729661786379,0.133850416187207,0.479601272549003,0,0,0.0668394298885652,0.196477689469962
"COPD","PI3K_AKT",2,"GSE76925;GSE47460",256,131,0.0657859401735249,0.11271548355413,0.0819526261339448,0.10830606279153,0.449243843152293,0.0819526261339448,0.022300974309597,0.169141612174884,-0.201408119259967,0.365313371527857,0,0,0.522244858256237,0.414562421898681
"CRC","PI3K_AKT",2,"GSE41258;GSE23878",217,77,-0.052317484779079,0.237396261618447,0.0219307772131398,0.134622145439568,0.870592318020032,0.0219307772131398,0.126482954331426,0.890703655203745,-1.58518753615819,1.62904909058447,0,0,0.870592318020032,0.890703655203745
"HCC","PI3K_AKT",1,"GSE62232",81,5,1.43359838858849,1.43359838858849,1.43359838858849,0.473597446628285,0.00246961321385039,1.43359838858849,NA,NA,NA,NA,0,0,NA,NA
"IBD","PI3K_AKT",3,"GSE75214;GSE87473;GSE179285",202,75,-0.0552311869002492,0.579935245604522,0.223323640626603,0.190656760790336,0.241462665133889,0.22335666310029,0.19047510984559,0.361707134857573,-0.596191588226167,1.04290491442675,41.6317150446307,0.0451536746943654,0.31575886979047,0.473001637890672
"NAFLD","PI3K_AKT",2,"GSE33814;GSE66676",62,47,-0.366855853442398,-0.228810124407741,-0.278403246304045,0.19943144468622,0.162719101308674,-0.278403246304045,0.0662317214622889,0.148687011916438,-1.11995705923318,0.563150566625094,0,0,0.650876405234695,0.792997396887671
"STAD","PI3K_AKT",1,"GSE13911",38,31,0.721927507702685,0.721927507702685,0.721927507702685,0.249700852571952,0.00383810961486835,0.721927507702685,NA,NA,NA,NA,0,0,NA,NA
"Asthma","RAS_MAPK",3,"GSE4302;GSE43696;GSE67472",192,91,0.174191695989983,0.431451715948474,0.291886544892557,0.131477189353881,0.0264150584762444,0.291886544892557,0.0690126893616247,0.0516126273292936,-0.00505109137658932,0.588824181161703,0,0,0.0748426656826924,0.240016575049419
"COPD","RAS_MAPK",2,"GSE76925;GSE47460",256,131,-0.317506308076257,-0.0937979345385743,-0.239847297199202,0.108702048317176,0.0273514375485351,-0.239847297199202,0.106499056537834,0.266028769415151,-1.59304611377836,1.11335151937996,0,0,0.0683785938713378,0.498803942653408
"CRC","RAS_MAPK",2,"GSE41258;GSE23878",217,77,-0.305874800073809,0.0961889481067344,-0.161743121937313,0.19281126030569,0.401543603108507,-0.167966881076763,0.190864299159469,0.540568414884256,-2.59312774302347,2.25719398086994,41.3084370738346,0.0254193625281145,0.487588660917472,0.61264420353549
"HCC","RAS_MAPK",1,"GSE62232",81,5,0.82239057273972,0.82239057273972,0.82239057273972,0.465056779755794,0.0769997456002424,0.82239057273972,NA,NA,NA,NA,0,0,NA,NA
"IBD","RAS_MAPK",3,"GSE75214;GSE87473;GSE179285",202,75,0.0740114049690514,0.484808797369852,0.226166263158485,0.145004439601899,0.118826163797991,0.226166263158485,0.137569361194233,0.241896786663381,-0.365746924313772,0.818079450630742,0,0,0.168337065380487,0.34268711443979
"NAFLD","RAS_MAPK",2,"GSE33814;GSE66676",62,47,-0.0240393644849775,0.996569117204344,0.457462126102471,0.509490745550561,0.369248926044381,0.457369479900974,0.509485499585159,0.534282299096953,-6.01625758794031,6.93099654774226,82.5140241378749,0.428080342827976,0.872548557125363,0.930302148823174
"STAD","RAS_MAPK",1,"GSE13911",38,31,0.848969030166778,0.848969030166778,0.848969030166778,0.252580024121737,0.000776078880286175,0.848969030166778,NA,NA,NA,NA,0,0,NA,NA
"Asthma","RET_ALK_NTRK",3,"GSE4302;GSE43696;GSE67472",192,91,-0.21594266945311,0.553607016792788,0.0620605351838315,0.234346271072574,0.791144987315651,0.0622879878986838,0.238062001234919,0.81807566408027,-0.962010131564361,1.08658610736173,67.7559215590015,0.113855864686726,0.791144987315651,0.81807566408027
"COPD","RET_ALK_NTRK",2,"GSE76925;GSE47460",256,131,0.577080872970195,0.755087117416415,0.692385334106125,0.111211181302738,4.78919147659019e-10,0.692385334106125,0.085028203184913,0.0777904354006377,-0.388000423910441,1.77277109212269,0,0,7.18378721488528e-09,0.388952177003188
