disease,feature,n_cohorts,per_cohort_robust,n_fdr_raw,median_smd,meta_k,meta_est,meta_ci_lo,meta_ci_hi,meta_p,meta_fdr,meta_I2,meta_measures,dl_fdr,adhoc_fdr,joint_n,joint_n_fdr,joint_median_d_adj,joint_robust,xcell_resid_robust,sc_hits,sc_cells,sc_families,sc_median_pairs,tcga_hr,tcga_fdr,crc_ext_hr,crc_ext_p,crc_ext_model
COPD,IGF_INSR_AXIS,2,FALSE,0,-0.21228656310764,2,-0.210949165213156,-3.95492284669463,3.53302451626832,0.604451033210723,0.647626107011489,85.3109223126387,SMDH 2,0.507904752276821,0.647626107011489,2,0,-0.168108769913739,FALSE,FALSE,0,,,,,,,,
COPD,JAK_STAT,2,FALSE,0,0.301605411622243,2,0.281843560148177,-0.39645708784532,0.960144208141674,0.119169166834585,0.415475115455989,0,SMDH 2,0.0342633078805873,0.647626107011489,2,0,-0.00422615683441051,FALSE,FALSE,0,,,,,,,,
COPD,PDGFR_KIT_CSF1R,2,FALSE,0,0.35443601201879,2,0.371803118091228,-2.63880578516514,3.38241202134759,0.361202874199515,0.593654657869055,77.6630378048515,SMDH 2,0.218633461371726,0.647626107011489,2,0,0.18488109291221,FALSE,FALSE,0,,,,,,,,
COPD,PI3K_AKT,2,FALSE,0,0.0892507118638277,2,0.0802568755174248,-0.174151699361193,0.334665450396043,0.15564593484738,0.415475115455989,0,SMDH 2,0.507904752276821,0.647626107011489,2,0,-0.041834351094033,FALSE,FALSE,0,,,,,,,,
COPD,RAS_MAPK,2,FALSE,0,-0.205652121307416,2,-0.237101474889345,-1.57655409363027,1.10235114385158,0.266336808287633,0.499381515539311,0,SMDH 2,0.073365397803104,0.647626107011489,2,1,-0.296557114908526,FALSE,FALSE,0,,,,,,,,
COPD,RET_ALK_NTRK,2,FALSE,0,0.666083995193305,2,0.702221519290602,-0.347678551290462,1.75212158987167,0.0745668255091956,0.372834127545978,0,SMDH 2,3.14965891567636e-09,0.647626107011489,2,1,0.520547215188449,FALSE,FALSE,0,,,,,,,,
COPD,SRC_FAK,2,FALSE,0,-0.279647415935864,2,-0.278477921330642,-0.356385646253898,-0.200570196407386,0.0140147018466033,0.21022052769905,0,SMDH 2,0.0342633078805873,0.647626107011489,2,0,-0.256866347413517,FALSE,FALSE,0,,,,,,,,
COPD,TAM_AXL_AXIS,1,FALSE,0,0.245449692270371,1,0.261304594832462,-0.080091930622467,0.602701120287391,0.133574340024779,NA,0,SMDH 1,NA,NA,1,0,0.09220528404488,FALSE,FALSE,0,,,,,,,,
COPD,TGFB_SMAD,2,FALSE,0,-0.174845200133924,2,-0.19689401287086,-0.983299083834042,0.589511058092322,0.193888387212795,0.415475115455989,0,SMDH 2,0.15106316049961,0.647626107011489,2,0,-0.043632482065095,FALSE,FALSE,0,,,,,,,,
COPD,TIE_ANGPT_AXIS,2,FALSE,0,0.0781973333170006,2,0.107227125265384,-0.868884732939139,1.08333898346991,0.395769771912703,0.593654657869055,0,SMDH 2,0.500239662284905,0.647626107011489,2,0,0.255373807447557,FALSE,FALSE,0,,,,,,,,
