"accession","disease","role","feature","smd","p_value","fdr"
"GSE179285","IBD","validation","RAS_MAPK",0.32107216428542,0.232989981357452,0.565281431855468
"GSE179285","IBD","validation","RET_ALK_NTRK",0.149417909291763,0.586732787292707,0.654597349936989
"GSE179285","IBD","validation","SRC_FAK",0.406014389411356,0.140146692582781,0.476498754781456
"GSE179285","IBD","validation","TAM_AXL_AXIS",0.178658627587244,0.525110064184067,0.654597349936989
"GSE179285","IBD","validation","TGFB_SMAD",0.264874386143545,0.332518489326746,0.565281431855468
"GSE179285","IBD","validation","TIE_ANGPT_AXIS",0.322011122278515,0.252106104942352,0.565281431855468
"GSE179285","IBD","validation","VEGF_PDGF_AXIS",0.792771567277514,0.00316212716381939,0.0537561617849296
"GSE179285","IBD","validation","WNT_CTNNB1",0.145374023785202,0.602183211238541,0.654597349936989
"GSE4302","Asthma","discovery","EPH_RECEPTORS",0.146533843805218,0.541063107881209,0.668901174057018
"GSE4302","Asthma","discovery","ERBB_LIGANDS",-0.31130289199774,0.225439258730425,0.5044223430713
"GSE4302","Asthma","discovery","ERBB_RECEPTORS",-0.281024601207333,0.237375220268847,0.5044223430713
"GSE4302","Asthma","discovery","FGFR_AXIS",0.155134499327179,0.534461319969077,0.668901174057018
"GSE4302","Asthma","discovery","HGF_MET_AXIS",-0.449095856858324,0.0511732647856328,0.434972750677879
"GSE4302","Asthma","discovery","IGF_INSR_AXIS",-0.65405178536525,0.00607116722373676,0.103209842803525
"GSE4302","Asthma","discovery","JAK_STAT",-0.294407741370683,0.206155228745392,0.5044223430713
"GSE4302","Asthma","discovery","PDGFR_KIT_CSF1R",0.281223103744844,0.229715488087888,0.5044223430713
"GSE4302","Asthma","discovery","PI3K_AKT",0.144595159302446,0.550859790399897,0.668901174057018
"GSE4302","Asthma","discovery","RAS_MAPK",0.205437392704502,0.401740177821113,0.661132195044124
"GSE4302","Asthma","discovery","RET_ALK_NTRK",0.0380313756858637,0.87860036297634,0.87860036297634
"GSE4302","Asthma","discovery","SRC_FAK",0.190890849115779,0.427791420322668,0.661132195044124
"GSE4302","Asthma","discovery","TAM_AXL_AXIS",0.219005640749343,0.374866291514312,0.661132195044124
"GSE4302","Asthma","discovery","TGFB_SMAD",-0.0484553650387506,0.84140799692015,0.87860036297634
"GSE4302","Asthma","discovery","TIE_ANGPT_AXIS",-0.0385246034124955,0.874245692850607,0.87860036297634
"GSE4302","Asthma","discovery","VEGF_PDGF_AXIS",-0.390354163030359,0.111018666668593,0.5044223430713
"GSE4302","Asthma","discovery","WNT_CTNNB1",-0.340301566206714,0.147865683095958,0.5044223430713
"GSE43696","Asthma","validation","EPH_RECEPTORS",-0.0401435896522462,0.884758493048149,0.901988761977854
"GSE43696","Asthma","validation","ERBB_LIGANDS",0.0371272965777956,0.901988761977854,0.901988761977854
"GSE43696","Asthma","validation","ERBB_RECEPTORS",-0.405392402943333,0.0819765711266854,0.372000996111435
"GSE43696","Asthma","validation","FGFR_AXIS",-0.132769779211493,0.573219610422417,0.81206111476509
"GSE43696","Asthma","validation","HGF_MET_AXIS",-0.0684939696987698,0.787283087741674,0.901988761977854
"GSE43696","Asthma","validation","IGF_INSR_AXIS",-0.310949188576445,0.222516598289014,0.472847771364155
"GSE43696","Asthma","validation","JAK_STAT",-0.410771160649672,0.112045484192483,0.372000996111435
"GSE43696","Asthma","validation","PDGFR_KIT_CSF1R",0.335118545069032,0.106648588181991,0.372000996111435
"GSE43696","Asthma","validation","PI3K_AKT",0.163401242190788,0.558589406891616,0.81206111476509
"GSE43696","Asthma","validation","RAS_MAPK",0.0690598697264014,0.805878823273517,0.901988761977854
"GSE43696","Asthma","validation","RET_ALK_NTRK",0.516632954646147,0.0223706366854483,0.190150411826311
"GSE43696","Asthma","validation","SRC_FAK",-0.197346135169667,0.442897382388187,0.752925550059918
"GSE43696","Asthma","validation","TAM_AXL_AXIS",0.224872154431373,0.394050640355649,0.744317876227336
"GSE43696","Asthma","validation","TGFB_SMAD",-0.379520539990115,0.131294469215801,0.372000996111435
"GSE43696","Asthma","validation","TIE_ANGPT_AXIS",0.323759602520417,0.21674911181344,0.472847771364155
"GSE43696","Asthma","validation","VEGF_PDGF_AXIS",-0.0630897289733162,0.800074747775172,0.901988761977854
"GSE43696","Asthma","validation","WNT_CTNNB1",-0.607868516544409,0.0060382381996822,0.102650049394597
"GSE67472","Asthma","validation","EPH_RECEPTORS",-0.051384848246013,0.792314417577706,0.811226737422643
"GSE67472","Asthma","validation","ERBB_LIGANDS",-0.18758455968816,0.358080266929505,0.507280378150131
"GSE67472","Asthma","validation","ERBB_RECEPTORS",-0.340900379528852,0.0852651081605943,0.241584473121684
"GSE67472","Asthma","validation","FGFR_AXIS",-0.457610935479639,0.0285376290453459,0.16171323125696
"GSE67472","Asthma","validation","HGF_MET_AXIS",-0.280975305276766,0.158536606085199,0.336890287931047
"GSE67472","Asthma","validation","IGF_INSR_AXIS",-0.879356070831098,2.56630228999652e-05,0.000436271389299408
"GSE67472","Asthma","validation","JAK_STAT",-0.149002938812685,0.44684967183511,0.584341878553606
"GSE67472","Asthma","validation","PDGFR_KIT_CSF1R",0.445387698592672,0.0227434186353931,0.16171323125696
"GSE67472","Asthma","validation","PI3K_AKT",0.239830999710724,0.24052198234549,0.371715790897576
"GSE67472","Asthma","validation","RAS_MAPK",0.106958687879486,0.583816348346614,0.708919851563745
"GSE67472","Asthma","validation","RET_ALK_NTRK",-0.23819265801406,0.238422471187235,0.371715790897576
"GSE67472","Asthma","validation","SRC_FAK",0.235874886392141,0.229528862582282,0.371715790897576
"GSE67472","Asthma","validation","TAM_AXL_AXIS",-0.0474122407102015,0.811226737422643,0.811226737422643
"GSE67472","Asthma","validation","TGFB_SMAD",0.0931441028579052,0.637495556320509,0.72249496382991
"GSE67472","Asthma","validation","TIE_ANGPT_AXIS",-0.35092427740064,0.0733858478158149,0.241584473121684
"GSE67472","Asthma","validation","VEGF_PDGF_AXIS",-0.37784110122154,0.0618324683351079,0.241584473121684
"GSE67472","Asthma","validation","WNT_CTNNB1",-0.308796074506287,0.125551168776774,0.304909981315024
"GSE27342","STAD","discovery","EPH_RECEPTORS",0.805435916687533,3.03542572217556e-10,4.8566811554809e-09
"GSE27342","STAD","discovery","ERBB_LIGANDS",0.0142067092021367,0.899208923884323,0.911495038140212
"GSE27342","STAD","discovery","ERBB_RECEPTORS",0.205258834643012,0.0701363561367016,0.140272712273403
"GSE27342","STAD","discovery","FGFR_AXIS",0.19455210043319,0.0857308480574687,0.152410396546611
"GSE27342","STAD","discovery","HGF_MET_AXIS",0.337668716322222,0.00340180830694144,0.0136072332277658
