"accession","disease","sample","epic_cancer","epic_caf","epic_endo","epic_immune"
"GSE41258","CRC","GSM1012653",0.640587451640324,0.011920109228801,0.0601094996145321,0.287382939516343
"GSE23878","CRC","GSM588828",0.869704685228058,0.00757993194568285,0.0238608103870343,0.0988545724392249
"GSE23878","CRC","GSM588829",0.880091693736253,0.0108070087553385,0.0185357906353583,0.0905655068730502
"GSE23878","CRC","GSM588830",0.879467060649796,0.0147590197858018,0.0276896053097528,0.0780843142546493
"GSE23878","CRC","GSM588831",0.904798813361046,0.00623145422503997,0.0187264515980308,0.0702432808158834
"GSE23878","CRC","GSM588832",0.901724382143737,0.0051287399501501,0.0169281427508922,0.0762187351552203
"GSE23878","CRC","GSM588833",0.825573045424974,0.00700315197449869,0.0177229064003949,0.149700896200132
"GSE23878","CRC","GSM588834",0.812316713526181,0.0317352402937933,0.0487962189267272,0.107151827253299
"GSE23878","CRC","GSM588835",0.878102596801019,0.0112548056262512,0.0215565926259435,0.0890860049467862
"GSE23878","CRC","GSM588836",0.843378160299399,0.0272219996521848,0.0348402058393345,0.0945596342090816
"GSE23878","CRC","GSM588837",0.864327539622788,0.00970346336871898,0.0253362935057414,0.100632703502752
"GSE23878","CRC","GSM588838",0.841909268315784,0.0132533364975929,0.0327834133184494,0.112053981868174
"GSE23878","CRC","GSM588839",0.865606870674582,0.0148347959246315,0.0247018493002686,0.0948564841005178
"GSE23878","CRC","GSM588840",0.883570774085548,0.0114736564184002,0.0192305090474346,0.0857250604486169
"GSE23878","CRC","GSM588841",0.864795699812876,0.0122402875049301,0.0166107220552438,0.10635329062695
"GSE23878","CRC","GSM588842",0.880247004317465,0.0187099428129666,0.0175301449121503,0.0835129079574182
"GSE23878","CRC","GSM588843",0.886833275504002,0.0066658713119164,0.0150008577242622,0.0914999954598195
"GSE23878","CRC","GSM588844",0.870720427017249,0.0145101076930497,0.0219803655737544,0.0927890997159466
"GSE23878","CRC","GSM588845",0.861757053815416,0.0180819413351436,0.0234232565144485,0.0967377483349921
"GSE23878","CRC","GSM588846",0.804210546441155,0.039821412025354,0.0502384017404497,0.105729639793042
"GSE23878","CRC","GSM588847",0.701064212694297,0.0554752017313856,0.0608705281242666,0.182590057450051
"GSE23878","CRC","GSM588848",0.902291876581192,0.0139224515313723,0.0232324279390615,0.0605532439483745
"GSE23878","CRC","GSM588849",0.858341964246696,0.0063684248756805,0.0171662022024521,0.118123408675171
"GSE23878","CRC","GSM588850",0.886511017479902,0.0211387089522251,0.0204886271321119,0.0718616464357614
"GSE23878","CRC","GSM588851",0.810106147571723,0.0399444967164788,0.0350042960212555,0.114945059690542
"GSE23878","CRC","GSM588852",0.717464242721385,0.0333216853527561,0.0440311171734008,0.205182954752458
"GSE23878","CRC","GSM588853",0.862631628727603,0.00898222789205973,0.0260884143249322,0.102297729055405
"GSE23878","CRC","GSM588854",0.828332231425354,0.0233614266220509,0.0208545011471431,0.127451840805452
"GSE23878","CRC","GSM588855",0.780931707946485,0.0493567345327478,0.0323401336506283,0.137371423870138
"GSE23878","CRC","GSM588856",0.822408714957464,0.0389004549601619,0.0339507739997673,0.104740056082607
"GSE23878","CRC","GSM588857",0.871102842186422,0.0137440295063479,0.0350978531605716,0.0800552751466587
"GSE23878","CRC","GSM588858",0.849562073646111,0.0102590499145778,0.039759899753274,0.100418976686037
"GSE23878","CRC","GSM588859",0.854675524243617,0.0283619256058218,0.0244340944709394,0.0925284556796214
"GSE23878","CRC","GSM588860",0.835045444360855,0.0104555981778681,0.0468772080785612,0.107621749382715
"GSE23878","CRC","GSM588861",0.890815440309691,0.00732285421571369,0.0179239484066681,0.0839377570679273
"GSE23878","CRC","GSM588862",0.842472557274547,0.0209160467730776,0.03150705545063,0.105104340501746
"GSE23878","CRC","GSM588863",0.798939096040858,0.012126849506094,0.040180359252309,0.148753695200739
"GSE23878","CRC","GSM588864",0.831943840824418,0.00736897661838376,0.0213258786511753,0.139361303906022
"GSE23878","CRC","GSM588865",0.80559870732339,0.0160887611602538,0.0404962910675545,0.137816240448802
"GSE23878","CRC","GSM588866",0.758582137991539,0.00742509964496204,0.0293715349276993,0.2046212274358
"GSE23878","CRC","GSM588867",0.874023162272497,0.00700186091992454,0.025122889788097,0.093852087019481
"GSE23878","CRC","GSM588868",0.696525320841388,0.0160956151484066,0.0384349528583245,0.248944111151881
"GSE23878","CRC","GSM588869",0.745125828215545,0.0114211634767977,0.0364287366291712,0.207024271678486
"GSE23878","CRC","GSM588870",0.821014147797654,0.00849232410595151,0.0329652961516776,0.137528231944717
"GSE23878","CRC","GSM588871",0.659512723781546,0.0128601818370025,0.0377157647699162,0.289911329611535
"GSE23878","CRC","GSM588872",0.795034743931601,0.00916119078691464,0.0443775447497365,0.151426520531748
"GSE23878","CRC","GSM588873",0.787640130332186,0.00784877458562486,0.0246199409177478,0.179891154164441
"GSE23878","CRC","GSM588874",0.754386966692967,0.00906189421217446,0.0358928258857771,0.200658313209082
"GSE23878","CRC","GSM588875",0.763767289723339,0.0179809230037182,0.0374608918747344,0.180790895398208
"GSE23878","CRC","GSM588876",0.803893513124798,0.0102241582837254,0.0438114799066242,0.142070848684852
"GSE23878","CRC","GSM588877",0.777723129636919,0.0077401303979242,0.0388778463218735,0.175658893643283
"GSE23878","CRC","GSM588878",0.766842868916387,0.0100057159812291,0.0314562172227407,0.191695197879644
"GSE23878","CRC","GSM588879",0.782702201844507,0.0153178121067068,0.0528647769522917,0.149115209096495
"GSE23878","CRC","GSM588880",0.732021140319034,0.0166746608369792,0.0426354730444606,0.208668725799527
"GSE23878","CRC","GSM588881",0.786064281274174,0.0256951995953724,0.0498519274438527,0.138388591686601
"GSE23878","CRC","GSM588882",0.814269133733164,0.0114628150573445,0.0410057079285299,0.133262343280961
"GSE23878","CRC","GSM588883",0.818489876311878,0.0188880664172492,0.0395382695935879,0.123083787677285
"GSE23878","CRC","GSM588884",0.829195213990406,0.01632040373797,0.0390582671915451,0.115426115080078
"GSE23878","CRC","GSM588885",0.80398095787872,0.010772451251,0.0444725031822618,0.140774087688018
"GSE23878","CRC","GSM588886",0.776713436641456,0.00894460565662758,0.0368848045149472,0.17745715318697
"GSE75214","IBD","GSM1426090",0.675310720853759,0.0134291566425656,0.107482061301054,0.203778061202621
