"disease","feature","n_cohorts","positive","negative","consistency","n_fdr_raw","median_smd","median_p","direction","robust_consistent","n_fdr_adj","n_up_adj","n_down_adj","composition_robust","direction_preserved"
"PAAD","RAS_MAPK",3,3,0,1,3,0.84989242001666,1.00782933676436e-06,"up",TRUE,0,2,1,FALSE,TRUE
"PAAD","RET_ALK_NTRK",1,0,1,1,1,-0.749161615065961,2.52309014151265e-05,"down",FALSE,0,0,1,FALSE,TRUE
"PAAD","SRC_FAK",3,2,1,0.666666666666667,2,0.728433377934777,0.000101056309330234,"up",TRUE,0,3,0,FALSE,TRUE
"PAAD","TAM_AXL_AXIS",3,1,2,0.666666666666667,1,-0.213052748319345,0.094651513261795,"down",FALSE,1,0,3,FALSE,TRUE
"PAAD","TGFB_SMAD",3,3,0,1,3,0.553719400572925,0.000251551805614415,"up",TRUE,0,1,2,FALSE,FALSE
"PAAD","TIE_ANGPT_AXIS",3,3,0,1,1,0.0872932241413435,0.556951247347926,"up",FALSE,0,1,2,FALSE,FALSE
"PAAD","VEGF_PDGF_AXIS",3,3,0,1,1,0.030683893079113,0.831005981354102,"up",FALSE,0,0,3,FALSE,FALSE
"PAAD","WNT_CTNNB1",3,3,0,1,3,0.570734336740844,3.76968251867944e-05,"up",TRUE,0,3,0,FALSE,TRUE
"STAD","EPH_RECEPTORS",3,3,0,1,3,1.3181752453027,2.03266277067971e-13,"up",TRUE,3,3,0,TRUE,TRUE
"STAD","ERBB_LIGANDS",3,1,2,0.666666666666667,1,-0.180334312132157,0.204221022564777,"down",FALSE,1,2,1,FALSE,FALSE
"STAD","ERBB_RECEPTORS",3,1,2,0.666666666666667,1,-0.289319262658076,0.0386842642591709,"down",FALSE,1,2,1,FALSE,FALSE
"STAD","FGFR_AXIS",3,1,2,0.666666666666667,0,-0.0418402073814873,0.0751243914450482,"down",FALSE,0,0,3,FALSE,TRUE
"STAD","HGF_MET_AXIS",3,3,0,1,3,0.505039325073007,3.38508556523064e-05,"up",TRUE,2,3,0,TRUE,TRUE
"STAD","IGF_INSR_AXIS",3,2,1,0.666666666666667,0,0.0310908444472383,0.528243426096973,"up",FALSE,0,1,2,FALSE,FALSE
"STAD","JAK_STAT",3,3,0,1,3,0.797754763691784,4.9811028783885e-06,"up",TRUE,3,3,0,TRUE,TRUE
"STAD","PDGFR_KIT_CSF1R",3,0,3,1,1,-0.0992243671840888,0.498059239269165,"down",FALSE,1,0,3,FALSE,TRUE
"STAD","PI3K_AKT",3,3,0,1,3,0.721927507702685,6.49217215987434e-05,"up",TRUE,1,3,0,FALSE,TRUE
"STAD","RAS_MAPK",3,3,0,1,3,0.848969030166778,0.00141956096260559,"up",TRUE,2,3,0,TRUE,TRUE
"STAD","RET_ALK_NTRK",3,0,3,1,3,-0.852541638959475,8.09479442571664e-11,"down",TRUE,3,0,3,TRUE,TRUE
"STAD","SRC_FAK",3,2,1,0.666666666666667,2,0.321436352907376,0.00526396692922226,"up",TRUE,1,3,0,FALSE,TRUE
"STAD","TAM_AXL_AXIS",1,0,1,1,0,-0.271783630194007,0.22109235068029,"down",FALSE,0,0,1,FALSE,TRUE
"STAD","TGFB_SMAD",3,3,0,1,2,0.397548481986858,0.000631234379942545,"up",TRUE,0,2,1,FALSE,TRUE
"STAD","TIE_ANGPT_AXIS",3,2,1,0.666666666666667,0,0.077208824146079,0.602867885715165,"up",FALSE,1,0,3,FALSE,FALSE
"STAD","VEGF_PDGF_AXIS",3,3,0,1,3,0.49596115544212,0.00071619101349113,"up",TRUE,0,3,0,FALSE,TRUE
"STAD","WNT_CTNNB1",3,3,0,1,3,0.800099126371737,9.49369441824778e-07,"up",TRUE,1,3,0,FALSE,TRUE
