"accession","disease","role","feature","paired","n_case","n_control","npair","r_emp","measure","yi","vi","beta_base","se_base","p_base","beta_adj","se_adj","p_adj","d_base","d_adj","sd_ref","sigma_adj","joint_fallback","rank_adj","mean_case","sd_case","mean_ctrl","sd_ctrl"
"GSE19804","LUAD","validation","IGF_INSR_AXIS",TRUE,60,60,60,0.374107823814784,"SMCRPH",-0.469480045870841,0.0223881689838424,-0.222076902604801,0.0679793408669227,0.00181489269969617,0.288512272186096,0.140398181942084,0.0446451310404312,-0.461963806256095,0.600162492575227,0.480723596951424,0.332863464479601,FALSE,TRUE,-0.111005027562577,0.439993934444797,0.111071875042224,0.497428922178891
"GSE19804","LUAD","validation","JAK_STAT",TRUE,60,60,60,0.330299181516632,"SMCRPH",-1.09000049071691,0.0283313527854332,-0.367209393555242,0.0500069900037397,7.09358847728077e-10,-0.103766673330064,0.0854191752804932,0.229634465943888,-0.964508242382719,-0.272552427764694,0.380721882322217,0.202516316262444,FALSE,TRUE,-0.178126719573788,0.345624907636489,0.189082673981455,0.323008339567951
"GSE19804","LUAD","validation","PDGFR_KIT_CSF1R",TRUE,60,60,60,0.229338778643095,"SMCRPH",-0.613068599483703,0.0278980711437335,-0.272169463495186,0.0707722316247836,0.000297230042122803,0.391008089515633,0.127789099397815,0.00342022426841926,-0.591821441639271,0.850231206168549,0.459884425176133,0.30296918207838,FALSE,TRUE,-0.1065765401409,0.469640643602136,0.165592923354286,0.410297210150792
"GSE19804","LUAD","validation","PI3K_AKT",TRUE,60,60,60,0.204336722729357,"SMCRPH",-0.0384171950385627,0.0270335571534443,-0.00881753353453433,0.0371687285554418,0.81330026547478,-0.0592736075973198,0.0779264946039807,0.450123911264407,-0.0388300734007766,-0.261025209001862,0.227080012018674,0.18475227107522,FALSE,TRUE,-0.010793497136578,0.213134844765101,-0.00197596360204355,0.241947632766979
"GSE19804","LUAD","validation","RAS_MAPK",TRUE,60,60,60,0.244983930353904,"SMCRPH",-0.661817399004387,0.0275849997885282,-0.181056442745522,0.0431213576722034,9.18129803133871e-05,-0.094293137458141,0.0968991557684828,0.334761144193951,-0.634294373707984,-0.330336803606794,0.285445449700421,0.229733663556633,FALSE,TRUE,-0.0958765816731161,0.262937177129638,0.0851798610724068,0.28024047827364
"GSE19804","LUAD","validation","RET_ALK_NTRK",TRUE,60,60,60,-0.0718781012806253,"SMCRPH",-0.489456987046212,0.0373551247396046,-0.142492517955481,0.0546759066012848,0.011574834165083,-0.0906785650472647,0.125371867792103,0.472574707502771,-0.480106526829457,-0.305527416789162,0.296793544750323,0.297238281039657,FALSE,TRUE,-0.0603299179922257,0.292247870200258,0.082162599963255,0.286239167678767
"GSE19804","LUAD","validation","SRC_FAK",TRUE,60,60,60,0.384244605805309,"SMCRPH",-0.405399246330171,0.0216722806747229,-0.139652692477528,0.0489915675307505,0.00600394460399176,0.0960957394641576,0.109632608116426,0.3845570339429,-0.401685785898868,0.276402065319324,0.347666502973266,0.259922808492076,FALSE,TRUE,-0.0726542415261782,0.341801663587412,0.06699845095135,0.342122170302737
"GSE19804","LUAD","validation","TAM_AXL_AXIS",TRUE,60,60,60,0.514387897659793,"SMCRPH",-0.217071098279885,0.0167285380286006,-0.106206238420731,0.0617740226361963,0.090808037559693,0.105537335032736,0.143299488356962,0.464567945303014,-0.218435138800363,0.217059400363776,0.48621407253435,0.339742035778847,FALSE,TRUE,-0.0137207977014926,0.475369522021376,0.0924854407192381,0.495079227992592
"GSE19804","LUAD","validation","TGFB_SMAD",TRUE,60,60,60,0.49299317574149,"SMCRPH",-0.993582725118295,0.0224898515397149,-0.389370007845753,0.0506518688889066,1.85234540342295e-10,-0.119662022734993,0.111752653052393,0.288946809544297,-0.897776672660016,-0.275906645222009,0.433704750527869,0.264949123594431,FALSE,TRUE,-0.170841219680436,0.406765924020357,0.218528788165317,0.369918792623474
"GSE19804","LUAD","validation","TIE_ANGPT_AXIS",TRUE,60,60,60,0.0858346606356459,"SMCRPH",-1.94591933881294,0.0478012140863192,-0.788916221099312,0.0703793185654902,3.00350495822767e-16,0.167763265120353,0.0841176142025237,0.0510757011840192,-1.3994301819118,0.297589237420355,0.563741036384934,0.199430506149722,FALSE,TRUE,-0.322879258355146,0.44001680357963,0.466036962744166,0.361815905069081
"GSE19804","LUAD","validation","VEGF_PDGF_AXIS",TRUE,60,60,60,0.249900019886608,"SMCRPH",-1.52225887500415,0.0358747052372602,-0.524229446237727,0.0540907445182075,8.2013942226486e-14,0.0218847367484484,0.0970358963007014,0.822401088770573,-1.21784574575556,0.0508407792377082,0.430456359571622,0.230057855270938,FALSE,TRUE,-0.247422035910147,0.347792932802448,0.276807410327581,0.33619752392662
"GSE19804","LUAD","validation","WNT_CTNNB1",TRUE,60,60,60,0.195187151624421,"SMCRPH",-1.35943201890238,0.0357596803300848,-0.478334168516563,0.0573625805794629,1.46623294563047e-11,-0.0643449128697236,0.115667308558736,0.580266933515112,-1.13112639541327,-0.152157705110692,0.422883039823149,0.274230196725583,FALSE,TRUE,-0.190249552202662,0.379556778819902,0.288084616313902,0.31668122568513
"GSE10072","LUAD","validation","EPH_RECEPTORS",TRUE,33,33,33,-0.117520711691515,"SMCRPH",1.56624040476484,0.0894120204738774,0.582332051645729,0.0955828443165273,8.30846518031647e-07,-0.302890515447723,0.2873936689787,0.300928716352661,1.24447396837555,-0.647292830056798,0.467934297095714,0.310810858729493,FALSE,TRUE,0.272399789551734,0.38441980235243,-0.309932262093994,0.349478317041467
"GSE10072","LUAD","validation","ERBB_LIGANDS",TRUE,33,33,33,-0.0838318085456176,"SMCRPH",0.363692758224378,0.0687649437505762,0.132734308393455,0.0924119301010035,0.160612673254912,-0.1047210832909,0.287253397734677,0.718178872580038,0.364608284751421,-0.287658669549287,0.364046331212547,0.31065915801192,FALSE,TRUE,0.0930217340987885,0.377794905808956,-0.0397125742946661,0.342618651018875
"GSE10072","LUAD","validation","ERBB_RECEPTORS",TRUE,33,33,33,0.0490417866938563,"SMCRPH",0.568003098918293,0.0619654568186003,0.230368546784345,0.0962190793106804,0.0226869386765399,-0.366762791837425,0.33593511790429,0.284241194304082,0.55606155359693,-0.885288771741841,0.414286053934474,0.363307524637797,FALSE,TRUE,0.124711900620035,0.394456854192114,-0.10565664616431,0.407024742646722
"GSE10072","LUAD","validation","FGFR_AXIS",TRUE,33,33,33,0.136947395929346,"SMCRPH",-2.32758200874516,0.103996920815604,-0.712777219194273,0.0696263026439601,1.27361944443006e-11,-0.607066734307151,0.240233668431932,0.0174340162573022,-1.52276491975622,-1.29692686867696,0.468080929595082,0.259808203313618,FALSE,TRUE,-0.300581425533368,0.356504439904163,0.412195793660905,0.236615680710981
"GSE10072","LUAD","validation","HGF_MET_AXIS",TRUE,33,33,33,0.251853249700525,"SMCRPH",0.618833094854252,0.0509731433194716,0.256977830666296,0.0880298706664822,0.00637708955033357,0.206222457267014,0.319143584457523,0.523427662259417,0.601824820603241,0.482959144869761,0.426997727359788,0.345147796385878,FALSE,TRUE,0.108431646294608,0.469013718807322,-0.148546184371688,0.341067926076689
"GSE10072","LUAD","validation","IGF_INSR_AXIS",TRUE,33,33,33,0.366674358325483,"SMCRPH",-0.573953231494472,0.0425840709178126,-0.263862138532787,0.0889413703582869,0.00565454501033864,0.0832863319522592,0.328297647719665,0.801587497786061,-0.562240607078225,0.177467514280523,0.469304662827521,0.355047743985564,FALSE,TRUE,-0.129712424792677,0.435733580579187,0.13414971374011,0.47075813049089
"GSE10072","LUAD","validation","JAK_STAT",TRUE,33,33,33,0.266326099104511,"SMCRPH",-1.07040139330857,0.0561236414814462,-0.383863307192685,0.0749458135343446,1.39412635661122e-05,-0.0743756877316465,0.26787692134521,0.783321823128296,-0.957096196958048,-0.185442803571653,0.401070768448065,0.289703862485879,FALSE,TRUE,-0.16965203764071,0.38822253546732,0.214211269551975,0.316303195242139
"GSE10072","LUAD","validation","PDGFR_KIT_CSF1R",TRUE,33,33,33,0.154113724900842,"SMCRPH",-1.09911350896816,0.0633158000039001,-0.411250266290827,0.0839125043381208,2.6496541005466e-05,0.745029162946246,0.207833720133358,0.00126378534956284,-0.976196964555928,1.76849783936539,0.421277960516815,0.224768267363543,FALSE,TRUE,-0.198685415343899,0.410981560035141,0.212564850946928,0.323085898984432
"GSE10072","LUAD","validation","PI3K_AKT",TRUE,33,33,33,0.134477554726097,"SMCRPH",0.613544892801711,0.0570892648230207,0.138376761482755,0.0510360437275279,0.0106866498843851,-0.0175186778360398,0.202163228037798,0.931561607070156,0.59685439289819,-0.0755625418037519,0.231843416299291,0.218635736595196,FALSE,TRUE,0.0595023923654602,0.222972797330326,-0.0788743691172951,0.222693394052909
"GSE10072","LUAD","validation","RAS_MAPK",TRUE,33,33,33,0.359735882291261,"SMCRPH",0.310570463177565,0.0412677762274266,0.101417861017934,0.0637703245840882,0.121585675054141,0.0515807297240868,0.172394467170708,0.766995734511603,0.313232358126252,0.159308759257814,0.323778365762124,0.186441380465874,FALSE,TRUE,0.041405106551897,0.291296753229922,-0.0600127544660376,0.35040486836917
"GSE10072","LUAD","validation","RET_ALK_NTRK",TRUE,33,33,33,0.188095636435961,"SMCRPH",-1.14081052763386,0.0614340992938159,-0.429193359064043,0.0824867624635716,1.1003685484042e-05,-0.59155901848882,0.303733741672031,0.0615507077234195,-1.00399084868444,-1.38380482474078,0.427487321848033,0.328482340650317,FALSE,TRUE,-0.171415012142765,0.390092809143441,0.257778346921277,0.352203793062855
"GSE10072","LUAD","validation","SRC_FAK",TRUE,33,33,33,0.0110747046890213,"SMCRPH",-0.581720437618658,0.064568189709044,-0.223761235447773,0.0930709913054911,0.0221707204613935,0.0889877648459909,0.337181063664256,0.793776749932307,-0.568386850652896,0.226042170826585,0.393677712970915,0.364654991591267,FALSE,TRUE,-0.114492890437096,0.34060576903767,0.109268345010676,0.41590661286236
"GSE10072","LUAD","validation","TAM_AXL_AXIS",TRUE,33,33,33,0.174336470613752,"SMCRPH",-0.370492948007256,0.0529669205582123,-0.153436154469027,0.0917101494098956,0.104066542053764,-0.3159642584302,0.364712244389341,0.393667866037061,-0.371289482225558,-0.764579940890089,0.413252089849975,0.394429446795549,FALSE,TRUE,-0.0527428355633852,0.44789720250107,0.100693318905641,0.366251669098716
"GSE10072","LUAD","validation","TGFB_SMAD",TRUE,33,33,33,0.408826388133765,"SMCRPH",-0.718421657515018,0.0417831833889757,-0.295602901694183,0.0769182823930444,0.000543133818230617,-0.337957615380789,0.262880407944848,0.209116057806596,-0.68852089396584,-0.787173867817019,0.429330328657897,0.284300227026063,FALSE,TRUE,-0.124129777016041,0.423519025533191,0.171473124678142,0.387278932773159
"GSE10072","LUAD","validation","TIE_ANGPT_AXIS",TRUE,33,33,33,0.15256702632195,"SMCRPH",-1.83932233574015,0.080020562414123,-0.703496791706962,0.0856362238037406,2.20106724589975e-09,0.382769065872543,0.182524983279185,0.0451411514200481,-1.36346304446944,0.741853384458208,0.515963226550604,0.197397343491218,FALSE,TRUE,-0.322529052350329,0.381313855216641,0.380967739356633,0.374390650094619
"GSE10072","LUAD","validation","VEGF_PDGF_AXIS",TRUE,33,33,33,-0.0613982053874549,"SMCRPH",-0.97977655223205,0.0740041436923465,-0.370674834467102,0.0947855789205034,0.000449854455280975,0.287368300379434,0.230644230530455,0.223112044495442,-0.89249082274835,0.691909854647008,0.41532621402833,0.24943740621331,FALSE,TRUE,-0.183325136479198,0.342997530466338,0.187349697987903,0.40235323923298
"GSE10072","LUAD","validation","WNT_CTNNB1",TRUE,33,33,33,0.0149089217966134,"SMCRPH",0.208914862139015,0.0619168770272054,0.102838634926059,0.118865153148638,0.393385111604562,-0.197148759355254,0.39211275693045,0.619046784064959,0.211832469717002,-0.406097461580406,0.485471538255896,0.424062586811453,FALSE,TRUE,0.0468272845468202,0.462215729640231,-0.0560113503792386,0.509542727191016
"GSE44076","CRC","discovery","EPH_RECEPTORS",TRUE,98,98,98,0.224310332984382,"SMCRPH",2.5751152468794,0.0339663267376789,0.841995257268882,0.0409757022883003,4.1127329318438e-37,0.729583375881722,0.0534610652123206,6.29034074436204e-24,1.58095559063591,1.36988766501673,0.532586280257376,0.267728944625391,FALSE,TRUE,0.402397369579516,0.331208725512089,-0.439597887689368,0.319982594214382
