"disease","feature","k","est_REML","se_REML","p_REML_KHNA","ci_lo","ci_hi","I2","tau2","est_DL","p_DL","cohorts","n_case","n_control","fdr"
"CRC","FGFR_AXIS",3,-0.969577338637281,0.516217619142732,0.201132103697148,-3.19068248678653,1.25152780951197,97.2552305879072,0.770795972811871,-0.975249912346464,0.0906562327708701,"GSE44076;GSE41258;GSE23878",315,175,0.451122820007588
"ESCC","FGFR_AXIS",2,0,0,NA,0,0,0,0,0,1,"GSE23400;GSE20347",70,70,NA
"HCC","FGFR_AXIS",2,-0.101994980298807,0.219739741763646,0.723344802753646,-2.89405312782185,2.69006316722424,35.1158894412634,0.0581329745609523,-0.101994980298809,0.64253122035496,"GSE57957;GSE62232",118,42,0.967554853911512
"IBD","FGFR_AXIS",3,-0.00724252506580725,0.11134391579831,0.954053797282622,-0.486316728316399,0.471831678184784,0,0,-0.00724252506580725,0.960044796597443,"GSE75214;GSE87473;GSE179285",202,75,0.954053797282622
"LUAD","FGFR_AXIS",3,0,0,NA,0,0,0,0,0,1,"GSE32863;GSE19804;GSE10072",150,150,NA
"NAFLD","FGFR_AXIS",2,-0.0878908314920259,0.290504552932735,0.812967201369042,-3.77910115784626,3.60331949486221,49.8856786083834,0.0858220576263604,-0.0878908314920259,0.762236289545283,"GSE33814;GSE66676",62,47,0.930197205970223
"PAAD","FGFR_AXIS",3,0,0,NA,0,0,0,0,0,1,"GSE15471;GSE28735;GSE62452",123,123,NA
"STAD","FGFR_AXIS",3,-0.000115801477611953,0.00155430263650645,0.947390801937746,-0.00680342595943323,0.00657182300420932,0,0,-0.000115801477611953,0.992744162095573,"GSE27342;GSE63089;GSE13911",163,156,0.949167159128074
"Asthma","HGF_MET_AXIS",3,-0.262392854027801,0.133460796835057,0.188200521221065,-0.836628315844698,0.311842607789097,0.00382641006609867,2.03601957001639e-06,-0.262479651171593,0.0494432650271595,"GSE4302;GSE43696;GSE67472",192,91,0.355489873417567
"COPD","HGF_MET_AXIS",1,-0.69041718311288,0.188646245615865,0.000252361777881472,-1.06015703033867,-0.320677335887088,0,0,-0.69041718311288,0.000252361777881472,"GSE76925",111,40,NA
"CRC","HGF_MET_AXIS",3,0.462793331241648,0.28514232683069,0.246058879119787,-0.764075079663533,1.68966174214683,92.2841677210987,0.232633636665441,0.468897140595503,0.186045845062018,"GSE44076;GSE41258;GSE23878",315,175,0.451122820007588
"ESCC","HGF_MET_AXIS",2,0,0,NA,0,0,0,0,0,1,"GSE23400;GSE20347",70,70,NA
"HCC","HGF_MET_AXIS",2,-0.316291856371252,0.421769932517074,0.590368855430764,-5.67538697049578,5.04280325775328,71.8457297553491,0.277374858826674,-0.316291856371249,0.453305532126531,"GSE57957;GSE62232",118,42,0.967554853911512
"IBD","HGF_MET_AXIS",3,1.51799374878417,0.203703212715096,0.0175353406368087,0.641529564536826,2.39445793303151,37.2971381612053,0.0456110867690859,1.51795075443473,6.67096351893354e-14,"GSE75214;GSE87473;GSE179285",202,75,0.0496834651376245
"LUAD","HGF_MET_AXIS",3,0,0,NA,0,0,0,0,0,1,"GSE32863;GSE19804;GSE10072",150,150,NA
"NAFLD","HGF_MET_AXIS",2,-0.146885918893887,0.170402811448419,0.54709903723181,-2.31205892877728,2.0182870909895,0,0,-0.146885918893887,0.460534750938417,"GSE33814;GSE66676",62,47,0.930197205970223
"PAAD","HGF_MET_AXIS",3,0,0,NA,0,0,0,0,0,1,"GSE15471;GSE28735;GSE62452",123,123,NA
"STAD","HGF_MET_AXIS",3,0.00137175389721418,0.018586325926176,0.947883283167113,-0.0785987520850601,0.0813422598794885,0.517618169952403,3.64945998721205e-06,0.00457921221948457,0.845864609008196,"GSE27342;GSE63089;GSE13911",163,156,0.949167159128074
"Asthma","IGF_INSR_AXIS",3,-0.805918600019683,0.228689563694122,0.0719402164468071,-1.78989037551341,0.178053175474045,64.2292986896271,0.10213005748601,-0.80577625380951,0.000503582237483043,"GSE4302;GSE43696;GSE67472",192,91,0.244596735919144
"COPD","IGF_INSR_AXIS",2,-0.197418942140403,0.284299733249865,0.613596916471805,-3.80978955925304,3.41495167497224,83.7368253827188,0.135732997079381,-0.197418942140403,0.48742873118305,"GSE76925;GSE47460",256,131,0.657425267648363
"CRC","IGF_INSR_AXIS",3,-0.493934574631038,0.277488135056759,0.217032237849475,-1.68786965640609,0.700000507144012,91.8898505964127,0.220179151639092,-0.503354794842403,0.146301701548272,"GSE44076;GSE41258;GSE23878",315,175,0.451122820007588
"ESCC","IGF_INSR_AXIS",2,0,0,NA,0,0,0,0,0,1,"GSE23400;GSE20347",70,70,NA
"HCC","IGF_INSR_AXIS",2,-0.378131733214944,0.476430438555676,0.572908757749269,-6.43175442804886,5.67549096161898,77.1787256623521,0.369414014890936,-0.37813173321494,0.42738367410297,"GSE57957;GSE62232",118,42,0.967554853911512
"IBD","IGF_INSR_AXIS",3,-0.560811260233997,0.125518301143671,0.0466183726232341,-1.10087292128333,-0.0207495991846636,0,0,-0.560811260233997,0.000130829012638354,"GSE75214;GSE87473;GSE179285",202,75,0.0824512660398115
"LUAD","IGF_INSR_AXIS",3,0,0,NA,0,0,0,0,0,1,"GSE32863;GSE19804;GSE10072",150,150,NA
"NAFLD","IGF_INSR_AXIS",2,-0.925838354108797,0.557444034156726,0.345022209870512,-8.00883638106332,6.15715967284573,84.1065629707916,0.524480384240146,-0.925838354108797,0.0967408987584219,"GSE33814;GSE66676",62,47,0.930197205970223
"PAAD","IGF_INSR_AXIS",3,0,0,NA,0,0,0,0,0,1,"GSE15471;GSE28735;GSE62452",123,123,NA
"STAD","IGF_INSR_AXIS",3,-0.000386030622125888,0.00518705052008014,0.947448421838216,-0.0227041077016971,0.0219320464574453,0,0,-0.000386030622125888,0.975815707971519,"GSE27342;GSE63089;GSE13911",163,156,0.949167159128074
