"accession","disease","role","feature","n_case","n_control","paired","npair","r_emp","effect_scale","yi","vi","mean_case","sd_case","mean_ctrl","sd_ctrl","beta_adj","se_beta_adj","p_adj","d_adj","se_d_adj","beta_unadj","d_unadj_same_den","sigma_full","joint_fallback","rank_full"
"GSE4302","Asthma","discovery","JAK_STAT",42,28,FALSE,NA,NA,"SMD",-0.141872822615217,0.0596675802223582,-0.0136262094920892,0.318568969881436,0.0261270161859514,0.198175523508517,-0.0838875328354607,0.0669346814057999,0.214665155927098,-0.323297522423319,0.25796224935038,-0.0397532256780407,-0.153206548525561,0.25947471606547,FALSE,TRUE
"GSE4302","Asthma","discovery","PDGFR_KIT_CSF1R",42,28,FALSE,NA,NA,"SMD",0.196115710424349,0.0597985336086327,0.0222946986042449,0.351121877792347,-0.0475599878510051,0.353945351044396,0.0962538615677203,0.0804117281261071,0.235716717963912,0.308784094277011,0.25796224935038,0.0698546864552502,0.224095072517306,0.311718975658671,FALSE,TRUE
"GSE4302","Asthma","discovery","PI3K_AKT",42,28,FALSE,NA,NA,"SMD",0.315770940331969,0.0602360330006533,0.0397160302011303,0.324601497972398,-0.0624021612390413,0.312396213664085,0.0487132657454055,0.0792177875235276,0.540782322238731,0.158628308082392,0.25796224935038,0.102118191440172,0.332534386367149,0.307090621682125,FALSE,TRUE
"GSE4302","Asthma","discovery","RAS_MAPK",42,28,FALSE,NA,NA,"SMD",0.431448735788984,0.0608534381781946,0.0559633156778037,0.340992057183319,-0.0899133653164934,0.324039359845557,0.0728985608797369,0.0834124263709448,0.385411378813385,0.225446945462468,0.25796224935038,0.145876680994297,0.451139936748857,0.323351291055184,FALSE,TRUE
"GSE4302","Asthma","discovery","RET_ALK_NTRK",42,28,FALSE,NA,NA,"SMD",-0.105703128780113,0.0596036177483374,-0.0164513025809128,0.401587298088025,0.0282310552843811,0.441837536932074,0.017379379374142,0.107484887300269,0.872058270283615,0.0417102711671734,0.25796224935038,-0.0446823578652939,-0.107237043557667,0.416669057472344,FALSE,TRUE
"GSE4302","Asthma","discovery","SRC_FAK",42,28,FALSE,NA,NA,"SMD",0.293356282055955,0.0601385088682502,0.0356608044127898,0.353413466984626,-0.0636026790959366,0.303877324674872,0.0627096674069672,0.077228576063355,0.419801133024863,0.209465559057372,0.25796224935038,0.0992634835087265,0.331564205757972,0.299379371430656,FALSE,TRUE
"GSE4302","Asthma","discovery","TAM_AXL_AXIS",42,28,FALSE,NA,NA,"SMD",0.457954742666029,0.0610218277118832,0.0741362015842677,0.457254262189408,-0.149494937842137,0.51946697758483,0.100356398680577,0.107706955557592,0.35496528999203,0.240357386450335,0.25796224935038,0.223631139426405,0.535605072602551,0.417529913112588,FALSE,TRUE
"GSE4302","Asthma","discovery","TGFB_SMAD",42,28,FALSE,NA,NA,"SMD",-0.0569745384242367,0.0595469959382999,-0.00881054329169501,0.368242998560035,0.0128949353597756,0.389308078694965,-0.019537752206158,0.0948379310950846,0.837435473031568,-0.0531433198526627,0.25796224935038,-0.0217054786514706,-0.0590396061101993,0.367642673817245,FALSE,TRUE
"GSE4302","Asthma","discovery","TIE_ANGPT_AXIS",42,28,FALSE,NA,NA,"SMD",-0.291554146293517,0.0601309796682448,-0.0332422994717005,0.546057292486086,0.127134243532274,0.540814131825391,-0.0210887447316749,0.128756002923583,0.870413840483734,-0.0422512341439146,0.25796224935038,-0.160376543003975,-0.321313902551768,0.499127307378602,FALSE,TRUE
"GSE4302","Asthma","discovery","VEGF_PDGF_AXIS",42,28,FALSE,NA,NA,"SMD",-0.565048907259655,0.0618043828637762,-0.0595546177282143,0.26018320434776,0.0841170519606887,0.237569151434824,-0.108315772912551,0.0651192336358379,0.101133196521542,-0.429080301787661,0.25796224935038,-0.143671669688903,-0.569138563394848,0.252437067050803,FALSE,TRUE
"GSE4302","Asthma","discovery","WNT_CTNNB1",42,28,FALSE,NA,NA,"SMD",-0.393267281619953,0.0606285177723291,-0.0556857253486729,0.490486216460875,0.125883286905817,0.399627784574863,-0.159875090686538,0.110314047499467,0.152144079742181,-0.373857536219896,0.25796224935038,-0.18156901225449,-0.424587365573012,0.427636399423824,FALSE,TRUE
"GSE43696","Asthma","validation","EPH_RECEPTORS",88,20,FALSE,NA,NA,"SMD",0.129783314289693,0.0614416164963587,0.026943307396805,0.453325142764346,-0.0339869698446652,0.52083659689005,-0.0182050986399086,0.109580137206498,0.868379561422111,-0.0427046195733867,0.257047663666298,0.0609302772414707,0.14292722942978,0.426302793978147,FALSE,TRUE
"GSE43696","Asthma","validation","ERBB_LIGANDS",88,20,FALSE,NA,NA,"SMD",-0.00153564547127533,0.0613636472812614,-0.0121595556109851,0.349630569313981,-0.0115865006493895,0.45406322412689,0.0146148716683615,0.0951168135610664,0.878187857199793,0.0394958417601239,0.257047663666298,-0.000573054961595645,-0.00154864774707755,0.370035705457912,FALSE,TRUE
"GSE43696","Asthma","validation","ERBB_RECEPTORS",88,20,FALSE,NA,NA,"SMD",-0.523232034632127,0.0626310982250497,-0.0367001725112896,0.424764214894606,0.181778225351974,0.364410742136553,-0.155369360161125,0.0925169718437062,0.0961425545988078,-0.431675726505758,0.257047663666298,-0.218478397863264,-0.607016859859842,0.359921465630642,FALSE,TRUE
