"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","note","fdr"
"NAFLD","RAS_MAPK",2,0.439053736821558,0.498444751266134,0.540276369394808,-5.89428732243761,6.77239479608073,79.9692279417039,0.399511806572861,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"STAD","RAS_MAPK",1,0.847494635087857,0.256966093851426,0.000973485290457647,0.343850345891122,1.35113892428459,0,0,"SMDH 1","GSE13911","",NA
"Asthma","RET_ALK_NTRK",3,0.0846109462172257,0.253019265318627,0.769885591664897,-1.00404308638517,1.17326497881962,72.5916423813637,0.139336449948912,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.769885591664897
"COPD","RET_ALK_NTRK",2,0.702221519290602,0.0826289275500171,0.0745668255091956,-0.347678551290462,1.75212158987167,0,0,"SMDH 2","GSE76925;GSE47460","",0.372834127545978
"CRC","RET_ALK_NTRK",2,-0.995307060517695,0.195743384977954,0.123623959092733,-3.48246258579944,1.49184846476405,37.0788752548361,0.0315367260978803,"SMDH 2","GSE41258;GSE23878","",0.207765769061329
"HCC","RET_ALK_NTRK",1,-1.72481846255968,0.366605468191035,2.54070590415502e-06,-2.44335197674955,-1.00628494836981,0,0,"SMDH 1","GSE62232","",NA
"IBD","RET_ALK_NTRK",2,-0.162861412379102,0.317943720195576,0.698632849430529,-4.20271941576514,3.87699659100694,67.601801466152,0.137352872221565,"SMDH 2","GSE87473;GSE179285","",0.791783896021266
"NAFLD","RET_ALK_NTRK",1,-0.404519329702835,0.318617632302729,0.204224483112209,-1.02899841385561,0.219959754449939,0,0,"SMDH 1","GSE33814","",NA
"STAD","RET_ALK_NTRK",1,-0.739599620496647,0.256394299321892,0.00391888816409017,-1.24212321300894,-0.237076027984357,0,0,"SMDH 1","GSE13911","",NA
"Asthma","SRC_FAK",3,0.201997426293111,0.145758840671399,0.300096198516655,-0.4251522474068,0.829147099993022,10.5422075097812,0.00643923585573968,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.392433490367934
"COPD","SRC_FAK",2,-0.278477921330642,0.00613147092628312,0.0140147018466033,-0.356385646253898,-0.200570196407386,0,0,"SMDH 2","GSE76925;GSE47460","",0.21022052769905
"CRC","SRC_FAK",2,-0.58452347621863,0.246376765011435,0.253949256224966,-3.71503709469032,2.54599014225306,62.8921259437338,0.0792800429472217,"SMDH 2","GSE41258;GSE23878","",0.308366953987459
"HCC","SRC_FAK",1,-1.33469967297233,0.321239753044892,3.25515699969053e-05,-1.96431801934286,-0.705081326601801,0,0,"SMDH 1","GSE62232","",NA
"IBD","SRC_FAK",3,0.464581925702526,0.00453090326790115,9.51005448653485e-05,0.445087022388661,0.484076829016392,0,0,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.00161670926271092
"NAFLD","SRC_FAK",2,-0.0903989869777204,0.142893321125344,0.640902409007456,-1.90603078062831,1.72523280667286,0,0,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"STAD","SRC_FAK",1,-0.0911709691836381,0.245233475864561,0.710062523324473,-0.571819749681751,0.389477811314475,0,0,"SMDH 1","GSE13911","",NA
