"module","accession","n_members","n_full","n_common","effect_full","effect_common","sign_agree"
"FGFR_AXIS","GSE41258",8,7,4,-1.06331755785781,0.282912945521968,FALSE
"FGFR_AXIS","GSE4302",8,8,4,0.332308040656648,0.574850704936,TRUE
"FGFR_AXIS","GSE43696",8,8,4,-0.0652800934620629,0.319917463163991,FALSE
"FGFR_AXIS","GSE44076",8,8,4,-1.19733823458423,-0.564152142606892,TRUE
"FGFR_AXIS","GSE67472",8,8,4,-0.458598002865765,-0.00992402355235011,TRUE
"FGFR_AXIS","GSE75214",8,8,4,0.302951798371472,-1.40784142614718,FALSE
"FGFR_AXIS","GSE87473",8,8,4,-0.45109067405267,-1.30840856541782,TRUE
"HGF_MET_AXIS","GSE13911",3,3,2,0.209497431195295,0.0985032435411836,TRUE
"HGF_MET_AXIS","GSE27342",3,3,2,0.548694398465409,0.387837884473207,TRUE
"HGF_MET_AXIS","GSE63089",3,3,2,1.11197347075685,0.819046350020162,TRUE
"HGF_MET_AXIS","GSE15471",3,3,2,1.30430437945788,1.08061599563608,TRUE
"HGF_MET_AXIS","GSE20347",3,3,2,0.902769050081144,0.965369893651466,TRUE
"HGF_MET_AXIS","GSE23400",3,3,2,0.927469677895909,0.978882080577855,TRUE
"HGF_MET_AXIS","GSE28735",3,3,2,1.33665603489613,1.41265069271012,TRUE
"HGF_MET_AXIS","GSE33814",3,3,2,-1.0725152123727,-1.19746584378886,TRUE
"HGF_MET_AXIS","GSE47460",3,2,2,-0.341477495619359,-0.341477495619359,TRUE
"HGF_MET_AXIS","GSE57957",3,3,2,-0.0511674612565984,0.108787330761063,FALSE
"HGF_MET_AXIS","GSE62232",3,3,2,-0.954561582801155,-0.241702033763433,TRUE
"HGF_MET_AXIS","GSE62452",3,3,2,1.35463247750529,1.4276578635624,TRUE
"HGF_MET_AXIS","GSE66676",3,3,2,-0.00147970640375076,-0.350981678219031,TRUE
"HGF_MET_AXIS","GSE76925",3,3,2,-0.486707685073261,-0.480035763175915,TRUE
"HGF_MET_AXIS","GSE10072",3,3,2,1.13414722342695,1.27408805554544,TRUE
"HGF_MET_AXIS","GSE179285",3,3,2,0.799729557867474,0.527276597219136,TRUE
