"feature","estimate","ci_low","ci_high","p_value","fdr","smd","accession","disease","role"
"PDGFR_KIT_CSF1R",-0.417771140908043,-0.536767587101017,-0.298774694715069,3.41551872524366e-11,9.67730305485703e-11,-1.06919679692872,"GSE41258","CRC","validation"
"PI3K_AKT",-0.0140464118622688,-0.100887845858956,0.0727950221344187,0.750395578796092,0.85044832263557,-0.052317484779079,"GSE41258","CRC","validation"
"RAS_MAPK",-0.0996539822190719,-0.193300024030568,-0.00600794040757564,0.0370935292013245,0.0525491663685431,-0.305874800073809,"GSE41258","CRC","validation"
"RET_ALK_NTRK",-0.390943547436562,-0.496756752100506,-0.285130342772617,3.75859457671389e-12,1.27792215608272e-11,-1.10260716600946,"GSE41258","CRC","validation"
"SRC_FAK",-0.224726884998589,-0.322073645515013,-0.127380124482166,8.28557047165507e-06,1.56505220020151e-05,-0.734550928495517,"GSE41258","CRC","validation"
"TAM_AXL_AXIS",-0.00209937971405406,-0.13249487650666,0.128296117078552,0.974735779087589,0.974735779087589,-0.0232177447266005,"GSE41258","CRC","validation"
"TGFB_SMAD",-0.17812970325597,-0.295930641616749,-0.0603287648951913,0.00317381387688183,0.00539548359069911,-0.437940148074081,"GSE41258","CRC","validation"
"TIE_ANGPT_AXIS",-0.105642217589496,-0.247810566327605,0.0365261311486142,0.144634692908626,0.175627841389046,-0.239455425098388,"GSE41258","CRC","validation"
"VEGF_PDGF_AXIS",0.4023291071013,0.294685862045579,0.509972352157021,2.2211348003917e-12,9.43982290166471e-12,1.08933278673441,"GSE41258","CRC","validation"
"WNT_CTNNB1",0.899454074790946,0.794928790665965,1.00397935891593,2.06966917747355e-44,3.51843760170504e-43,2.59042072981352,"GSE41258","CRC","validation"
"EPH_RECEPTORS",NA,NA,NA,NA,NA,1.88593889091891,"GSE23878","CRC","validation"
"ERBB_LIGANDS",NA,NA,NA,NA,NA,-0.367770626227353,"GSE23878","CRC","validation"
"ERBB_RECEPTORS",NA,NA,NA,NA,NA,0.193337738318514,"GSE23878","CRC","validation"
"FGFR_AXIS",NA,NA,NA,NA,NA,-1.70202181824785,"GSE23878","CRC","validation"
"HGF_MET_AXIS",NA,NA,NA,NA,NA,0.488604639795293,"GSE23878","CRC","validation"
