"context","driver","feature","n","events","n_plus","n_minus","HR_module","p_module","HR_interaction","p_interaction","fdr_interaction"
"LUAD","EGFR_mut","PDGFR_KIT_CSF1R",492,179,69,423,0.896951813188713,0.155957979729671,0.877308368264217,0.529669952244822,0.883031253317198
"LUAD","EGFR_mut","PI3K_AKT",492,179,69,423,1.0662236114254,0.426119610567814,1.20392861491836,0.455383461322684,0.883031253317198
"LUAD","EGFR_mut","RAS_MAPK",492,179,69,423,1.07725179387124,0.340394840585878,1.89797384054324,0.0450229108272586,0.652002422378921
"LUAD","EGFR_mut","RET_ALK_NTRK",492,179,69,423,0.729450223927474,0.00052831273314877,0.974061741894979,0.902518971753725,0.953026550813796
"LUAD","EGFR_mut","SRC_FAK",492,179,69,423,0.965948877006571,0.655062731289624,1.48869415617274,0.0649821196399572,0.652002422378921
"LUAD","EGFR_mut","TAM_AXL_AXIS",492,179,69,423,1.01981513228021,0.795071526425831,1.0733473633915,0.76810262029198,0.953026550813796
"LUAD","EGFR_mut","TGFB_SMAD",492,179,69,423,1.13631316253841,0.11046910101293,1.00314043081985,0.991038577382438,0.992237170097578
"LUAD","EGFR_mut","TIE_ANGPT_AXIS",492,179,69,423,0.933827768204673,0.368532668572924,1.18163645278056,0.430049146437148,0.883031253317198
"LUAD","EGFR_mut","VEGF_PDGF_AXIS",492,179,69,423,1.08588040768571,0.313602977055202,1.44956574439249,0.0503537229882751,0.652002422378921
"LUAD","EGFR_mut","WNT_CTNNB1",492,179,69,423,1.03732040116016,0.639563463815487,1.20937967443766,0.424585060238278,0.883031253317198
"STAD","TP53_mut","EPH_RECEPTORS",376,154,172,204,0.941449415899025,0.510186105397141,0.842846770461234,0.282456163587697,0.883031253317198
"STAD","TP53_mut","ERBB_LIGANDS",376,154,172,204,1.06148267391885,0.618308359741286,0.967179179282217,0.844099305262091,0.953026550813796
"STAD","TP53_mut","ERBB_RECEPTORS",376,154,172,204,1.07530594359003,0.516030098681023,1.120201929039,0.496852311275121,0.883031253317198
"STAD","TP53_mut","FGFR_AXIS",376,154,172,204,1.33377863759442,0.00375874956434992,0.830095885654598,0.285508889803683,0.883031253317198
"STAD","TP53_mut","HGF_MET_AXIS",376,154,172,204,1.10151676022132,0.369080635961616,0.889896934229862,0.478985230223348,0.883031253317198
"STAD","TP53_mut","IGF_INSR_AXIS",376,154,172,204,1.22000393042728,0.051480705583515,0.901753026434791,0.517015201595799,0.883031253317198
"STAD","TP53_mut","JAK_STAT",376,154,172,204,0.951269561756516,0.640346420202217,0.983887421035082,0.925323397778139,0.963091699728267
"STAD","TP53_mut","PDGFR_KIT_CSF1R",376,154,172,204,1.32349891373596,0.00867758581593079,0.903907265436642,0.562715994760959,0.883031253317198
"STAD","TP53_mut","PI3K_AKT",376,154,172,204,1.05023228624777,0.650648170522719,0.829127919091991,0.261625716399974,0.883031253317198
"STAD","TP53_mut","RAS_MAPK",376,154,172,204,1.00994879062663,0.923452936335224,0.948467459456548,0.745894084030054,0.953026550813796
"STAD","TP53_mut","RET_ALK_NTRK",376,154,172,204,1.34387503204041,0.00125812118299355,0.839465111827628,0.283933016632568,0.883031253317198
"STAD","TP53_mut","SRC_FAK",376,154,172,204,1.04692868101005,0.665170540892818,0.884192634555419,0.447586485670038,0.883031253317198
"STAD","TP53_mut","TAM_AXL_AXIS",376,154,172,204,1.29554939423058,0.0109042284690163,0.900719612654393,0.515126889166928,0.883031253317198
"STAD","TP53_mut","TGFB_SMAD",376,154,172,204,1.29583412739152,0.0226010880340909,0.841659310708218,0.319478310792563,0.883031253317198
"STAD","TP53_mut","TIE_ANGPT_AXIS",376,154,172,204,1.32839858212306,0.00699168522803861,1.03190167715449,0.847957382012305,0.953026550813796
"STAD","TP53_mut","VEGF_PDGF_AXIS",376,154,172,204,1.23096489014014,0.0528546413358267,1.02940681284795,0.862486039451731,0.953026550813796
"STAD","TP53_mut","WNT_CTNNB1",376,154,172,204,0.876140892107807,0.196493574876839,0.963548196654658,0.811276372024255,0.953026550813796
"HCC","TP53_mut","EPH_RECEPTORS",355,126,107,248,0.893721430912903,0.248885703746551,1.13741999657547,0.489346363944294,0.883031253317198
"HCC","TP53_mut","ERBB_LIGANDS",355,126,107,248,1.18985036881636,0.128096324171072,1.03503093916151,0.841793757425781,0.953026550813796
"HCC","TP53_mut","ERBB_RECEPTORS",355,126,107,248,0.945951381369833,0.605475892130534,0.846964070837362,0.331161411391749,0.883031253317198
"HCC","TP53_mut","FGFR_AXIS",355,126,107,248,0.915149848716867,0.44560935840628,1.32166796150796,0.124321346202487,0.883031253317198
"HCC","TP53_mut","HGF_MET_AXIS",355,126,107,248,1.12663426523352,0.283404904555064,0.7812805268676,0.205604123253576,0.883031253317198
"HCC","TP53_mut","IGF_INSR_AXIS",355,126,107,248,0.801604063421808,0.0465835996657036,1.1356034740547,0.489697742724238,0.883031253317198
"HCC","TP53_mut","JAK_STAT",355,126,107,248,0.754336955589464,0.00861023115998251,1.29437502874928,0.150730580273893,0.883031253317198
"HCC","TP53_mut","PDGFR_KIT_CSF1R",355,126,107,248,0.825471247965465,0.0880974474855264,1.49744451175781,0.0380554900060397,0.652002422378921
"HCC","TP53_mut","PI3K_AKT",355,126,107,248,0.990435707362812,0.923635665402799,0.979584897640989,0.903756538629627,0.953026550813796
"HCC","TP53_mut","RAS_MAPK",355,126,107,248,1.31213737257215,0.0195052346147835,1.24449332184843,0.311474361398589,0.883031253317198
"HCC","TP53_mut","RET_ALK_NTRK",355,126,107,248,0.912664836161908,0.406162514268246,1.04763565439321,0.807870819602082,0.953026550813796
"HCC","TP53_mut","SRC_FAK",355,126,107,248,0.835952825853138,0.101169378471493,1.14615730726253,0.436069169259911,0.883031253317198
"HCC","TP53_mut","TAM_AXL_AXIS",355,126,107,248,0.992176055236199,0.94540896971185,1.80909046379009,0.00204307217177279,0.208393361520825
"HCC","TP53_mut","TGFB_SMAD",355,126,107,248,1.02803663990978,0.79792296508814,1.42589469910424,0.0759646699069432,0.652002422378921
"HCC","TP53_mut","TIE_ANGPT_AXIS",355,126,107,248,1.06035546701236,0.610525626578213,1.0457031980118,0.809976127214924,0.953026550813796
"HCC","TP53_mut","VEGF_PDGF_AXIS",355,126,107,248,0.988011476240375,0.911580945498982,1.13251257043989,0.511551610581781,0.883031253317198
"HCC","TP53_mut","WNT_CTNNB1",355,126,107,248,0.995223967468293,0.966290150206694,1.14459743345634,0.48494010740052,0.883031253317198
"ESCC","EGFR_amp","EPH_RECEPTORS",94,31,14,80,0.660719519446272,0.0226761879318624,1.03647056276861,0.94846906200222,0.97721054872956
"ESCC","EGFR_amp","ERBB_LIGANDS",94,31,14,80,0.676349928096121,0.0446890220048519,2.74453248929211,0.189337679698287,0.883031253317198
"ESCC","EGFR_amp","ERBB_RECEPTORS",94,31,14,80,0.716655643649186,0.0785277007947202,0.783683039050124,0.771780880382992,0.953026550813796
"ESCC","EGFR_amp","FGFR_AXIS",94,31,14,80,0.77903301530717,0.185956732012236,1.48121884223426,0.449421649413356,0.883031253317198
"ESCC","EGFR_amp","HGF_MET_AXIS",94,31,14,80,1.12354651360095,0.586479319366244,0.839389915638923,0.755274904539716,0.953026550813796
"ESCC","EGFR_amp","IGF_INSR_AXIS",94,31,14,80,0.813934367244153,0.292813218767949,1.78810313480474,0.227940808903968,0.883031253317198
"ESCC","EGFR_amp","JAK_STAT",94,31,14,80,1.01739292515947,0.927102230117966,0.904260755899619,0.887685281499858,0.953026550813796
"ESCC","EGFR_amp","PDGFR_KIT_CSF1R",94,31,14,80,0.976329971454301,0.902033581698812,1.08653385454182,0.882412393931589,0.953026550813796
"ESCC","EGFR_amp","PI3K_AKT",94,31,14,80,0.8644737937281,0.384125914082032,0.777744918420796,0.753706111481864,0.953026550813796
"ESCC","EGFR_amp","RAS_MAPK",94,31,14,80,0.704775225321531,0.0458906865437857,1.93601469022469,0.380072759591201,0.883031253317198
"ESCC","EGFR_amp","RET_ALK_NTRK",94,31,14,80,0.927807069460416,0.661151140531556,1.35496832259103,0.593202335845638,0.916767246306895
"ESCC","EGFR_amp","SRC_FAK",94,31,14,80,0.791941050958787,0.203991579366854,2.01503174204135,0.258208449560726,0.883031253317198
"ESCC","EGFR_amp","TAM_AXL_AXIS",94,31,14,80,0.75379618683747,0.0822269355871901,0.601640256141992,0.450790501347278,0.883031253317198
"ESCC","EGFR_amp","TGFB_SMAD",94,31,14,80,0.783497444498123,0.208182738899398,1.40456573057733,0.612369022582651,0.918553533873976
"ESCC","EGFR_amp","TIE_ANGPT_AXIS",94,31,14,80,0.981943767803489,0.934707979882227,0.873533328844915,0.807334704644344,0.953026550813796
"ESCC","EGFR_amp","VEGF_PDGF_AXIS",94,31,14,80,0.898251029440808,0.63158334090251,1.45118114344925,0.54667920743613,0.883031253317198
"ESCC","EGFR_amp","WNT_CTNNB1",94,31,14,80,0.716542280007021,0.0889172935905195,0.899358714432708,0.871693008099927,0.953026550813796
