threshold,context,module,cell_type,comparison_type,n_donors_a,n_donors_b,n_testable,test_used,p_used,fdr_family,fdr_celltype_family,fdr_global
0,CRC,JAK_STAT,malignant cell vs colonocyte,cell-identity,28,20,1,cell-identity unpaired,0.45785645107132533,0.6104752680951004,0.45785645107132533,0.6823394495412844
0,CRC,JAK_STAT,malignant cell vs early colonocyte,cell-identity,28,20,1,cell-identity unpaired,0.22918988375501026,0.4583797675100205,0.22918988375501026,0.42639978373025167
0,CRC,JAK_STAT,malignant cell vs secretory cell,cell-identity,28,18,1,cell-identity unpaired,0.8306867728877789,0.8306867728877789,0.8306867728877789,0.9507042253521126
0,CRC,SRC_FAK,BEST4+ colonocyte,tumour-vs-adjacent,9,16,1,paired,0.546875,1.0,0.546875,0.7231404958677686
0,CRC,SRC_FAK,colon goblet cell,tumour-vs-adjacent,14,17,1,paired,1.0,1.0,1.0,1.0
0,CRC,SRC_FAK,colonocyte,tumour-vs-adjacent,14,20,1,paired,0.946044921875,1.0,0.946044921875,1.0
0,CRC,SRC_FAK,early colonocyte,tumour-vs-adjacent,18,20,1,paired,0.5830078125,1.0,0.5830078125,0.7583841463414634
0,CRC,SRC_FAK,enteroendocrine cell of colon,tumour-vs-adjacent,9,15,1,paired,1.0,1.0,1.0,1.0
0,CRC,SRC_FAK,intestinal crypt stem cell of colon,tumour-vs-adjacent,21,20,1,paired,0.0506591796875,0.4559326171875,0.0506591796875,0.15010127314814814
0,CRC,SRC_FAK,malignant cell,tumour-vs-adjacent,28,20,1,paired,0.21011734008789062,0.9455280303955078,0.21011734008789062,0.4050454748682229
0,CRC,SRC_FAK,secretory cell,tumour-vs-adjacent,19,18,1,paired,0.83935546875,1.0,0.83935546875,0.9507042253521126
0,CRC,SRC_FAK,tuft cell of colon,tumour-vs-adjacent,16,18,1,paired,0.46484375,1.0,0.46484375,0.6823394495412844
0,CRC,SRC_FAK,malignant cell vs BEST4+ colonocyte,cell-identity,28,16,1,cell-identity unpaired,0.021135011133147256,0.08454004453258902,0.021135011133147256,0.07514670625119024
0,CRC,SRC_FAK,malignant cell vs colonocyte,cell-identity,28,20,1,cell-identity unpaired,0.10508388345296737,0.21016776690593475,0.10508388345296737,0.25094658735036984
0,CRC,SRC_FAK,malignant cell vs early colonocyte,cell-identity,28,20,1,cell-identity unpaired,0.5100675275575344,0.6800900367433792,0.5100675275575344,0.6928105714942226
0,CRC,SRC_FAK,malignant cell vs secretory cell,cell-identity,28,18,1,cell-identity unpaired,0.9014807480105274,0.9014807480105274,0.9014807480105274,0.9879241074087971
0,CRC,WNT_CTNNB1,BEST4+ colonocyte,tumour-vs-adjacent,9,16,1,paired,0.9453125,0.9453125,0.9453125,1.0
0,CRC,WNT_CTNNB1,colon goblet cell,tumour-vs-adjacent,14,17,1,paired,0.009765625,0.029296875,0.009765625,0.04595588235294118
0,CRC,WNT_CTNNB1,colonocyte,tumour-vs-adjacent,14,20,1,paired,0.305419921875,0.39268275669642855,0.305419921875,0.5198636968085106
0,CRC,WNT_CTNNB1,early colonocyte,tumour-vs-adjacent,18,20,1,paired,0.0008544921875,0.00384521484375,0.0008544921875,0.00867652370143851
0,CRC,WNT_CTNNB1,enteroendocrine cell of colon,tumour-vs-adjacent,9,15,1,paired,0.21875,0.39268275669642855,0.21875,0.4117647058823529
0,CRC,WNT_CTNNB1,intestinal crypt stem cell of colon,tumour-vs-adjacent,21,20,1,paired,0.09344482421875,0.2102508544921875,0.09344482421875,0.23197115384615385
0,CRC,WNT_CTNNB1,malignant cell,tumour-vs-adjacent,28,20,1,paired,0.000335693359375,0.003021240234375,0.000335693359375,0.004475911458333333
0,CRC,WNT_CTNNB1,secretory cell,tumour-vs-adjacent,19,18,1,paired,0.305419921875,0.39268275669642855,0.305419921875,0.5198636968085106
0,CRC,WNT_CTNNB1,tuft cell of colon,tumour-vs-adjacent,16,18,1,paired,0.4130859375,0.4647216796875,0.4130859375,0.6294642857142857
0,CRC,WNT_CTNNB1,malignant cell vs BEST4+ colonocyte,cell-identity,28,16,1,cell-identity unpaired,0.003838910992924945,0.003838910992924945,0.003838910992924945,0.023148148148148147
0,CRC,WNT_CTNNB1,malignant cell vs colonocyte,cell-identity,28,20,1,cell-identity unpaired,6.452360010171335e-08,2.580944004068534e-07,6.452360010171335e-08,3.866353571578036e-06
0,CRC,WNT_CTNNB1,malignant cell vs early colonocyte,cell-identity,28,20,1,cell-identity unpaired,0.002512724684929381,0.0033502995799058414,0.002512724684929381,0.017479823895160913
0,CRC,WNT_CTNNB1,malignant cell vs secretory cell,cell-identity,28,18,1,cell-identity unpaired,8.78008568536683e-06,1.756017137073366e-05,8.78008568536683e-06,0.00017560171370733659
0,IBD,ERBB_RECEPTORS,T cell of anorectum,case-vs-healthy,12,6,1,unpaired,0.03199741435035553,0.053329023917259216,0.03199741435035553,0.10448135298075276
0,IBD,ERBB_RECEPTORS,colon epithelial cell,case-vs-healthy,12,6,1,unpaired,0.7502693385046326,0.7502693385046326,0.7502693385046326,0.9094173800056153
0,IBD,ERBB_RECEPTORS,myeloid cell,case-vs-healthy,12,6,1,unpaired,0.012142718755417867,0.030356796888544667,0.012142718755417867,0.053967638912968297
0,IBD,ERBB_RECEPTORS,plasma cell,case-vs-healthy,12,6,1,unpaired,0.3845076492135316,0.48063456151691447,0.3845076492135316,0.6031492536682849
0,IBD,ERBB_RECEPTORS,stromal cell of lamina propria of colon,case-vs-healthy,12,6,1,unpaired,0.001292824822236587,0.006464124111182934,0.001292824822236587,0.010886945871465995
0,IBD,ERBB_LIGANDS,T cell of anorectum,case-vs-healthy,12,6,1,unpaired,0.8916181857358327,0.8916181857358328,0.8916181857358327,0.9838545497774707
0,IBD,ERBB_LIGANDS,colon epithelial cell,case-vs-healthy,12,6,1,unpaired,0.5532212885154062,0.6915266106442577,0.5532212885154062,0.7255361160857785
0,IBD,ERBB_LIGANDS,myeloid cell,case-vs-healthy,12,6,1,unpaired,0.0020469726352079294,0.010234863176039647,0.0020469726352079294,0.015595981982536604
0,IBD,ERBB_LIGANDS,plasma cell,case-vs-healthy,12,6,1,unpaired,0.24962292609351436,0.4160382101558573,0.24962292609351436,0.44377409083291447
0,IBD,ERBB_LIGANDS,stromal cell of lamina propria of colon,case-vs-healthy,12,6,1,unpaired,0.06679594914889034,0.16698987287222583,0.06679594914889034,0.1796875
0,IBD,VEGF_PDGF_AXIS,T cell of anorectum,case-vs-healthy,12,6,1,unpaired,0.33548804137039434,0.559146735617324,0.33548804137039434,0.5477355777475826
0,IBD,VEGF_PDGF_AXIS,colon epithelial cell,case-vs-healthy,12,6,1,unpaired,0.8916181857358327,0.9635854341736694,0.8916181857358327,0.9838545497774707
0,IBD,VEGF_PDGF_AXIS,myeloid cell,case-vs-healthy,12,6,1,unpaired,0.9635854341736694,0.9635854341736694,0.9635854341736694,1.0
0,IBD,VEGF_PDGF_AXIS,plasma cell,case-vs-healthy,12,6,1,unpaired,0.1797026502908856,0.44925662572721403,0.1797026502908856,0.3639547347663506
0,IBD,VEGF_PDGF_AXIS,stromal cell of lamina propria of colon,case-vs-healthy,12,6,1,unpaired,0.013466925231631115,0.06733462615815558,0.013466925231631115,0.05756578947368421
0,IBD,HGF_MET_AXIS,T cell of anorectum,case-vs-healthy,12,6,1,unpaired,0.3947683705715457,0.6579472842859094,0.3947683705715457,0.6073359547254549
0,IBD,HGF_MET_AXIS,colon epithelial cell,case-vs-healthy,12,6,1,unpaired,0.009696186166774402,0.04848093083387201,0.009696186166774402,0.04595588235294118
0,IBD,HGF_MET_AXIS,myeloid cell,case-vs-healthy,12,6,1,unpaired,0.7786177188876373,0.7786177188876373,0.7786177188876373,0.9366829700903907
0,IBD,HGF_MET_AXIS,plasma cell,case-vs-healthy,12,6,1,unpaired,0.6057226196064835,0.7571532745081044,0.6057226196064835,0.7753249530962989
0,IBD,HGF_MET_AXIS,stromal cell of lamina propria of colon,case-vs-healthy,12,6,1,unpaired,0.06679594914889034,0.16698987287222583,0.06679594914889034,0.1796875
0,IBD,EPH_RECEPTORS,T cell of anorectum,case-vs-healthy,12,6,1,unpaired,0.8882172187345627,0.8882172187345627,0.8882172187345627,0.9838545497774707
0,IBD,EPH_RECEPTORS,colon epithelial cell,case-vs-healthy,12,6,1,unpaired,0.33548804137039434,0.43308885144261244,0.33548804137039434,0.5477355777475826
0,IBD,EPH_RECEPTORS,myeloid cell,case-vs-healthy,12,6,1,unpaired,0.20515220237474951,0.43308885144261244,0.20515220237474951,0.40029698024341365
0,IBD,EPH_RECEPTORS,plasma cell,case-vs-healthy,12,6,1,unpaired,0.34647108115409,0.43308885144261244,0.34647108115409,0.5599532624712565
0,IBD,EPH_RECEPTORS,stromal cell of lamina propria of colon,case-vs-healthy,12,6,1,unpaired,0.08306399482870072,0.41531997414350363,0.08306399482870072,0.21329365079365079
0,IBD,JAK_STAT,T cell of anorectum,case-vs-healthy,12,6,1,unpaired,0.15050635638870935,0.1881329454858867,0.15050635638870935,0.3254191489485608
0,IBD,JAK_STAT,colon epithelial cell,case-vs-healthy,12,6,1,unpaired,0.001292824822236587,0.006464124111182934,0.001292824822236587,0.010886945871465995
0,IBD,JAK_STAT,myeloid cell,case-vs-healthy,12,6,1,unpaired,0.003232062055591467,0.008080155138978667,0.003232062055591467,0.02138671875
0,IBD,JAK_STAT,plasma cell,case-vs-healthy,12,6,1,unpaired,0.49364361129067014,0.49364361129067014,0.49364361129067014,0.6928105714942226
0,IBD,JAK_STAT,stromal cell of lamina propria of colon,case-vs-healthy,12,6,1,unpaired,0.1246498599439776,0.1881329454858867,0.1246498599439776,0.2890431534932814
0,IBD,SRC_FAK,T cell of anorectum,case-vs-healthy,12,6,1,unpaired,0.21288515406162467,0.31202865761689297,0.21288515406162467,0.4054955315459518
0,IBD,SRC_FAK,colon epithelial cell,case-vs-healthy,12,6,1,unpaired,0.6164619694031459,0.6164619694031459,0.6164619694031459,0.7828088500357409
0,IBD,SRC_FAK,myeloid cell,case-vs-healthy,12,6,1,unpaired,0.1246498599439776,0.31202865761689297,0.1246498599439776,0.2890431534932814
0,IBD,SRC_FAK,plasma cell,case-vs-healthy,12,6,1,unpaired,0.15050635638870935,0.31202865761689297,0.15050635638870935,0.3254191489485608
0,IBD,SRC_FAK,stromal cell of lamina propria of colon,case-vs-healthy,12,6,1,unpaired,0.24962292609351436,0.31202865761689297,0.24962292609351436,0.44377409083291447
0,IBD,WNT_CTNNB1,T cell of anorectum,case-vs-healthy,12,6,1,unpaired,0.8200818789054083,0.9635854341736694,0.8200818789054083,0.9507042253521126
0,IBD,WNT_CTNNB1,colon epithelial cell,case-vs-healthy,12,6,1,unpaired,0.03199741435035553,0.15998707175177765,0.03199741435035553,0.10448135298075276
0,IBD,WNT_CTNNB1,myeloid cell,case-vs-healthy,12,6,1,unpaired,0.9635854341736694,0.9635854341736694,0.9635854341736694,1.0
0,IBD,WNT_CTNNB1,plasma cell,case-vs-healthy,12,6,1,unpaired,0.3845076492135316,0.8227393521511169,0.3845076492135316,0.6031492536682849
0,IBD,WNT_CTNNB1,stromal cell of lamina propria of colon,case-vs-healthy,12,6,1,unpaired,0.49364361129067014,0.8227393521511169,0.49364361129067014,0.6928105714942226
0,STAD,ERBB_RECEPTORS,BEST4+ enterocyte,tumour-vs-adjacent,5,7,1,unpaired,0.8041551811226735,0.8041551811226735,0.8041551811226735,0.9502814797794118
0,STAD,ERBB_RECEPTORS,enterocyte,tumour-vs-adjacent,19,19,0,not testable,nan,nan,nan,nan
0,STAD,ERBB_RECEPTORS,enteroendocrine cell,tumour-vs-adjacent,23,24,0,not testable,nan,nan,nan,nan
0,STAD,ERBB_RECEPTORS,epithelial cell,tumour-vs-adjacent,28,33,0,not testable,nan,nan,nan,nan
0,STAD,ERBB_RECEPTORS,foveolar cell of stomach,tumour-vs-adjacent,28,33,0,not testable,nan,nan,nan,nan
0,STAD,ERBB_RECEPTORS,intestine goblet cell,tumour-vs-adjacent,22,19,0,not testable,nan,nan,nan,nan
0,STAD,ERBB_RECEPTORS,mucous neck cell of gastric gland,tumour-vs-adjacent,27,33,0,not testable,nan,nan,nan,nan
0,STAD,ERBB_RECEPTORS,parietal cell,tumour-vs-adjacent,19,30,0,not testable,nan,nan,nan,nan
0,STAD,ERBB_RECEPTORS,peptic cell,tumour-vs-adjacent,19,28,0,not testable,nan,nan,nan,nan
0,STAD,ERBB_RECEPTORS,type EC enteroendocrine cell,tumour-vs-adjacent,21,27,0,not testable,nan,nan,nan,nan
0,STAD,ERBB_RECEPTORS,type G enteroendocrine cell,tumour-vs-adjacent,13,24,1,unpaired,0.18240213455574372,0.36480426911148744,0.18240213455574372,0.36480426911148744
0,STAD,ERBB_RECEPTORS,type X enteroendocrine cell,tumour-vs-adjacent,13,25,0,not testable,nan,nan,nan,nan
0,STAD,ERBB_LIGANDS,BEST4+ enterocyte,tumour-vs-adjacent,5,7,1,unpaired,1.0,1.0,1.0,1.0
0,STAD,ERBB_LIGANDS,enterocyte,tumour-vs-adjacent,19,19,0,not testable,nan,nan,nan,nan
0,STAD,ERBB_LIGANDS,enteroendocrine cell,tumour-vs-adjacent,23,24,0,not testable,nan,nan,nan,nan
0,STAD,ERBB_LIGANDS,epithelial cell,tumour-vs-adjacent,28,33,0,not testable,nan,nan,nan,nan
0,STAD,ERBB_LIGANDS,foveolar cell of stomach,tumour-vs-adjacent,28,33,0,not testable,nan,nan,nan,nan
0,STAD,ERBB_LIGANDS,intestine goblet cell,tumour-vs-adjacent,22,19,0,not testable,nan,nan,nan,nan
0,STAD,ERBB_LIGANDS,mucous neck cell of gastric gland,tumour-vs-adjacent,27,33,0,not testable,nan,nan,nan,nan
0,STAD,ERBB_LIGANDS,parietal cell,tumour-vs-adjacent,19,30,0,not testable,nan,nan,nan,nan
0,STAD,ERBB_LIGANDS,peptic cell,tumour-vs-adjacent,19,28,0,not testable,nan,nan,nan,nan
0,STAD,ERBB_LIGANDS,type EC enteroendocrine cell,tumour-vs-adjacent,21,27,0,not testable,nan,nan,nan,nan
0,STAD,ERBB_LIGANDS,type G enteroendocrine cell,tumour-vs-adjacent,13,24,1,unpaired,0.15742172863785475,0.3148434572757095,0.15742172863785475,0.33141416555337844
0,STAD,ERBB_LIGANDS,type X enteroendocrine cell,tumour-vs-adjacent,13,25,0,not testable,nan,nan,nan,nan
0,STAD,VEGF_PDGF_AXIS,BEST4+ enterocyte,tumour-vs-adjacent,5,7,1,unpaired,0.14740688856687892,0.29481377713375784,0.14740688856687892,0.3254191489485608
0,STAD,VEGF_PDGF_AXIS,enterocyte,tumour-vs-adjacent,19,19,0,not testable,nan,nan,nan,nan
0,STAD,VEGF_PDGF_AXIS,enteroendocrine cell,tumour-vs-adjacent,23,24,0,not testable,nan,nan,nan,nan
0,STAD,VEGF_PDGF_AXIS,epithelial cell,tumour-vs-adjacent,28,33,0,not testable,nan,nan,nan,nan
0,STAD,VEGF_PDGF_AXIS,foveolar cell of stomach,tumour-vs-adjacent,28,33,0,not testable,nan,nan,nan,nan
0,STAD,VEGF_PDGF_AXIS,intestine goblet cell,tumour-vs-adjacent,22,19,0,not testable,nan,nan,nan,nan
