disease,feature,k,est,se,p,ci_lo,ci_hi,I2,tau2,measures,cohorts,fdr,pi_low,pi_high,pi_note
HCC,IGF_INSR_AXIS,2,-1.0163101938081,0.169321925201109,0.105098450948527,-3.16774924173665,1.13512885412045,0,0,SMCRPH 1|SMDH 1,GSE57957;GSE62232,0.472001393376343,-3.1677,1.1351,95% prediction interval; uninformative when k is small
IBD,IGF_INSR_AXIS,3,-0.533700748000128,0.128514242741274,0.0533832272520005,-1.08665290534255,0.0192514093422987,0,0,SMCRPH 1|SMDH 2,GSE179285;GSE75214;GSE87473,0.10083199989385,-1.0867,0.0193,95% prediction interval; uninformative when k is small
LUAD,IGF_INSR_AXIS,3,-0.439947413609228,0.0730041014883715,0.0264479926719989,-0.754058710161076,-0.125836117057379,0,0,SMCRPH 3,GSE10072;GSE19804;GSE32863,0.0749359792373301,-0.7541,-0.1258,95% prediction interval; uninformative when k is small
NAFLD,IGF_INSR_AXIS,2,-1.03181476798273,0.654757935115317,0.359977291053871,-9.35130314419294,7.28767360822748,89.0932390754664,0.764719933501995,SMDH 2,GSE33814;GSE66676,0.919661679056586,-14.9124,12.8487,95% prediction interval; uninformative when k is small
PAAD,IGF_INSR_AXIS,3,-0.554171891848724,0.362897712376629,0.266300542436819,-2.11559472462586,1.00725094092841,86.5583794473904,0.34146068217699,SMCRPH 3,GSE15471;GSE28735;GSE62452,0.41750933765563,-3.514,2.4057,95% prediction interval; uninformative when k is small
STAD,IGF_INSR_AXIS,3,0.0581106747826556,0.0429906585440605,0.309050034356514,-0.126863199555674,0.243084549120985,0,0,SMCRPH 3,GSE13911;GSE27342;GSE63089,0.449527322700384,-0.1269,0.2431,95% prediction interval; uninformative when k is small
Asthma,JAK_STAT,3,-0.16414534559567,0.0991379741869869,0.239614391371128,-0.59070162085314,0.262410929661801,0,0,SMDH 3,GSE4302;GSE43696;GSE67472,0.370313150300835,-0.5907,0.2624,95% prediction interval; uninformative when k is small
COPD,JAK_STAT,2,0.281843560148177,0.0533834187373332,0.119169166834586,-0.396457087845324,0.960144208141677,0,0,SMDH 2,GSE47460;GSE76925,0.415475115455989,-0.3964,0.9601,95% prediction interval; uninformative when k is small
CRC,JAK_STAT,3,-0.0522880187062402,0.0186762199342779,0.107411328494747,-0.132645307387862,0.028069269975382,0,0,SMCRPH 2|SMDH 1,GSE23878;GSE41258;GSE44076,0.140460968031592,-0.1327,0.0281,95% prediction interval; uninformative when k is small
ESCC,JAK_STAT,2,-0.135487811829346,0.316199526019373,0.742282569290281,-4.1531837269129,3.88220810325421,66.6838221729973,0.137720162065561,SMCRPH 2,GSE20347;GSE23400,0.742282569290281,-6.3303,6.0593,95% prediction interval; uninformative when k is small
