"disease","feature","n_analysed","n_fdr","pos","neg","median_d_adj","majority","joint_robust","n_rows","n_est","status"
"IBD","SRC_FAK",3,0,3,0,0.609703989216226,3,FALSE,3,3,"estimated, not significant"
"IBD","TAM_AXL_AXIS",3,0,1,2,-0.113674358533863,2,FALSE,3,3,"estimated, not significant"
"IBD","TGFB_SMAD",3,0,2,1,0.39515968387602,2,FALSE,3,3,"estimated, not significant"
"IBD","TIE_ANGPT_AXIS",3,0,2,1,0.0547269837762927,2,FALSE,3,3,"estimated, not significant"
"IBD","VEGF_PDGF_AXIS",3,1,1,2,-0.190886207210531,2,FALSE,3,3,"estimated"
"IBD","WNT_CTNNB1",3,1,2,1,0.2161528860388,2,FALSE,3,3,"estimated"
"LUAD","EPH_RECEPTORS",3,1,1,2,-0.504230555469688,2,FALSE,3,3,"estimated"
"LUAD","ERBB_LIGANDS",3,0,0,3,-0.729078410954276,3,FALSE,3,3,"estimated, not significant"
"LUAD","ERBB_RECEPTORS",3,0,1,2,-0.315193456505731,2,FALSE,3,3,"estimated, not significant"
"LUAD","FGFR_AXIS",3,0,0,3,-1.17734467855054,3,FALSE,3,3,"estimated, not significant"
"LUAD","HGF_MET_AXIS",3,0,3,0,0.764112164046129,3,FALSE,3,3,"estimated, not significant"
"LUAD","IGF_INSR_AXIS",3,0,3,0,0.866758605175117,3,FALSE,3,3,"estimated, not significant"
"LUAD","JAK_STAT",3,0,1,2,-0.2567300521762,2,FALSE,3,3,"estimated, not significant"
"LUAD","PDGFR_KIT_CSF1R",3,1,3,0,1.29058700569247,3,FALSE,3,3,"estimated"
"LUAD","PI3K_AKT",3,1,1,2,-0.080127238615504,2,FALSE,3,3,"estimated"
"LUAD","RAS_MAPK",3,0,2,1,0.276659235171927,2,FALSE,3,3,"estimated, not significant"
"LUAD","RET_ALK_NTRK",3,0,0,3,-1.31244153587011,3,FALSE,3,3,"estimated, not significant"
"LUAD","SRC_FAK",3,0,3,0,0.369708760926562,3,FALSE,3,3,"estimated, not significant"
"LUAD","TAM_AXL_AXIS",3,0,2,1,0.310639614526342,2,FALSE,3,3,"estimated, not significant"
"LUAD","TGFB_SMAD",3,0,0,3,-1.100501987208,3,FALSE,3,3,"estimated, not significant"
"LUAD","TIE_ANGPT_AXIS",3,0,3,0,0.841211649908793,3,FALSE,3,3,"estimated, not significant"
"LUAD","VEGF_PDGF_AXIS",3,0,3,0,0.959957091643676,3,FALSE,3,3,"estimated, not significant"
"LUAD","WNT_CTNNB1",3,0,0,3,-0.26334709660072,3,FALSE,3,3,"estimated, not significant"
"NAFLD","EPH_RECEPTORS",2,1,0,2,-0.556737970652137,2,FALSE,2,2,"estimated"
"NAFLD","ERBB_LIGANDS",2,0,1,1,0.122519781642199,1,FALSE,2,2,"estimated, not significant"
"NAFLD","ERBB_RECEPTORS",2,0,1,1,-0.010750975573184,1,FALSE,2,2,"estimated, not significant"
"NAFLD","FGFR_AXIS",2,0,1,1,0.092200741217952,1,FALSE,2,2,"estimated, not significant"
"NAFLD","HGF_MET_AXIS",2,0,0,2,-0.8018757507077,2,FALSE,2,2,"estimated, not significant"
"NAFLD","IGF_INSR_AXIS",2,0,0,2,-0.756816743551184,2,FALSE,2,2,"estimated, not significant"
"NAFLD","JAK_STAT",2,0,1,1,-0.09663404526789,1,FALSE,2,2,"estimated, not significant"
"NAFLD","PDGFR_KIT_CSF1R",2,0,1,1,-0.129344339847923,1,FALSE,2,2,"estimated, not significant"
"NAFLD","PI3K_AKT",2,0,0,2,-0.346216416351498,2,FALSE,2,2,"estimated, not significant"
"NAFLD","RAS_MAPK",2,0,2,0,0.451084801158852,2,FALSE,2,2,"estimated, not significant"
"NAFLD","RET_ALK_NTRK",1,0,0,1,-0.416344823884447,1,FALSE,1,1,"estimated, not significant"
"NAFLD","SRC_FAK",2,0,1,1,-0.182999794964111,1,FALSE,2,2,"estimated, not significant"
"NAFLD","TAM_AXL_AXIS",2,0,0,2,-0.289248358347474,2,FALSE,2,2,"estimated, not significant"
"NAFLD","TGFB_SMAD",2,0,0,2,-0.687550869567052,2,FALSE,2,2,"estimated, not significant"
"NAFLD","TIE_ANGPT_AXIS",2,0,1,1,0.167991543517218,1,FALSE,2,2,"estimated, not significant"
"NAFLD","VEGF_PDGF_AXIS",2,0,1,1,-0.0031243604905995,1,FALSE,2,2,"estimated, not significant"
"NAFLD","WNT_CTNNB1",2,0,1,1,0.0500684614294856,1,FALSE,2,2,"estimated, not significant"
"PAAD","EPH_RECEPTORS",3,0,2,1,0.0944806539536659,2,FALSE,3,3,"estimated, not significant"
"PAAD","ERBB_LIGANDS",3,0,1,2,-0.0531553080615867,2,FALSE,3,3,"estimated, not significant"
"PAAD","ERBB_RECEPTORS",3,0,0,3,-0.661912058399487,3,FALSE,3,3,"estimated, not significant"
"PAAD","FGFR_AXIS",3,1,1,2,-0.0950083260340228,2,FALSE,3,3,"estimated"
"PAAD","HGF_MET_AXIS",3,1,3,0,0.870562690529642,3,FALSE,3,3,"estimated"
"PAAD","IGF_INSR_AXIS",3,0,1,2,-0.195726443512444,2,FALSE,3,3,"estimated, not significant"
"PAAD","JAK_STAT",3,1,3,0,0.417511876729567,3,FALSE,3,3,"estimated"
"PAAD","PDGFR_KIT_CSF1R",3,1,2,1,0.172312003930238,2,FALSE,3,3,"estimated"
"PAAD","PI3K_AKT",3,0,1,2,-0.512247011352935,2,FALSE,3,3,"estimated, not significant"
"PAAD","RAS_MAPK",3,1,3,0,0.301282654101442,3,FALSE,3,3,"estimated"
"PAAD","RET_ALK_NTRK",1,1,0,1,-0.91895488406805,1,FALSE,1,1,"estimated"
"PAAD","SRC_FAK",3,0,2,1,0.246134693758528,2,FALSE,3,3,"estimated, not significant"
"PAAD","TAM_AXL_AXIS",3,0,1,2,-0.279103891848887,2,FALSE,3,3,"estimated, not significant"
"PAAD","TGFB_SMAD",3,1,3,0,0.449773208119927,3,FALSE,3,3,"estimated"
"PAAD","TIE_ANGPT_AXIS",3,1,1,2,-0.0961250233657131,2,FALSE,3,3,"estimated"
"PAAD","VEGF_PDGF_AXIS",3,1,2,1,0.040881150652346,2,FALSE,3,3,"estimated"
"PAAD","WNT_CTNNB1",3,1,3,0,0.247171578668139,3,FALSE,3,3,"estimated"
"STAD","EPH_RECEPTORS",3,3,3,0,1.89471289004866,3,TRUE,3,3,"robust"
"STAD","ERBB_LIGANDS",3,1,1,2,-0.120990695444083,2,FALSE,3,3,"estimated"
"STAD","ERBB_RECEPTORS",3,2,1,2,-0.800337367489319,2,TRUE,3,3,"robust"
"STAD","FGFR_AXIS",3,1,1,2,-0.419956400267249,2,FALSE,3,3,"estimated"
"STAD","HGF_MET_AXIS",3,3,3,0,0.72387886385768,3,TRUE,3,3,"robust"
"STAD","IGF_INSR_AXIS",3,0,1,2,-0.349055149859622,2,FALSE,3,3,"estimated, not significant"
"STAD","JAK_STAT",3,3,3,0,1.1167253540619,3,TRUE,3,3,"robust"
"STAD","PDGFR_KIT_CSF1R",3,1,0,3,-0.323101161439709,3,FALSE,3,3,"estimated"
"STAD","PI3K_AKT",3,3,3,0,0.602189128864643,3,TRUE,3,3,"robust"
"STAD","RAS_MAPK",3,2,3,0,1.05491351896611,3,TRUE,3,3,"robust"
"STAD","RET_ALK_NTRK",3,3,0,3,-1.10922140732845,3,TRUE,3,3,"robust"
"STAD","SRC_FAK",3,1,2,1,0.36305058881831,2,FALSE,3,3,"estimated"
"STAD","TAM_AXL_AXIS",1,0,0,1,-0.483837332218145,1,FALSE,1,1,"estimated, not significant"
"STAD","TGFB_SMAD",3,1,3,0,0.394136453237564,3,FALSE,3,3,"estimated"
"STAD","TIE_ANGPT_AXIS",3,0,0,3,-0.266144910457139,3,FALSE,3,3,"estimated, not significant"
"STAD","VEGF_PDGF_AXIS",3,2,3,0,0.652218523475501,3,TRUE,3,3,"robust"
"STAD","WNT_CTNNB1",3,2,3,0,0.878460547979186,3,TRUE,3,3,"robust"
