"state","accession","variant","n_genes","yi","vi"
"CRC TIE_ANGPT_AXIS","GSE44076","minus_overlap",3,-0.211601144351437,0.0205698796565418
"CRC TIE_ANGPT_AXIS","GSE41258","full",3,-0.239455286374977,0.0244844275423242
"CRC TIE_ANGPT_AXIS","GSE41258","minus_overlap",3,-0.239455286374977,0.0244844275423242
"CRC TIE_ANGPT_AXIS","GSE23878","full",3,-0.221913344923512,0.0706554302605964
"CRC TIE_ANGPT_AXIS","GSE23878","minus_overlap",3,-0.221913344923512,0.0706554302605964
"STAD EPH_RECEPTORS","GSE27342","full",4,1.1798104503951,0.035687716433926
"STAD EPH_RECEPTORS","GSE27342","minus_overlap",4,1.1798104503951,0.035687716433926
"STAD EPH_RECEPTORS","GSE27342","drop_EPHB2",3,0.879220195677433,0.0324374679935147
"STAD EPH_RECEPTORS","GSE27342","drop_EPHA1",3,1.21194330256268,0.0374461168728446
"STAD EPH_RECEPTORS","GSE27342","drop_EPHB4",3,0.971036115762198,0.0325492359575783
"STAD EPH_RECEPTORS","GSE63089","full",4,1.68637507282689,0.0708239011513565
"STAD EPH_RECEPTORS","GSE63089","minus_overlap",4,1.68637507282689,0.0708239011513565
"STAD EPH_RECEPTORS","GSE63089","drop_EPHB2",3,1.11393763706948,0.0485011476364781
"STAD EPH_RECEPTORS","GSE63089","drop_EPHB4",3,1.37681595123637,0.0643662854927249
"STAD EPH_RECEPTORS","GSE63089","drop_EPHA1",3,1.97990698427725,0.0831656793071036
"STAD EPH_RECEPTORS","GSE13911","full",4,1.74823984832113,0.080721263897479
"STAD EPH_RECEPTORS","GSE13911","minus_overlap",4,1.74823984832113,0.080721263897479
"STAD EPH_RECEPTORS","GSE13911","drop_EPHB4",3,1.14234030102717,0.068029950825689
"STAD EPH_RECEPTORS","GSE13911","drop_EPHB2",3,1.35912728000789,0.0719595566221441
"STAD EPH_RECEPTORS","GSE13911","drop_EPHA2",3,1.72684999591024,0.0801826286881842
"STAD JAK_STAT","GSE27342","full",7,0.730784528629019,0.0293302989830016
"STAD JAK_STAT","GSE27342","minus_overlap",7,0.730784528629019,0.0293302989830016
"STAD JAK_STAT","GSE27342","drop_STAT1",6,0.608295303091632,0.0275664463000512
