"accession","disease","module","smd_full"
"GSE43696","Asthma","EPH_RECEPTORS",0.0769503650753772
"GSE43696","Asthma","ERBB_LIGANDS",-0.344464722487714
"GSE43696","Asthma","ERBB_RECEPTORS",-0.354551610661585
"GSE43696","Asthma","FGFR_AXIS",-0.104803526729299
"GSE43696","Asthma","HGF_MET_AXIS",-0.0305040462822864
"GSE43696","Asthma","IGF_INSR_AXIS",-0.379133722520472
"GSE43696","Asthma","JAK_STAT",-0.460300941197829
"GSE43696","Asthma","PDGFR_KIT_CSF1R",0.116129353682232
"GSE43696","Asthma","PI3K_AKT",0.193419421124346
"GSE43696","Asthma","RAS_MAPK",0.110158258489191
"GSE43696","Asthma","RET_ALK_NTRK",0.37142433204038
"GSE43696","Asthma","SRC_FAK",-0.1549455383548
"GSE43696","Asthma","TAM_AXL_AXIS",0.182543878132058
"GSE43696","Asthma","TGFB_SMAD",-0.399529232782212
"GSE43696","Asthma","TIE_ANGPT_AXIS",0.199559780296694
"GSE43696","Asthma","VEGF_PDGF_AXIS",-0.0278035470586518
"GSE43696","Asthma","WNT_CTNNB1",-0.645829849247411
"GSE67472","Asthma","EPH_RECEPTORS",0.0197812695672286
"GSE67472","Asthma","ERBB_LIGANDS",-0.216415568437871
"GSE67472","Asthma","ERBB_RECEPTORS",-0.436115652120767
"GSE67472","Asthma","FGFR_AXIS",-0.372655550650847
"GSE67472","Asthma","HGF_MET_AXIS",-0.199187083951449
"GSE67472","Asthma","IGF_INSR_AXIS",-1.0876333303876
"GSE67472","Asthma","JAK_STAT",0.0495487271447653
"GSE67472","Asthma","PDGFR_KIT_CSF1R",0.593959701307904
"GSE67472","Asthma","PI3K_AKT",0.407612252017066
"GSE67472","Asthma","RAS_MAPK",0.340223677431091
"GSE67472","Asthma","RET_ALK_NTRK",-0.144308307265087
"GSE67472","Asthma","SRC_FAK",0.260540091487656
"GSE67472","Asthma","TAM_AXL_AXIS",0.00158202925998197
"GSE67472","Asthma","TGFB_SMAD",0.184389948871683
"GSE67472","Asthma","TIE_ANGPT_AXIS",-0.462983066057344
"GSE67472","Asthma","VEGF_PDGF_AXIS",-0.308649717907735
"GSE67472","Asthma","WNT_CTNNB1",-0.572360597921437
"GSE27342","STAD","EPH_RECEPTORS",0.501015844749398
"GSE27342","STAD","ERBB_LIGANDS",0.120429366378797
"GSE27342","STAD","ERBB_RECEPTORS",0.266319768448556
"GSE27342","STAD","FGFR_AXIS",0.198133473989539
"GSE27342","STAD","HGF_MET_AXIS",0.379586158193932
"GSE27342","STAD","IGF_INSR_AXIS",0.175378372742754
"GSE27342","STAD","JAK_STAT",0.277222932286385
"GSE27342","STAD","PDGFR_KIT_CSF1R",0.0792127001432388
"GSE27342","STAD","PI3K_AKT",0.222467117246756
"GSE27342","STAD","RAS_MAPK",0.222692519233313
"GSE27342","STAD","RET_ALK_NTRK",-0.378741790327695
"GSE27342","STAD","SRC_FAK",0.188802728099392
"GSE27342","STAD","TGFB_SMAD",0.170872457374361
"GSE27342","STAD","TIE_ANGPT_AXIS",0.0775958869740789
"GSE27342","STAD","VEGF_PDGF_AXIS",0.229712085836505
"GSE27342","STAD","WNT_CTNNB1",0.190564253121114
"GSE63089","STAD","EPH_RECEPTORS",1.69474751856257
"GSE63089","STAD","ERBB_LIGANDS",0.642380983865943
"GSE63089","STAD","ERBB_RECEPTORS",0.556091457182179
"GSE63089","STAD","FGFR_AXIS",0.562483471649685
