"disease","feature","k","n_case","n_control","smd_min","smd_max","direction_consistency","smd_FE","smd_RE","se_RE","ci_low","ci_high","p_RE","Q","I2","tau2","accession","fdr_RE"
"CRC","IGF_INSR_AXIS",3,315,175,-0.880941992248855,-0.691015583482067,1,-0.809877518757138,-0.809877518757138,0.088951367479978,-0.984222199017895,-0.635532838496381,8.64872325269973e-20,0.40152092544757,0,0,"GSE44076;GSE41258;GSE23878",2.94056590591791e-19
"CRC","HGF_MET_AXIS",3,315,175,0.488604639795293,0.955544828851422,1,0.80678888663117,0.804720641626179,0.0977731220199061,0.613085322467163,0.996355960785195,1.86450148306288e-16,2.26324030961934,11.6311250069426,0.00378618955746792,"GSE44076;GSE41258;GSE23878",5.28275420201149e-16
"CRC","PDGFR_KIT_CSF1R",3,315,175,-1.07629322072237,-0.69764050290857,1,-0.842213802962214,-0.899162789235169,0.145179733074883,-1.18371506606194,-0.614610512408398,5.88629843358058e-10,4.254692696656,52.9930798158017,0.0330147392386164,"GSE44076;GSE41258;GSE23878",1.42952961958385e-09
"CRC","TGFB_SMAD",3,315,175,-0.684776604932195,-0.384939578928097,1,-0.427534725298562,-0.427534725298562,0.0830209750637659,-0.590255836423543,-0.264813614173581,2.60876459370208e-07,1.06159274212297,0,0,"GSE44076;GSE41258;GSE23878",5.54362476161692e-07
"CRC","ERBB_LIGANDS",3,315,175,-0.402089549993366,-0.367770626227353,1,-0.389349617278966,-0.389349617278966,0.0829753400886258,-0.551981283852672,-0.226717950705259,2.70080090590029e-06,0.0391691988026604,0,0,"GSE44076;GSE41258;GSE23878",5.1015128222561e-06
"CRC","VEGF_PDGF_AXIS",3,315,175,0.461966288282642,1.08933278673441,1,0.64738345184372,0.728334813983591,0.222756277430456,0.291732510219898,1.16493711774728,0.00107681053417406,10.3087588368137,80.5990223298485,0.115789434558481,"GSE44076;GSE41258;GSE23878",0.0018305779080959
"CRC","SRC_FAK",3,315,175,-0.734550928495517,-0.280267493453698,1,-0.412643221178948,-0.446195601068894,0.158767194423454,-0.757379302138864,-0.135011899998923,0.00494835673062215,5.54116385771903,63.9064995846688,0.0469023885186065,"GSE44076;GSE41258;GSE23878",0.0076474604018706
"CRC","TIE_ANGPT_AXIS",3,315,175,-0.239455425098388,-0.151826539370323,1,-0.181922550191999,-0.181922550191999,0.0811430582061934,-0.340962944276138,-0.0228821561078599,0.0249615206985223,0.24558045215742,0,0,"GSE44076;GSE41258;GSE23878",0.0353621543229066
"CRC","RAS_MAPK",3,315,175,-0.530602005411818,0.0961889481067344,0.666666666666667,-0.402349328228844,-0.318331161258805,0.155841826019225,-0.623781140256485,-0.0128811822611238,0.0410865540169018,5.32659755870669,62.4525791941826,0.0442142939381329,"GSE44076;GSE41258;GSE23878",0.053728570637487
"CRC","JAK_STAT",3,315,175,-0.063384206898812,-0.0371989780618045,1,-0.048366275491269,-0.048366275491269,0.0808067617930756,-0.206747528605697,0.110014977623159,0.549478057013005,0.00893913509627864,0,0,"GSE44076;GSE41258;GSE23878",0.627730706030376
