"accession","sample_id","patient_id","group"
"GSE76925","GSM2040931",NA,"Case"
"GSE76925","GSM2040932",NA,"Case"
"GSE76925","GSM2040933",NA,"Case"
"GSE76925","GSM2040934",NA,"Case"
"GSE76925","GSM2040935",NA,"Case"
"GSE76925","GSM2040936",NA,"Case"
"GSE76925","GSM2040937",NA,"Case"
"GSE76925","GSM2040938",NA,"Case"
"GSE76925","GSM2040939",NA,"Case"
"GSE76925","GSM2040940",NA,"Case"
"GSE76925","GSM2040941",NA,"Case"
"GSE76925","GSM2040942",NA,"Case"
"GSE10072","GSM254625","GT00006","Case"
"GSE10072","GSM254626","GT00006","Control"
"GSE10072","GSM254627","GT00007","Case"
"GSE10072","GSM254628","GT00007","Control"
"GSE10072","GSM254631","GT00059","Case"
"GSE10072","GSM254632","GT00059","Control"
"GSE10072","GSM254633","GT00146","Case"
"GSE10072","GSM254634","GT00146","Control"
"GSE10072","GSM254635","GT01001","Control"
"GSE10072","GSM254636","GT01001","Case"
"GSE10072","GSM254637","GT01003","Case"
"GSE10072","GSM254638","GT01003","Control"
"GSE10072","GSM254639","GT01011","Case"
"GSE10072","GSM254640","GT01011","Control"
"GSE10072","GSM254644","GT01025","Control"
"GSE10072","GSM254645","GT01025","Case"
"GSE10072","GSM254648","GT01036","Case"
"GSE10072","GSM254649","GT01036","Control"
"GSE10072","GSM254650","GT01038","Case"
"GSE10072","GSM254651","GT01038","Control"
"GSE10072","GSM254658","GT01061","Control"
"GSE10072","GSM254659","GT01061","Case"
"GSE10072","GSM254666","GT01097","Case"
"GSE10072","GSM254667","GT01097","Control"
"GSE10072","GSM254668","GT01099","Case"
"GSE10072","GSM254669","GT01099","Control"
"GSE10072","GSM254670","GT01100","Case"
"GSE10072","GSM254671","GT01100","Control"
"GSE10072","GSM254673","GT01105","Control"
"GSE10072","GSM254674","GT01105","Case"
"GSE10072","GSM254675","GT01107","Case"
"GSE10072","GSM254676","GT01107","Control"
"GSE10072","GSM254678","GT01117","Case"
"GSE10072","GSM254679","GT01117","Control"
"GSE10072","GSM254680","GT01119","Case"
"GSE10072","GSM254681","GT01119","Control"
"GSE10072","GSM254682","GT01120","Case"
"GSE10072","GSM254683","GT01120","Control"
"GSE10072","GSM254684","GT01121","Case"
"GSE10072","GSM254685","GT01121","Control"
"GSE10072","GSM254689","GT01128","Control"
"GSE10072","GSM254690","GT01128","Case"
"GSE10072","GSM254691","GT01129","Control"
"GSE10072","GSM254692","GT01129","Case"
"GSE10072","GSM254693","GT01130","Control"
"GSE10072","GSM254694","GT01130","Case"
"GSE10072","GSM254701","GT01182","Case"
"GSE10072","GSM254702","GT01182","Control"
"GSE10072","GSM254703","GT01194","Control"
"GSE10072","GSM254704","GT01194","Case"
"GSE10072","GSM254705","GT01222","Case"
"GSE10072","GSM254706","GT01222","Control"
"GSE10072","GSM254707","GT01232","Case"
"GSE10072","GSM254708","GT01232","Control"
"GSE10072","GSM254709","GT01233","Case"
"GSE10072","GSM254710","GT01233","Control"
"GSE10072","GSM254714","GT01243","Case"
"GSE10072","GSM254715","GT01243","Control"
"GSE10072","GSM254716","GT01246","Case"
"GSE10072","GSM254717","GT01246","Control"
"GSE10072","GSM254718","GT01247","Case"
"GSE10072","GSM254719","GT01247","Control"
"GSE10072","GSM254726","GT01421","Case"
"GSE10072","GSM254727","GT01421","Control"
"GSE10072","GSM254729","GT01445","Case"
"GSE10072","GSM254730","GT01445","Control"
"GSE16879","GSM364633","UCR1","Responder"
"GSE16879","GSM364634","UCR2","Responder"
"GSE16879","GSM364635","UCR3","Responder"
"GSE16879","GSM364636","UCR4","Responder"
"GSE16879","GSM364637","UCR5","Responder"
"GSE16879","GSM364638","UCR6","Responder"
"GSE16879","GSM364639","UCR7","Responder"
"GSE16879","GSM364640","UCR8","Responder"
"GSE16879","GSM364641","UCNR1","NonResponder"
"GSE16879","GSM364642","UCNR2","NonResponder"
"GSE16879","GSM364643","UCNR3","NonResponder"
"GSE16879","GSM364644","UCNR4","NonResponder"
"GSE16879","GSM364645","UCNR5","NonResponder"
"GSE16879","GSM364646","UCNR6","NonResponder"
"GSE16879","GSM364647","UCNR7","NonResponder"
"GSE16879","GSM364648","UCNR8","NonResponder"
"GSE16879","GSM364649","UCNR9","NonResponder"
"GSE16879","GSM364650","UCNR10","NonResponder"
"GSE16879","GSM364651","UCNR11","NonResponder"
"GSE16879","GSM364652","UCNR12","NonResponder"
"GSE16879","GSM364653","UCNR13","NonResponder"
"GSE16879","GSM364654","UCNR14","NonResponder"
"GSE16879","GSM364655","UCNR15","NonResponder"
"GSE16879","GSM364656","UCNR16","NonResponder"
"GSE16879","GSM423010","CDcR1","Responder"
"GSE16879","GSM423012","CDcR2","Responder"
"GSE16879","GSM423013","CDcR3","Responder"
"GSE16879","GSM423015","CDcR4","Responder"
"GSE16879","GSM423017","CDcR5","Responder"
"GSE16879","GSM423019","CDcR6","Responder"
"GSE16879","GSM423021","CDcR7","Responder"
"GSE16879","GSM423023","CDcR8","Responder"
"GSE16879","GSM423025","CDcR9","Responder"
"GSE16879","GSM423027","CDcR10","Responder"
"GSE16879","GSM423029","CDcR11","Responder"
"GSE16879","GSM423031","CDcR12","Responder"
"GSE16879","GSM423033","CDcNR1","NonResponder"
"GSE16879","GSM423035","CDcNR2","NonResponder"
"GSE16879","GSM423037","CDcNR3","NonResponder"
"GSE16879","GSM423039","CDcNR4","NonResponder"
"GSE16879","GSM423041","CDcNR5","NonResponder"
"GSE16879","GSM423043","CDcNR6","NonResponder"
"GSE16879","GSM423045","CDcNR7","NonResponder"
"GSE179285","GSM5413223","1416","Control"
"GSE179285","GSM5413224","2204","Control"
"GSE179285","GSM5413225","1506","Case"
"GSE179285","GSM5413226","1679","Case"
"GSE179285","GSM5413227","1339","Control"
"GSE179285","GSM5413228","1339","Case"
"GSE179285","GSM5413229","2003","Control"
"GSE179285","GSM5413230","1908","Case"
"GSE179285","GSM5413231","1904","Case"
"GSE179285","GSM5413232","1904","Control"
"GSE179285","GSM5413233","1820","Case"
"GSE179285","GSM5413234","1349","Case"
"GSE179285","GSM5413235","1718","Control"
"GSE179285","GSM5413236","1328","Case"
"GSE179285","GSM5413237","1328","Control"
"GSE179285","GSM5413238","2008","Control"
"GSE179285","GSM5413239","1414","Control"
"GSE179285","GSM5413240","1505","Case"
"GSE179285","GSM5413241","2104","Case"
"GSE179285","GSM5413242","2104","Control"
"GSE179285","GSM5413243","1415","Control"
"GSE179285","GSM5413244","1415","Case"
"GSE179285","GSM5413245","1348","Control"
"GSE179285","GSM5413246","1819","Control"
"GSE179285","GSM5413247","2501","Case"
"GSE179285","GSM5413248","1929","Case"
"GSE179285","GSM5413249","1821","Control"
"GSE179285","GSM5413250","1821","Case"
"GSE179285","GSM5413251","1359","Case"
"GSE179285","GSM5413252","1508","Case"
"GSE179285","GSM5413253","1816","Control"
"GSE179285","GSM5413254","1816","Case"
"GSE179285","GSM5413255","2503","Case"
"GSE179285","GSM5413256","1714","Control"
"GSE179285","GSM5413257","1714","Case"
"GSE179285","GSM5413258","2009","Control"
"GSE179285","GSM5413259","2302","Case"
"GSE179285","GSM5413260","2302","Control"
"GSE179285","GSM5413261","1912","Control"
"GSE179285","GSM5413262","1686","Case"
"GSE179285","GSM5413263","1686","Control"
"GSE179285","GSM5413264","1688","Control"
"GSE179285","GSM5413265","1921","Case"
"GSE179285","GSM5413266","1921","Control"
"GSE179285","GSM5413267","1692","Control"
"GSE179285","GSM5413268","1690","Control"
"GSE179285","GSM5413269","2001","Control"
"GSE179285","GSM5413271","1918","Control"
"GSE179285","GSM5413272","1906","Control"
"GSE179285","GSM5413274","1907","Control"
"GSE179285","GSM5413275","2101","Control"
"GSE179285","GSM5413276","1811","Control"
"GSE179285","GSM5413277","1691","Control"
"GSE19804","GSM494556","2","Case"
"GSE19804","GSM494557","3","Case"
"GSE19804","GSM494558","6","Case"
"GSE19804","GSM494559","17","Case"
"GSE19804","GSM494560","32","Case"
"GSE19804","GSM494561","33","Case"
"GSE19804","GSM494562","37","Case"
"GSE19804","GSM494563","40","Case"
"GSE19804","GSM494564","43","Case"
"GSE19804","GSM494565","79","Case"
"GSE19804","GSM494566","91","Case"
"GSE19804","GSM494567","92","Case"
"GSE19804","GSM494568","94","Case"
"GSE19804","GSM494569","97","Case"
"GSE19804","GSM494570","102","Case"
"GSE19804","GSM494571","103","Case"
"GSE19804","GSM494572","106","Case"
"GSE19804","GSM494573","109","Case"
"GSE19804","GSM494574","114","Case"
"GSE19804","GSM494575","115","Case"
"GSE19804","GSM494576","116","Case"
"GSE19804","GSM494577","117","Case"
"GSE19804","GSM494578","118","Case"
"GSE19804","GSM494579","119","Case"
"GSE19804","GSM494580","120","Case"
"GSE19804","GSM494581","121","Case"
"GSE19804","GSM494582","122","Case"
"GSE19804","GSM494583","123","Case"
"GSE19804","GSM494584","124","Case"
"GSE19804","GSM494585","125","Case"
"GSE19804","GSM494586","126","Case"
"GSE19804","GSM494587","127","Case"
"GSE19804","GSM494588","129","Case"
"GSE19804","GSM494589","130","Case"
"GSE19804","GSM494590","131","Case"
"GSE19804","GSM494591","132","Case"
"GSE19804","GSM494592","133","Case"
"GSE19804","GSM494593","134","Case"
"GSE19804","GSM494594","135","Case"
"GSE19804","GSM494595","136","Case"
"GSE19804","GSM494596","137","Case"
"GSE19804","GSM494597","139","Case"
"GSE19804","GSM494598","142","Case"
"GSE19804","GSM494599","143","Case"
"GSE19804","GSM494600","144","Case"
"GSE19804","GSM494601","145","Case"
"GSE19804","GSM494602","146","Case"
"GSE19804","GSM494603","148","Case"
"GSE19804","GSM494604","149","Case"
"GSE19804","GSM494605","152","Case"
"GSE19804","GSM494606","154","Case"
"GSE19804","GSM494607","156","Case"
"GSE19804","GSM494608","157","Case"
"GSE19804","GSM494609","158","Case"
"GSE19804","GSM494610","159","Case"
"GSE19804","GSM494611","165","Case"
"GSE19804","GSM494612","167","Case"
"GSE19804","GSM494613","177","Case"
"GSE19804","GSM494614","179","Case"
"GSE19804","GSM494615","189","Case"
"GSE19804","GSM494616","2","Control"
"GSE19804","GSM494617","3","Control"
"GSE19804","GSM494618","6","Control"
"GSE19804","GSM494619","17","Control"
"GSE19804","GSM494620","32","Control"
"GSE19804","GSM494621","33","Control"
"GSE19804","GSM494622","37","Control"
"GSE19804","GSM494623","40","Control"
"GSE19804","GSM494624","43","Control"
"GSE19804","GSM494625","79","Control"
"GSE19804","GSM494626","91","Control"
"GSE19804","GSM494627","92","Control"
"GSE19804","GSM494628","94","Control"
"GSE19804","GSM494629","97","Control"
"GSE19804","GSM494630","102","Control"
"GSE19804","GSM494631","103","Control"
"GSE19804","GSM494632","106","Control"
"GSE19804","GSM494633","109","Control"
"GSE19804","GSM494634","114","Control"
"GSE19804","GSM494635","115","Control"
"GSE19804","GSM494636","116","Control"
"GSE19804","GSM494637","117","Control"
"GSE19804","GSM494638","118","Control"
"GSE19804","GSM494639","119","Control"
"GSE19804","GSM494640","120","Control"
"GSE19804","GSM494641","121","Control"
"GSE19804","GSM494642","122","Control"
"GSE19804","GSM494643","123","Control"
"GSE19804","GSM494644","124","Control"
"GSE19804","GSM494645","125","Control"
"GSE19804","GSM494646","126","Control"
"GSE19804","GSM494647","127","Control"
"GSE19804","GSM494648","129","Control"
"GSE19804","GSM494649","130","Control"
"GSE19804","GSM494650","131","Control"
"GSE19804","GSM494651","132","Control"
"GSE19804","GSM494652","133","Control"
"GSE19804","GSM494653","134","Control"
"GSE19804","GSM494654","135","Control"
"GSE19804","GSM494655","136","Control"
"GSE19804","GSM494656","137","Control"
"GSE19804","GSM494657","139","Control"
"GSE19804","GSM494658","142","Control"
"GSE19804","GSM494659","143","Control"
"GSE19804","GSM494660","144","Control"
"GSE19804","GSM494661","145","Control"
"GSE19804","GSM494662","146","Control"
"GSE19804","GSM494663","148","Control"
"GSE19804","GSM494664","149","Control"
"GSE19804","GSM494665","152","Control"
"GSE19804","GSM494666","154","Control"
"GSE19804","GSM494667","156","Control"
"GSE19804","GSM494668","157","Control"
"GSE19804","GSM494669","158","Control"
"GSE19804","GSM494670","159","Control"
"GSE19804","GSM494671","165","Control"
"GSE19804","GSM494672","167","Control"
"GSE19804","GSM494673","177","Control"
"GSE19804","GSM494674","179","Control"
"GSE19804","GSM494675","189","Control"
"GSE23878","GSM588828",NA,"Case"
"GSE23878","GSM588829",NA,"Case"
"GSE23878","GSM588830",NA,"Case"
"GSE23878","GSM588831",NA,"Case"
"GSE23878","GSM588832",NA,"Case"
"GSE23878","GSM588833",NA,"Case"
"GSE23878","GSM588834",NA,"Case"
"GSE23878","GSM588835",NA,"Case"
"GSE23878","GSM588836",NA,"Case"
"GSE23878","GSM588837",NA,"Case"
"GSE23878","GSM588838",NA,"Case"
"GSE23878","GSM588839",NA,"Case"
"GSE23878","GSM588840",NA,"Case"
"GSE23878","GSM588841",NA,"Case"
"GSE23878","GSM588842",NA,"Case"
"GSE23878","GSM588843",NA,"Case"
"GSE23878","GSM588844",NA,"Case"
"GSE23878","GSM588845",NA,"Case"
"GSE23878","GSM588846",NA,"Case"
"GSE23878","GSM588847",NA,"Case"
"GSE23878","GSM588848",NA,"Case"
"GSE23878","GSM588849",NA,"Case"
"GSE23878","GSM588850",NA,"Case"
"GSE23878","GSM588851",NA,"Case"
"GSE23878","GSM588852",NA,"Case"
"GSE23878","GSM588853",NA,"Case"
"GSE23878","GSM588854",NA,"Case"
"GSE23878","GSM588855",NA,"Case"
"GSE23878","GSM588856",NA,"Case"
"GSE23878","GSM588857",NA,"Case"
"GSE23878","GSM588858",NA,"Case"
"GSE23878","GSM588859",NA,"Case"
"GSE23878","GSM588860",NA,"Case"
"GSE23878","GSM588861",NA,"Case"
"GSE23878","GSM588862",NA,"Case"
"GSE23878","GSM588863",NA,"Control"
"GSE23878","GSM588864",NA,"Control"
"GSE23878","GSM588865",NA,"Control"
"GSE23878","GSM588866",NA,"Control"
"GSE23878","GSM588867",NA,"Control"
"GSE23878","GSM588868",NA,"Control"
"GSE23878","GSM588869",NA,"Control"
"GSE23878","GSM588870",NA,"Control"
"GSE23878","GSM588871",NA,"Control"
"GSE23878","GSM588872",NA,"Control"
"GSE23878","GSM588873",NA,"Control"
"GSE23878","GSM588874",NA,"Control"
"GSE23878","GSM588875",NA,"Control"
"GSE23878","GSM588876",NA,"Control"
"GSE23878","GSM588877",NA,"Control"
"GSE23878","GSM588878",NA,"Control"
"GSE23878","GSM588879",NA,"Control"
"GSE23878","GSM588880",NA,"Control"
"GSE23878","GSM588881",NA,"Control"
"GSE23878","GSM588882",NA,"Control"
"GSE23878","GSM588883",NA,"Control"
"GSE23878","GSM588884",NA,"Control"
"GSE23878","GSM588885",NA,"Control"
"GSE23878","GSM588886",NA,"Control"
"GSE32863","GSM813411","05L12","Control"
"GSE32863","GSM813412","05L12","Case"
"GSE32863","GSM813413","05L13","Control"
"GSE32863","GSM813414","05L13","Case"
"GSE32863","GSM813415","05L19","Control"
"GSE32863","GSM813416","05L19","Case"
"GSE32863","GSM813417","05L27","Control"
"GSE32863","GSM813418","05L27","Case"
"GSE32863","GSM813419","05L32","Control"
"GSE32863","GSM813420","05L32","Case"
"GSE32863","GSM813421","05L34","Control"
"GSE32863","GSM813422","05L34","Case"
"GSE32863","GSM813423","05L39","Control"
"GSE32863","GSM813424","05L39","Case"
"GSE32863","GSM813425","05L4","Control"
"GSE32863","GSM813426","05L4","Case"
"GSE32863","GSM813427","05L40","Control"
"GSE32863","GSM813428","05L40","Case"
"GSE32863","GSM813429","05L43","Control"
"GSE32863","GSM813430","05L43","Case"
"GSE32863","GSM813431","05L45","Control"
"GSE32863","GSM813432","05L45","Case"
"GSE32863","GSM813433","05L47","Control"
"GSE32863","GSM813434","05L47","Case"
"GSE32863","GSM813435","05L49","Control"
"GSE32863","GSM813436","05L49","Case"
"GSE32863","GSM813437","05L54","Control"
"GSE32863","GSM813438","05L54","Case"
"GSE32863","GSM813439","05L6","Control"
"GSE32863","GSM813440","05L6","Case"
"GSE32863","GSM813441","05L7","Control"
"GSE32863","GSM813442","05L7","Case"
"GSE32863","GSM813443","05L9","Control"
"GSE32863","GSM813444","05L9","Case"
"GSE32863","GSM813445","06L10","Control"
"GSE32863","GSM813446","06L10","Case"
"GSE32863","GSM813447","06L11","Control"
"GSE32863","GSM813448","06L11","Case"
"GSE32863","GSM813449","06L14","Control"
"GSE32863","GSM813450","06L14","Case"
"GSE32863","GSM813451","06L20","Control"
"GSE32863","GSM813452","06L20","Case"
"GSE32863","GSM813453","06L29","Control"
"GSE32863","GSM813454","06L29","Case"
"GSE32863","GSM813455","06L3","Control"
"GSE32863","GSM813456","06L3","Case"
"GSE32863","GSM813457","06L46","Control"
"GSE32863","GSM813458","06L46","Case"
"GSE32863","GSM813459","06L50","Control"
"GSE32863","GSM813460","06L50","Case"
"GSE32863","GSM813461","06L54","Control"
"GSE32863","GSM813462","06L54","Case"
"GSE32863","GSM813463","06L57","Control"
"GSE32863","GSM813464","06L57","Case"
"GSE32863","GSM813465","06L64","Control"
"GSE32863","GSM813466","06L64","Case"
"GSE32863","GSM813467","06L71","Control"
"GSE32863","GSM813468","06L71","Case"
"GSE32863","GSM813469","07L16","Control"
"GSE32863","GSM813470","07L16","Case"
"GSE32863","GSM813471","07L19","Control"
"GSE32863","GSM813472","07L19","Case"
"GSE32863","GSM813473","07L21","Control"
"GSE32863","GSM813474","07L21","Case"
"GSE32863","GSM813475","07L22","Control"
"GSE32863","GSM813476","07L22","Case"
"GSE32863","GSM813477","07L25","Control"
"GSE32863","GSM813478","07L25","Case"
"GSE32863","GSM813479","07L28","Control"
"GSE32863","GSM813480","07L28","Case"
"GSE32863","GSM813481","07L31","Control"
"GSE32863","GSM813482","07L31","Case"
"GSE32863","GSM813483","07L32","Control"
"GSE32863","GSM813484","07L32","Case"
"GSE32863","GSM813485","07L38","Control"
"GSE32863","GSM813486","07L38","Case"
"GSE32863","GSM813487","07L5","Control"
"GSE32863","GSM813488","07L5","Case"
"GSE32863","GSM813489","07L51","Control"
"GSE32863","GSM813490","07L51","Case"
"GSE32863","GSM813491","07L6","Control"
"GSE32863","GSM813492","07L6","Case"
"GSE32863","GSM813493","07L66","Control"
"GSE32863","GSM813494","07L66","Case"
"GSE32863","GSM813495","3003","Control"
"GSE32863","GSM813496","3003","Case"
"GSE32863","GSM813497","3012","Control"
"GSE32863","GSM813498","3012","Case"
"GSE32863","GSM813499","3013","Control"
"GSE32863","GSM813500","3013","Case"
"GSE32863","GSM813501","3014","Control"
"GSE32863","GSM813502","3014","Case"
"GSE32863","GSM813503","3021","Control"
"GSE32863","GSM813504","3021","Case"
"GSE32863","GSM813505","3022","Control"
"GSE32863","GSM813506","3022","Case"
"GSE32863","GSM813508","3024","Control"
"GSE32863","GSM813509","3024","Case"
"GSE32863","GSM813510","3030","Control"
"GSE32863","GSM813511","3030","Case"
"GSE32863","GSM813512","3031","Control"
"GSE32863","GSM813513","3031","Case"
"GSE32863","GSM813514","3032","Control"
"GSE32863","GSM813515","3032","Case"
"GSE32863","GSM813516","3033","Control"
"GSE32863","GSM813517","3033","Case"
"GSE32863","GSM813519","3036","Control"
"GSE32863","GSM813520","3036","Case"
"GSE32863","GSM813521","3039","Control"
"GSE32863","GSM813522","3039","Case"
"GSE32863","GSM813523","L15","Control"
"GSE32863","GSM813524","L15","Case"
"GSE32863","GSM813525","L2","Control"
"GSE32863","GSM813526","L2","Case"
"GSE41258","GSM1012286","620","Case"
"GSE41258","GSM1012297","990","Case"
"GSE41258","GSM1012303","2184","Case"
"GSE41258","GSM1012304","2184","Control"
"GSE41258","GSM1012305","2189","Case"
"GSE41258","GSM1012306","2189","Control"
"GSE41258","GSM1012307","2308","Case"
"GSE41258","GSM1012308","2500","Case"
"GSE41258","GSM1012310","2679","Case"
"GSE41258","GSM1012312","2779","Case"
"GSE41258","GSM1012314","2815","Case"
"GSE41258","GSM1012315","2815","Control"
"GSE41258","GSM1012316","2832","Case"
"GSE41258","GSM1012317","3023","Case"
"GSE41258","GSM1012318","3023","Control"
"GSE41258","GSM1012319","3156","Case"
"GSE41258","GSM1012320","3283","Case"
"GSE41258","GSM1012322","3393","Case"
"GSE41258","GSM1012324","3401","Case"
"GSE41258","GSM1012325","3465","Case"
"GSE41258","GSM1012326","3519","Case"
"GSE41258","GSM1012327","3519","Control"
"GSE41258","GSM1012328","3531","Case"
"GSE41258","GSM1012330","3598","Control"
"GSE41258","GSM1012331","3637","Case"
"GSE41258","GSM1012333","3637","Control"
"GSE41258","GSM1012334","3657","Case"
"GSE41258","GSM1012335","3657","Control"
"GSE41258","GSM1012336","3706","Case"
"GSE41258","GSM1012337","3706","Control"
"GSE41258","GSM1012338","3752","Case"
"GSE41258","GSM1012339","3753","Case"
"GSE41258","GSM1012340","3753","Control"
"GSE41258","GSM1012341","3777","Case"
"GSE41258","GSM1012342","3777","Control"
"GSE41258","GSM1012344","3862","Case"
"GSE41258","GSM1012345","3862","Control"
"GSE41258","GSM1012346","4176","Case"
"GSE41258","GSM1012347","4176","Control"
"GSE41258","GSM1012350","4276","Case"
"GSE41258","GSM1012351","4276","Control"
"GSE41258","GSM1012352","4388","Case"
"GSE41258","GSM1012354","4494","Case"
"GSE41258","GSM1012355","4494","Control"
"GSE41258","GSM1012356","4549","Case"
"GSE41258","GSM1012357","4549","Control"
"GSE41258","GSM1012358","4800","Case"
"GSE41258","GSM1012359","4800","Control"
"GSE41258","GSM1012361","5025","Case"
"GSE41258","GSM1012363","5334","Case"
"GSE41258","GSM1012364","5424","Case"
"GSE41258","GSM1012366","5629","Case"
"GSE41258","GSM1012367","5708","Case"
"GSE41258","GSM1012368","5786","Case"
"GSE41258","GSM1012369","5786","Control"
"GSE41258","GSM1012370","5839","Case"
"GSE41258","GSM1012371","5885","Case"
"GSE41258","GSM1012373","6051","Case"
"GSE41258","GSM1012374","6220","Case"
"GSE41258","GSM1012375","6265","Case"
"GSE41258","GSM1012376","6314","Case"
"GSE41258","GSM1012379","6657","Case"
"GSE41258","GSM1012380","6657","Control"
"GSE41258","GSM1012381","6706","Case"
"GSE41258","GSM1012384","6840","Case"
"GSE41258","GSM1012385","6997","Case"
"GSE41258","GSM1012386","7061","Case"
"GSE41258","GSM1012387","7145","Case"
"GSE41258","GSM1012389","7427","Case"
"GSE41258","GSM1012391","7576","Case"
"GSE41258","GSM1012392","7632","Case"
"GSE41258","GSM1012393","7662","Case"
"GSE41258","GSM1012395","7721","Case"
"GSE41258","GSM1012396","7925","Case"
"GSE41258","GSM1012397","7930","Case"
"GSE41258","GSM1012398","7973","Case"
"GSE41258","GSM1012399","8018","Case"
"GSE41258","GSM1012400","8029","Case"
"GSE41258","GSM1012401","8061","Case"
"GSE41258","GSM1012405","8168","Case"
"GSE41258","GSM1012407","8792","Case"
"GSE41258","GSM1012408","9054","Case"
"GSE41258","GSM1012409","9077","Case"
"GSE41258","GSM1012410","9185","Case"
"GSE41258","GSM1012411","9297","Case"
"GSE41258","GSM1012412","9343","Case"
"GSE41258","GSM1012413","9394","Case"
"GSE41258","GSM1012414","9420","Case"
"GSE41258","GSM1012416","9468","Case"
"GSE41258","GSM1012419","9728","Case"
"GSE41258","GSM1012421","9811","Case"
"GSE41258","GSM1012423","10194","Case"
"GSE41258","GSM1012424","10216","Case"
"GSE41258","GSM1012426","10264","Case"
"GSE41258","GSM1012427","10368","Case"
"GSE41258","GSM1012428","10512","Case"
"GSE41258","GSM1012429","10630","Case"
"GSE41258","GSM1012432","11325","Case"
"GSE41258","GSM1012434","11718","Case"
"GSE41258","GSM1012437","12237","Case"
"GSE41258","GSM1012439","12292","Case"
"GSE41258","GSM1012440","12297","Case"
"GSE41258","GSM1012441","12355","Case"
"GSE41258","GSM1012442","12847","Case"
"GSE41258","GSM1012445","13321","Case"
"GSE41258","GSM1012446","13357","Case"
"GSE41258","GSM1012447","14475","Case"
"GSE41258","GSM1012451","15329","Case"
"GSE41258","GSM1012455","A0319","Case"
"GSE41258","GSM1012456","A0702","Case"
"GSE41258","GSM1012459","A1327","Control"
"GSE41258","GSM1012461","A1516","Case"
"GSE41258","GSM1012462","A1644","Case"
"GSE41258","GSM1012463","A1716","Case"
"GSE41258","GSM1012465","A1853","Control"
"GSE41258","GSM1012466","A2191","Control"
"GSE41258","GSM1012467","A2226","Case"
"GSE41258","GSM1012468","A2367","Case"
"GSE41258","GSM1012469","A2434","Case"
"GSE41258","GSM1012471","A2715","Case"
"GSE41258","GSM1012474","A3536","Case"
"GSE41258","GSM1012478","A4248","Case"
"GSE41258","GSM1012479","A4342","Case"
"GSE41258","GSM1012483","A4410","Control"
"GSE41258","GSM1012486","A4779","Case"
"GSE41258","GSM1012487","A4779","Control"
"GSE41258","GSM1012488","A4792","Case"
"GSE41258","GSM1012490","A4902","Case"
"GSE41258","GSM1012492","A4947","Case"
"GSE41258","GSM1012495","A5135","Case"
"GSE41258","GSM1012498","A5153","Control"
"GSE41258","GSM1012499","A5320","Case"
"GSE41258","GSM1012500","A5465","Case"
"GSE41258","GSM1012502","A5627","Case"
"GSE41258","GSM1012507","A6141","Case"
"GSE41258","GSM1012509","A6275","Case"
"GSE41258","GSM1012510","A7366","Case"
"GSE41258","GSM1012511","A8307","Case"
"GSE41258","GSM1012513","A8528","Case"
"GSE41258","GSM1012525","C0081","Case"
"GSE41258","GSM1012526","C0101","Case"
"GSE41258","GSM1012527","C0104","Case"
"GSE41258","GSM1012528","C0105","Case"
"GSE41258","GSM1012529","C0111","Case"
"GSE41258","GSM1012530","C0111","Control"
"GSE41258","GSM1012531","C0112","Case"
"GSE41258","GSM1012532","C0113","Case"
"GSE41258","GSM1012533","C0114","Case"
"GSE41258","GSM1012534","C0114","Control"
"GSE41258","GSM1012535","C0115","Case"
"GSE41258","GSM1012536","C0117","Case"
"GSE41258","GSM1012537","C0117","Control"
"GSE41258","GSM1012538","C0122","Case"
"GSE41258","GSM1012539","C0123","Case"
"GSE41258","GSM1012540","C0123","Control"
"GSE41258","GSM1012541","C0124","Case"
"GSE41258","GSM1012542","C0125","Case"
"GSE41258","GSM1012543","C0127","Case"
"GSE41258","GSM1012544","C0128","Case"
"GSE41258","GSM1012546","C0130","Case"
"GSE41258","GSM1012547","C0134","Case"
"GSE41258","GSM1012548","C0134","Control"
"GSE41258","GSM1012549","C0136","Case"
"GSE41258","GSM1012550","C0136","Control"
"GSE41258","GSM1012553","C0137","Case"
"GSE41258","GSM1012554","C0137","Control"
"GSE41258","GSM1012558","C0140","Case"
"GSE41258","GSM1012562","C0147","Case"
"GSE41258","GSM1012563","C0147","Control"
"GSE41258","GSM1012564","C0149","Case"
"GSE41258","GSM1012565","C0151","Case"
"GSE41258","GSM1012567","C0153","Case"
"GSE41258","GSM1012568","C0153","Control"
"GSE41258","GSM1012569","C0154","Case"
"GSE41258","GSM1012570","C0155","Case"
"GSE41258","GSM1012571","C0156","Case"
"GSE41258","GSM1012572","C0157","Case"
"GSE41258","GSM1012573","C0157","Control"
"GSE41258","GSM1012574","C0158","Case"
"GSE41258","GSM1012575","C0158","Control"
"GSE41258","GSM1012576","C0159","Case"
"GSE41258","GSM1012577","C0168","Case"
"GSE41258","GSM1012578","C0170","Case"
"GSE41258","GSM1012579","C0171","Case"
"GSE41258","GSM1012580","C0172","Case"
"GSE41258","GSM1012581","C0172","Control"
"GSE41258","GSM1012583","C0178","Case"
"GSE41258","GSM1012584","C0180","Case"
"GSE41258","GSM1012585","C0180","Control"
"GSE41258","GSM1012586","C0181","Case"
"GSE41258","GSM1012587","C0186","Case"
"GSE41258","GSM1012588","C0192","Case"
"GSE41258","GSM1012589","C0193","Case"
"GSE41258","GSM1012590","C0193","Control"
"GSE41258","GSM1012591","C0194","Case"
