"accession","sample_id","patient_id","group"
"GSE27342","GSM676045","78","Case"
"GSE27342","GSM676046","79","Control"
"GSE27342","GSM676047","79","Case"
"GSE27342","GSM676048","80","Control"
"GSE27342","GSM676049","80","Case"
"GSE63089","GSM1540871","1","Case"
"GSE63089","GSM1540872","2","Case"
"GSE63089","GSM1540873","3","Case"
"GSE63089","GSM1540874","4","Case"
"GSE63089","GSM1540875","5","Case"
"GSE63089","GSM1540876","6","Case"
"GSE63089","GSM1540877","7","Case"
"GSE63089","GSM1540878","8","Case"
"GSE63089","GSM1540879","9","Case"
"GSE63089","GSM1540880","10","Case"
"GSE63089","GSM1540881","11","Case"
"GSE63089","GSM1540882","12","Case"
"GSE63089","GSM1540883","13","Case"
"GSE63089","GSM1540884","14","Case"
"GSE63089","GSM1540885","15","Case"
"GSE63089","GSM1540886","16","Case"
"GSE63089","GSM1540887","17","Case"
"GSE63089","GSM1540888","18","Case"
"GSE63089","GSM1540889","19","Case"
"GSE63089","GSM1540890","20","Case"
"GSE63089","GSM1540891","21","Case"
"GSE63089","GSM1540892","22","Case"
"GSE63089","GSM1540893","23","Case"
"GSE63089","GSM1540894","24","Case"
"GSE63089","GSM1540895","25","Case"
"GSE63089","GSM1540896","26","Case"
"GSE63089","GSM1540897","27","Case"
"GSE63089","GSM1540898","28","Case"
"GSE63089","GSM1540899","29","Case"
"GSE63089","GSM1540900","30","Case"
"GSE63089","GSM1540901","31","Case"
"GSE63089","GSM1540902","32","Case"
"GSE63089","GSM1540903","33","Case"
"GSE63089","GSM1540904","34","Case"
"GSE63089","GSM1540905","35","Case"
"GSE63089","GSM1540906","36","Case"
"GSE63089","GSM1540907","37","Case"
"GSE63089","GSM1540908","38","Case"
"GSE63089","GSM1540909","39","Case"
"GSE63089","GSM1540910","40","Case"
"GSE63089","GSM1540911","41","Case"
"GSE63089","GSM1540912","42","Case"
"GSE63089","GSM1540913","43","Case"
"GSE63089","GSM1540914","44","Case"
"GSE63089","GSM1540915","45","Case"
"GSE63089","GSM1540916","1","Control"
"GSE63089","GSM1540917","2","Control"
"GSE63089","GSM1540918","3","Control"
"GSE63089","GSM1540919","4","Control"
"GSE63089","GSM1540920","5","Control"
"GSE63089","GSM1540921","6","Control"
"GSE63089","GSM1540922","7","Control"
"GSE63089","GSM1540923","8","Control"
"GSE63089","GSM1540924","9","Control"
"GSE63089","GSM1540925","10","Control"
"GSE63089","GSM1540926","11","Control"
"GSE63089","GSM1540927","12","Control"
"GSE63089","GSM1540928","13","Control"
"GSE63089","GSM1540929","14","Control"
"GSE63089","GSM1540930","15","Control"
"GSE63089","GSM1540931","16","Control"
"GSE63089","GSM1540932","17","Control"
"GSE63089","GSM1540933","18","Control"
"GSE63089","GSM1540934","19","Control"
"GSE63089","GSM1540935","20","Control"
"GSE63089","GSM1540936","21","Control"
"GSE63089","GSM1540937","22","Control"
"GSE63089","GSM1540938","23","Control"
"GSE63089","GSM1540939","24","Control"
"GSE63089","GSM1540940","25","Control"
"GSE63089","GSM1540941","26","Control"
"GSE63089","GSM1540942","27","Control"
"GSE63089","GSM1540943","28","Control"
"GSE63089","GSM1540944","29","Control"
"GSE63089","GSM1540945","30","Control"
"GSE63089","GSM1540946","31","Control"
"GSE63089","GSM1540947","32","Control"
"GSE63089","GSM1540948","33","Control"
"GSE63089","GSM1540949","34","Control"
"GSE63089","GSM1540950","35","Control"
"GSE63089","GSM1540951","36","Control"
"GSE63089","GSM1540952","37","Control"
"GSE63089","GSM1540953","38","Control"
"GSE63089","GSM1540954","39","Control"
"GSE63089","GSM1540955","40","Control"
"GSE63089","GSM1540956","41","Control"
"GSE63089","GSM1540957","42","Control"
"GSE63089","GSM1540958","43","Control"
"GSE63089","GSM1540959","44","Control"
"GSE63089","GSM1540960","45","Control"
"GSE15471","GSM388076","30162","Control"
"GSE15471","GSM388078","40728","Control"
"GSE15471","GSM388080","41027","Control"
"GSE15471","GSM388082","30057","Control"
"GSE15471","GSM388083","30068","Control"
"GSE15471","GSM388084","30277","Control"
"GSE15471","GSM388085","30308","Control"
"GSE15471","GSM388086","30364","Control"
"GSE15471","GSM388087","30582","Control"
"GSE15471","GSM388088","30617","Control"
"GSE15471","GSM388089","40645","Control"
"GSE15471","GSM388090","40656","Control"
"GSE15471","GSM388091","40726","Control"
"GSE15471","GSM388092","40730","Control"
"GSE15471","GSM388093","40741","Control"
"GSE15471","GSM388094","40836","Control"
"GSE15471","GSM388095","40843","Control"
"GSE15471","GSM388096","40875","Control"
"GSE15471","GSM388097","40892","Control"
"GSE15471","GSM388098","40899","Control"
"GSE15471","GSM388099","40975","Control"
"GSE15471","GSM388100","40977","Control"
"GSE15471","GSM388101","51084","Control"
"GSE15471","GSM388102","51091","Control"
"GSE15471","GSM388103","51176","Control"
"GSE15471","GSM388104","51292","Control"
"GSE15471","GSM388105","51294","Control"
"GSE15471","GSM388106","51308","Control"
"GSE15471","GSM388107","51315","Control"
"GSE15471","GSM388108","51572","Control"
"GSE15471","GSM388109","51628","Control"
"GSE15471","GSM388110","51677","Control"
"GSE15471","GSM388111","51681","Control"
"GSE15471","GSM388112","51721","Control"
"GSE15471","GSM388113","51722","Control"
"GSE15471","GSM388114","51783","Control"
"GSE15471","GSM388115","30162","Case"
"GSE15471","GSM388117","40728","Case"
"GSE15471","GSM388119","41027","Case"
"GSE15471","GSM388121","30057","Case"
