context,module,cell_type,paired,n_case_patients,n_control_patients,n_pairs,case_patient_mean,control_patient_mean,paired_diff_mean,p_value,p_method,fdr_global,fdr_context
CRC,HGF_MET_AXIS,enteroendocrine cell of colon,True,9,15,6,0.032653309404850006,0.02423678734612585,-0.010418503317568035,0.875,wilcoxon_paired,0.993851825734401,0.9375
CRC,HGF_MET_AXIS,intestinal crypt stem cell of colon,True,21,20,16,0.08456551289915731,0.07766118010212775,0.0032900234641417697,0.979949951171875,wilcoxon_paired,0.9952616691589355,1.0
CRC,HGF_MET_AXIS,malignant cell,True,28,20,19,0.2082022447721879,0.12901070017419347,0.10834217524707386,0.002399444580078125,wilcoxon_paired,0.0346586439344618,0.017995834350585938
CRC,HGF_MET_AXIS,secretory cell,True,19,18,13,0.0867050729003148,0.140433265639092,-0.011755636669970041,0.497314453125,wilcoxon_paired,0.7699554267970995,0.6819854063146255
CRC,HGF_MET_AXIS,tuft cell of colon,True,16,18,11,0.12273893626704035,0.05053041459929979,0.09008817021890296,0.296875,wilcoxon_paired,0.6257997928241841,0.47392746497844823
CRC,EPH_RECEPTORS,BEST4+ colonocyte,True,9,16,8,0.07169444330986435,0.15433295824201365,-0.12779984821461146,0.0234375,wilcoxon_paired,0.126953125,0.0703125
CRC,EPH_RECEPTORS,colon goblet cell,True,14,17,10,0.031910155765151396,0.07687070032934538,-0.041926281326041114,0.013671875,wilcoxon_paired,0.0888671875,0.05126953125
CRC,EPH_RECEPTORS,colonocyte,True,14,20,13,0.08894996979279042,0.0778622114591515,0.0047114391229376345,0.5693359375,wilcoxon_paired,0.804496433423913,0.7320033482142857
CRC,EPH_RECEPTORS,early colonocyte,True,18,20,14,0.19899654281950038,0.18905417242029252,0.019867941782054217,0.5015869140625,wilcoxon_paired,0.7699554267970995,0.6819854063146255
CRC,EPH_RECEPTORS,enteroendocrine cell of colon,True,9,15,6,0.06944487823380364,0.08936231501504185,0.011975641314257449,0.625,wilcoxon_paired,0.8376288659793815,0.7525634765625
CRC,EPH_RECEPTORS,intestinal crypt stem cell of colon,True,21,20,16,0.13429950481127134,0.24217053644946884,-0.08000712188996151,0.01824951171875,wilcoxon_paired,0.1031494140625,0.058659144810267856
CRC,EPH_RECEPTORS,malignant cell,True,28,20,19,0.2714748563251171,0.11733841210294593,0.1912826879303383,3.814697265625e-06,wilcoxon_paired,0.00049591064453125,0.000171661376953125
CRC,EPH_RECEPTORS,secretory cell,True,19,18,13,0.16341409809562132,0.18778113553634285,-0.04695369149783511,0.0478515625,wilcoxon_paired,0.23039641203703703,0.12666590073529413
CRC,EPH_RECEPTORS,tuft cell of colon,True,16,18,11,0.07142628796613548,0.1120686326299875,-0.02182920307300226,0.845703125,wilcoxon_paired,0.993851825734401,0.9282107469512195
CRC,JAK_STAT,BEST4+ colonocyte,True,9,16,8,0.27809979708748067,0.32528951830499886,-0.009839214861904408,0.84375,wilcoxon_paired,0.993851825734401,0.9282107469512195
CRC,JAK_STAT,colon goblet cell,True,14,17,10,0.2369874255500326,0.2895834352673626,-0.06990011840579258,0.083984375,wilcoxon_paired,0.2784756652595252,0.18896484375
CRC,JAK_STAT,colonocyte,True,14,20,13,0.31116182687472016,0.2460476199357459,0.07036396847494181,0.039794921875,wilcoxon_paired,0.198974609375,0.1119232177734375
CRC,JAK_STAT,early colonocyte,True,18,20,14,0.2576160923978865,0.21388323076712695,0.046546177962911606,0.0067138671875,wilcoxon_paired,0.067138671875,0.0377655029296875
