"context","gene","n_samples","gain_or_amp_n","high_amp_n","gain_or_amp_percent","high_amp_percent"
"STAD","IGF1R",436,187,13,42.8899082568807,2.98165137614679
"STAD","INSR",436,109,1,25,0.229357798165138
"STAD","KDR",436,118,4,27.0642201834862,0.917431192660551
"STAD","KIT",436,119,4,27.2935779816514,0.917431192660551
"STAD","MERTK",436,186,5,42.6605504587156,1.14678899082569
"STAD","MET",436,208,15,47.7064220183486,3.44036697247706
"STAD","NTRK1",436,226,11,51.8348623853211,2.52293577981651
"STAD","PDGFRA",436,116,4,26.605504587156,0.917431192660551
"STAD","PDGFRB",436,122,1,27.9816513761468,0.229357798165138
"STAD","RET",436,174,6,39.9082568807339,1.37614678899083
"STAD","ROS1",436,161,2,36.9266055045872,0.458715596330275
"STAD","TEK",436,118,4,27.0642201834862,0.917431192660551
"STAD","TYRO3",436,133,1,30.5045871559633,0.229357798165138
