"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","note","fdr"
"CRC","JAK_STAT",3,-0.0556158126152759,0.0927199403784639,0.609529369309499,-0.454557517186881,0.343325891956329,0,0,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.740142805590106
"ESCC","JAK_STAT",2,-0.135487811829347,0.316199526019373,0.74228256929028,-4.15318372691291,3.88220810325421,66.6838221729973,0.137720162065561,"SMCRPH 2","GSE23400;GSE20347","",0.74228256929028
"HCC","JAK_STAT",2,0.824473347310614,0.519655629269122,0.358030416897811,-5.77837747048855,7.42732416510978,87.5686194262243,0.47294495665435,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.512913904699689
"IBD","JAK_STAT",3,2.03673486748146,0.305213756447019,0.0217271623556673,0.723506065147608,3.34996366981531,73.9252236839189,0.196658072829048,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.0738723520092686
"LUAD","JAK_STAT",3,-1.01587408221567,0.107153533612237,0.0109435513235481,-1.47691852611466,-0.554829638316681,0,0,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.0721602311573508
"NAFLD","JAK_STAT",2,-0.0269141727452973,0.343565585686934,0.950230249583168,-4.39232884478726,4.33850049929666,62.630781276765,0.149461298955351,"SMDH 2","GSE33814;GSE66676","",0.950230249583168
"PAAD","JAK_STAT",3,0.681258109437736,0.21422025907061,0.0862739966164346,-0.240457273020063,1.60297349189553,63.7022450660993,0.0839203249400406,"SMCRPH 3","GSE15471;GSE28735;GSE62452","",0.22297401168447
"STAD","JAK_STAT",3,0.845020192263823,0.136068213497184,0.0249618581154349,0.259565922028034,1.43047446249961,26.651737715604,0.0152640089969986,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",0.126872680754875
"Asthma","PDGFR_KIT_CSF1R",3,0.355941293080135,0.131308540946565,0.113404753821838,-0.20903375906302,0.920916345223291,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.399431306345992
"COPD","PDGFR_KIT_CSF1R",2,0.371803118091228,0.236940059267668,0.361202874199515,-2.63880578516514,3.38241202134759,77.6630378048515,0.0874888991755961,"SMDH 2","GSE76925;GSE47460","",0.647626107011489
"CRC","PDGFR_KIT_CSF1R",3,-1.08426207990351,0.10201208905079,0.00873603851720377,-1.52318467332534,-0.645339486481683,0,0,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.0441654762898769
"ESCC","PDGFR_KIT_CSF1R",2,-0.239326856235967,0.146285405628959,0.349275697549542,-2.09805917007188,1.61940545759995,0,0,"SMCRPH 2","GSE23400;GSE20347","",0.556341190807378
"HCC","PDGFR_KIT_CSF1R",2,-0.109899227483877,0.223819361465027,0.709423921586372,-2.9537938581784,2.73399540321065,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.709423921586372
"IBD","PDGFR_KIT_CSF1R",3,1.53187469773335,0.3256358865021,0.042338410347228,0.130776561770702,2.932972833696,80.2487854051153,0.249700223475359,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.115138482932921
"LUAD","PDGFR_KIT_CSF1R",3,-1.10920048494009,0.307356478374809,0.0689375638312963,-2.43164867562565,0.213247705745463,84.7296218020399,0.238795443042193,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.130215398348004
"NAFLD","PDGFR_KIT_CSF1R",2,0.120762063282959,0.201037635743392,0.655633585976132,-2.4336632961491,2.67518742271501,0,0,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"PAAD","PDGFR_KIT_CSF1R",3,0.187578141818385,0.437366078266312,0.709787000282875,-1.69425620873398,2.06941249237075,90.9785734458211,0.520189830548746,"SMCRPH 3","GSE15471;GSE28735;GSE62452","",0.757106133635067
"STAD","PDGFR_KIT_CSF1R",3,-0.279981862768787,0.224538498139712,0.338650996130824,-1.24609304472346,0.686129319185889,71.9062578366671,0.102719269915471,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",0.49258326709938
"Asthma","PI3K_AKT",3,0.304545478307904,0.135834728454254,0.154203788237284,-0.279904186870571,0.888995143486378,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.399431306345992
"COPD","PI3K_AKT",2,0.0802568755174248,0.109467267131056,0.597251896783946,-1.3106566325593,1.47117038359415,0,0,"SMDH 2","GSE76925;GSE47460","",0.647626107011489
"CRC","PI3K_AKT",3,-0.0455152757155661,0.101107051989654,0.696678803664014,-0.480543808955773,0.389513257524641,0,0,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.773211670647324
"ESCC","PI3K_AKT",2,0.370094673460518,0.375058438854349,0.504240718320495,-4.3954746386529,5.13566398557394,77.9193935328611,0.220384018594269,"SMCRPH 2","GSE23400;GSE20347","",0.571472814096561
"HCC","PI3K_AKT",2,0.999382147842966,0.887475859767922,0.462287357645229,-10.2770678247809,12.2758321204669,95.3349500726447,1.50187468630732,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.559189919208571
"IBD","PI3K_AKT",3,0.208406096907188,0.177588068996172,0.361414565987533,-0.55569369293013,0.972505886744505,29.1901542473435,0.0264880972356674,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.47261904782985
"LUAD","PI3K_AKT",3,0.646203760277474,0.416889121354048,0.261263021758018,-1.14752535571937,2.43993287627432,92.1085122152629,0.478881385953978,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.317247954991879
"NAFLD","PI3K_AKT",2,-0.29350259521451,0.19732064224757,0.376808727978545,-2.80069907428562,2.2136938838566,0,0,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"PAAD","PI3K_AKT",3,0.367279269463256,0.123974242087571,0.0975511301119554,-0.166138841673451,0.900697380599964,0,0,"SMCRPH 3","GSE15471;GSE28735;GSE62452","",0.22297401168447
"STAD","PI3K_AKT",3,0.727113691215136,0.132673212897182,0.0317181701887187,0.156266929578446,1.29796045285183,38.5591597516995,0.0206364713818342,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",0.126872680754875
"Asthma","RAS_MAPK",3,0.296147768171427,0.134659101066049,0.158893903691256,-0.28324358061602,0.875539116958873,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.399431306345992
"COPD","RAS_MAPK",2,-0.237101474889345,0.108821797938811,0.273928557968003,-1.61981351925852,1.14561056947983,0,0,"SMDH 2","GSE76925;GSE47460","",0.647626107011489
"CRC","RAS_MAPK",3,-0.363393277878321,0.236317471304013,0.26394946305419,-1.38018529087203,0.653398735115383,80.4202214479813,0.125439773550298,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.34516468245548
