context,module,k,cohorts_positive,cohorts_negative,median_effect,direction_consistent,pattern,positive_cohorts,negative_cohorts,range_of_effects
STAD,FGFR_AXIS,3,1,2,-0.071,FALSE,1 positive / 2 negative,GSE27342,GSE13911;GSE63089,-0.38 to 0.27
STAD,HGF_MET_AXIS,3,3,0,0.712,TRUE,all positive,GSE13911;GSE27342;GSE63089,,0.63 to 1.21
STAD,IGF_INSR_AXIS,3,2,1,0.042,FALSE,2 positive / 1 negative,GSE27342;GSE63089,GSE13911,-0.04 to 0.11
STAD,JAK_STAT,3,3,0,0.901,TRUE,all positive,GSE13911;GSE27342;GSE63089,,0.69 to 1.11
STAD,PDGFR_KIT_CSF1R,3,0,3,-0.14,TRUE,all negative,,GSE13911;GSE27342;GSE63089,-0.74 to -0.03
STAD,PI3K_AKT,3,3,0,0.875,TRUE,all positive,GSE13911;GSE27342;GSE63089,,0.56 to 0.95
STAD,RAS_MAPK,3,3,0,0.928,TRUE,all positive,GSE13911;GSE27342;GSE63089,,0.44 to 1.33
STAD,RET_ALK_NTRK,3,0,3,-1.151,TRUE,all negative,,GSE13911;GSE27342;GSE63089,-1.46 to -0.73
STAD,SRC_FAK,3,2,1,0.403,FALSE,2 positive / 1 negative,GSE27342;GSE63089,GSE13911,-0.04 to 0.95
STAD,TGFB_SMAD,3,3,0,0.495,TRUE,all positive,GSE13911;GSE27342;GSE63089,,0.40 to 1.14
STAD,TIE_ANGPT_AXIS,3,2,1,0.103,FALSE,2 positive / 1 negative,GSE13911;GSE63089,GSE27342,-0.00 to 0.15
STAD,VEGF_PDGF_AXIS,3,3,0,0.754,TRUE,all positive,GSE13911;GSE27342;GSE63089,,0.39 to 0.89
STAD,WNT_CTNNB1,3,3,0,0.887,TRUE,all positive,GSE13911;GSE27342;GSE63089,,0.41 to 1.32
