context,module,cell_type,comparison_type,n_pairs,n_case_patients,n_control_patients,paired_median_diff,case_patient_mean,control_patient_mean,p_paired,p_unpaired,test_used,p_used,fdr,fdr_unpaired
IBD,HGF_MET_AXIS,stromal cell of lamina propria of colon,same-cell-type,0,12,6,nan,0.16204671262333611,0.0707741269905968,nan,0.06679594914889034,mann-whitney (unpaired; reported as such),0.06679594914889034,0.16698987287222583,0.16698987287222583
IBD,EPH_RECEPTORS,T cell of anorectum,same-cell-type,0,12,6,nan,0.005468118651371992,0.0065648032025939,nan,0.8882172187345627,mann-whitney (unpaired; reported as such),0.8882172187345627,0.8882172187345627,0.8882172187345627
IBD,EPH_RECEPTORS,colon epithelial cell,same-cell-type,0,12,6,nan,0.21407371428392954,0.16645176613060428,nan,0.33548804137039434,mann-whitney (unpaired; reported as such),0.33548804137039434,0.43308885144261244,0.43308885144261244
IBD,EPH_RECEPTORS,myeloid cell,same-cell-type,0,12,6,nan,0.01336617084650734,0.030178264712164532,nan,0.20515220237474951,mann-whitney (unpaired; reported as such),0.20515220237474951,0.43308885144261244,0.43308885144261244
IBD,EPH_RECEPTORS,plasma cell,same-cell-type,0,12,6,nan,0.0013486884715478021,0.002882347916247197,nan,0.34647108115409,mann-whitney (unpaired; reported as such),0.34647108115409,0.43308885144261244,0.43308885144261244
IBD,EPH_RECEPTORS,stromal cell of lamina propria of colon,same-cell-type,0,12,6,nan,0.10337545775215777,0.0627961236173634,nan,0.08306399482870072,mann-whitney (unpaired; reported as such),0.08306399482870072,0.41531997414350363,0.41531997414350363
IBD,JAK_STAT,T cell of anorectum,same-cell-type,0,12,6,nan,0.47435125138186957,0.38289475939449774,nan,0.15050635638870935,mann-whitney (unpaired; reported as such),0.15050635638870935,0.1881329454858867,0.1881329454858867
IBD,JAK_STAT,colon epithelial cell,same-cell-type,0,12,6,nan,0.2888026254024179,0.18589527127052075,nan,0.001292824822236587,mann-whitney (unpaired; reported as such),0.001292824822236587,0.006464124111182934,0.006464124111182934
IBD,JAK_STAT,myeloid cell,same-cell-type,0,12,6,nan,0.48936945025707757,0.27662597166345615,nan,0.003232062055591467,mann-whitney (unpaired; reported as such),0.003232062055591467,0.008080155138978667,0.008080155138978667
IBD,JAK_STAT,plasma cell,same-cell-type,0,12,6,nan,0.2505670008990761,0.20974802517219457,nan,0.49364361129067014,mann-whitney (unpaired; reported as such),0.49364361129067014,0.49364361129067014,0.49364361129067014
IBD,JAK_STAT,stromal cell of lamina propria of colon,same-cell-type,0,12,6,nan,0.5548109118636929,0.4520509458753737,nan,0.1246498599439776,mann-whitney (unpaired; reported as such),0.1246498599439776,0.1881329454858867,0.1881329454858867
IBD,SRC_FAK,T cell of anorectum,same-cell-type,0,12,6,nan,0.2469296667408217,0.27948370885004153,nan,0.21288515406162467,mann-whitney (unpaired; reported as such),0.21288515406162467,0.31202865761689297,0.31202865761689297
IBD,SRC_FAK,colon epithelial cell,same-cell-type,0,12,6,nan,0.13087253373408192,0.09186730993998905,nan,0.6164619694031459,mann-whitney (unpaired; reported as such),0.6164619694031459,0.6164619694031459,0.6164619694031459
IBD,SRC_FAK,myeloid cell,same-cell-type,0,12,6,nan,0.12358373904665594,0.06454467392259917,nan,0.1246498599439776,mann-whitney (unpaired; reported as such),0.1246498599439776,0.31202865761689297,0.31202865761689297
IBD,SRC_FAK,plasma cell,same-cell-type,0,12,6,nan,0.07457508909736549,0.1018874579310604,nan,0.15050635638870935,mann-whitney (unpaired; reported as such),0.15050635638870935,0.31202865761689297,0.31202865761689297
IBD,SRC_FAK,stromal cell of lamina propria of colon,same-cell-type,0,12,6,nan,0.25649703151923436,0.16034847286011794,nan,0.24962292609351436,mann-whitney (unpaired; reported as such),0.24962292609351436,0.31202865761689297,0.31202865761689297
IBD,WNT_CTNNB1,T cell of anorectum,same-cell-type,0,12,6,nan,0.19419031887881058,0.1833321396354414,nan,0.8200818789054083,mann-whitney (unpaired; reported as such),0.8200818789054083,0.9635854341736694,0.9635854341736694
IBD,WNT_CTNNB1,colon epithelial cell,same-cell-type,0,12,6,nan,0.3600605955248554,0.2555258568135502,nan,0.03199741435035553,mann-whitney (unpaired; reported as such),0.03199741435035553,0.15998707175177765,0.15998707175177765
IBD,WNT_CTNNB1,myeloid cell,same-cell-type,0,12,6,nan,0.30557251950939385,0.29196390685418244,nan,0.9635854341736694,mann-whitney (unpaired; reported as such),0.9635854341736694,0.9635854341736694,0.9635854341736694
IBD,WNT_CTNNB1,plasma cell,same-cell-type,0,12,6,nan,0.14961306570550867,0.1461108653212826,nan,0.3845076492135316,mann-whitney (unpaired; reported as such),0.3845076492135316,0.8227393521511169,0.8227393521511169
IBD,WNT_CTNNB1,stromal cell of lamina propria of colon,same-cell-type,0,12,6,nan,0.562214297246561,0.6387362552964798,nan,0.49364361129067014,mann-whitney (unpaired; reported as such),0.49364361129067014,0.8227393521511169,0.8227393521511169
STAD,VEGF_PDGF_AXIS,BEST4+ enterocyte,same-cell-type,0,5,7,nan,0.0074575372040271756,0.03945748462821498,nan,0.14740688856687892,mann-whitney (unpaired; reported as such),0.14740688856687892,0.43417235106704943,0.43417235106704943
