"disease","feature","n_cohorts","robust_consistent","n_fdr_raw","median_smd","composition_robust","direction_preserved","robust_xcell","k","est_REML","p_REML_KHNA","fdr","est_DL","p_DL","ci_lo","ci_hi","I2","n_analysed","n_fdr","median_d_adj","joint_robust","status","sc_hits","sc_celltypes","tcga_hr","tcga_fdr","ext_hr","ext_lo","ext_hi","ext_p","ext_fdr"
"COPD","PI3K_AKT",2,FALSE,0,0.0892507118638277,FALSE,TRUE,FALSE,2,0.0819525461900532,0.169141348669735,0.414562771060886,0.0819525461900532,0.449244285117082,-0.201407459862608,0.365312552242714,0,2,0,-0.0571323990188665,FALSE,"estimated, not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"COPD","RAS_MAPK",2,FALSE,0,-0.205652121307416,FALSE,TRUE,FALSE,2,-0.239847132409178,0.266028879517112,0.498804149094585,-0.239847132409178,0.0273515428368193,-1.59304565024007,1.11335138542172,0,2,1,-0.320138413177634,FALSE,"estimated",NA,NA,NA,NA,NA,NA,NA,NA,NA
"COPD","RET_ALK_NTRK",2,FALSE,0,0.666083995193305,FALSE,TRUE,FALSE,2,0.692384763491104,0.0777906664089242,0.388953332044621,0.692384763491104,4.78934076331736e-10,-0.388003344644067,1.77277287162627,0,2,1,0.552666989114785,FALSE,"estimated",NA,NA,NA,NA,NA,NA,NA,NA,NA
"COPD","SRC_FAK",2,FALSE,0,-0.279647415935864,FALSE,TRUE,FALSE,2,-0.279917136753722,0.00188386765088568,0.0282580147632852,-0.279917136753722,0.0100445607645627,-0.290442009881909,-0.269392263625535,0,2,0,-0.304003305507046,FALSE,"estimated, not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"COPD","TAM_AXL_AXIS",1,FALSE,0,0.245449692270371,FALSE,TRUE,FALSE,1,0.245449343298586,0.184484470696158,NA,0.245449343298586,0.184484470696158,-0.117056563729735,0.607955250326907,0,1,0,0.0946951612435907,FALSE,"estimated, not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"COPD","TGFB_SMAD",2,FALSE,0,-0.174845200133924,FALSE,TRUE,FALSE,2,-0.194616847699001,0.19346262649508,0.414562771060886,-0.194616847699001,0.0729302222619711,-0.970109977633942,0.58087628223594,0,2,0,-0.061432699906223,FALSE,"estimated, not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"COPD","TIE_ANGPT_AXIS",2,FALSE,0,0.0781973333170006,FALSE,TRUE,FALSE,2,0.103666371356939,0.411826689977106,0.617740034965659,0.103666371356939,0.338784181861916,-0.89124293215756,1.09857567487144,0,2,0,0.348224033774782,FALSE,"estimated, not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"COPD","VEGF_PDGF_AXIS",2,FALSE,0,-0.40501245254232,FALSE,TRUE,FALSE,2,-0.394754248286831,0.0503227640236349,0.377420730177262,-0.394754248286831,0.000300042138660839,-0.792067357785987,0.00255886121232429,0,2,0,-0.279702387991014,FALSE,"estimated, not significant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"COPD","WNT_CTNNB1",2,FALSE,0,-0.53876403060251,FALSE,TRUE,FALSE,2,-0.510293139556936,0.182045852999149,0.414562771060886,-0.510293139556936,0.00067093887634021,-2.41665374333346,1.39606746421959,42.3328387503699,2,1,-0.380712348857904,FALSE,"estimated",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CRC","EPH_RECEPTORS",3,TRUE,2,1.88593889091891,TRUE,TRUE,TRUE,3,2.10024879815202,0.0106748024901778,0.0272467471319547,2.10013747121882,5.61731770865549e-20,1.15904041260933,3.04145718369471,64.6326975425823,3,3,1.5735325067055,TRUE,"robust",2,"intestinal crypt stem cell of colon; malignant cell",0.973301806094935,0.916204659682388,0.883419138775148,0.765326989784982,1.01973324496694,0.0904440213700531,0.276723689723728
