"disease","feature","n","positive","negative","n_fdr_adj","median_smd","consistency","robust_xcell"
"LUAD","ERBB_RECEPTORS",3,1,2,0,-0.0909922542015175,0.666666666666667,FALSE
"LUAD","FGFR_AXIS",3,0,3,0,-0.137196114190337,1,FALSE
"LUAD","HGF_MET_AXIS",3,3,0,0,0.0982942732208514,1,FALSE
"LUAD","IGF_INSR_AXIS",3,3,0,0,0.0707120635214225,1,FALSE
"LUAD","JAK_STAT",3,2,1,0,0.0523956439595155,0.666666666666667,FALSE
"LUAD","PDGFR_KIT_CSF1R",3,3,0,0,0.188110470671654,1,FALSE
"LUAD","PI3K_AKT",3,3,0,0,0.107324956323546,1,FALSE
"LUAD","RAS_MAPK",3,2,1,0,0.0185203887329783,0.666666666666667,FALSE
"LUAD","RET_ALK_NTRK",3,0,3,0,-0.101735007464359,1,FALSE
"LUAD","SRC_FAK",3,3,0,0,0.128975223098022,1,FALSE
"LUAD","TAM_AXL_AXIS",3,3,0,0,0.0916422787873009,1,FALSE
"LUAD","TGFB_SMAD",3,1,2,0,-0.0462423076153119,0.666666666666667,FALSE
"LUAD","TIE_ANGPT_AXIS",3,2,1,0,0.0897331306234427,0.666666666666667,FALSE
"LUAD","VEGF_PDGF_AXIS",3,3,0,0,0.0646046777475328,1,FALSE
"LUAD","WNT_CTNNB1",3,2,1,0,0.00595006070205446,0.666666666666667,FALSE
"NAFLD","EPH_RECEPTORS",2,0,2,1,-0.497229056850006,1,FALSE
"NAFLD","ERBB_LIGANDS",2,1,1,0,0.0832618738424386,0.5,FALSE
"NAFLD","ERBB_RECEPTORS",2,1,1,0,-0.0509102914537079,0.5,FALSE
"NAFLD","FGFR_AXIS",2,1,1,0,0.0382741185444481,0.5,FALSE
"NAFLD","HGF_MET_AXIS",2,0,2,0,-0.586779356242401,1,FALSE
"NAFLD","IGF_INSR_AXIS",2,0,2,0,-0.575654162254806,1,FALSE
"NAFLD","JAK_STAT",2,1,1,0,-0.119298226443493,0.5,FALSE
"NAFLD","PDGFR_KIT_CSF1R",2,1,1,0,-0.0829078510822419,0.5,FALSE
"NAFLD","PI3K_AKT",2,0,2,0,-0.29155773540049,1,FALSE
"NAFLD","RAS_MAPK",2,2,0,0,0.310740204319986,1,FALSE
"NAFLD","RET_ALK_NTRK",1,0,1,0,-0.28708872110629,1,FALSE
"NAFLD","SRC_FAK",2,1,1,0,-0.192479093597594,0.5,FALSE
"NAFLD","TAM_AXL_AXIS",2,0,2,0,-0.239877289621835,1,FALSE
"NAFLD","TGFB_SMAD",2,0,2,0,-0.54887803036395,1,FALSE
"NAFLD","TIE_ANGPT_AXIS",2,1,1,0,0.19130849526742,0.5,FALSE
"NAFLD","VEGF_PDGF_AXIS",2,1,1,0,-0.0297086799804923,0.5,FALSE
"NAFLD","WNT_CTNNB1",2,1,1,0,0.0335769766472189,0.5,FALSE
"PAAD","EPH_RECEPTORS",3,2,1,0,0.0167077526994245,0.666666666666667,FALSE
"PAAD","ERBB_LIGANDS",3,1,2,0,-0.115761889366608,0.666666666666667,FALSE
"PAAD","ERBB_RECEPTORS",3,1,2,0,-0.169769182096922,0.666666666666667,FALSE
"PAAD","FGFR_AXIS",3,3,0,1,0.065064469249585,1,FALSE
"PAAD","HGF_MET_AXIS",3,3,0,1,0.12561073907443,1,FALSE
"PAAD","IGF_INSR_AXIS",3,1,2,0,-0.130321611589295,0.666666666666667,FALSE
"PAAD","JAK_STAT",3,3,0,1,0.153256253857889,1,FALSE
"PAAD","PDGFR_KIT_CSF1R",3,1,2,1,-0.00277270773597087,0.666666666666667,FALSE
"PAAD","PI3K_AKT",3,1,2,0,-0.136081842086932,0.666666666666667,FALSE
"PAAD","RAS_MAPK",3,3,0,1,0.110024460527537,1,FALSE
"PAAD","RET_ALK_NTRK",1,0,1,1,-0.50317755384695,1,FALSE
"PAAD","SRC_FAK",3,2,1,0,0.0056282583778445,0.666666666666667,FALSE
"PAAD","TAM_AXL_AXIS",3,1,2,0,-0.0803511321120988,0.666666666666667,FALSE
"PAAD","TGFB_SMAD",3,3,0,1,0.0917004430554108,1,FALSE
"PAAD","TIE_ANGPT_AXIS",3,1,2,1,-0.00524743371494851,0.666666666666667,FALSE
"PAAD","VEGF_PDGF_AXIS",3,1,2,1,-0.00591867447004863,0.666666666666667,FALSE
"PAAD","WNT_CTNNB1",3,3,0,1,0.133110677137766,1,FALSE
"STAD","EPH_RECEPTORS",3,3,0,3,1.26558024452372,1,TRUE
"STAD","ERBB_LIGANDS",3,1,2,1,-0.0874624191989337,0.666666666666667,FALSE
"STAD","ERBB_RECEPTORS",3,1,2,2,-0.390141877991487,0.666666666666667,TRUE
"STAD","FGFR_AXIS",3,1,2,0,-0.311949472444777,0.666666666666667,FALSE
"STAD","HGF_MET_AXIS",3,3,0,3,0.587584699887859,1,TRUE
"STAD","IGF_INSR_AXIS",3,0,3,0,-0.163319989253452,1,FALSE
"STAD","JAK_STAT",3,3,0,3,0.845376478672229,1,TRUE
"STAD","PDGFR_KIT_CSF1R",3,0,3,1,-0.209187592390311,1,FALSE
"STAD","PI3K_AKT",3,3,0,2,0.490457235430554,1,TRUE
"STAD","RAS_MAPK",3,3,0,2,0.845985004227816,1,TRUE
"STAD","RET_ALK_NTRK",3,0,3,3,-0.74889193797585,1,TRUE
"STAD","SRC_FAK",3,2,1,1,0.213675803837991,0.666666666666667,FALSE
"STAD","TAM_AXL_AXIS",1,0,1,0,-0.395130482421744,1,FALSE
"STAD","TGFB_SMAD",3,3,0,1,0.258706478473778,1,FALSE
"STAD","TIE_ANGPT_AXIS",3,0,3,0,-0.170646045920366,1,FALSE
"STAD","VEGF_PDGF_AXIS",3,3,0,1,0.392559706083191,1,FALSE
"STAD","WNT_CTNNB1",3,3,0,2,0.501718560722372,1,TRUE
