"disease","feature","n_analysed","n_fdr","pos","neg","median_d_adj","median_beta_base","median_beta_adj","majority","joint_robust","n_rows","n_est","status"
"CRC","HGF_MET_AXIS",3,2,3,0,0.816654744218151,0.382963940178719,0.343706123163556,3,TRUE,3,3,"robust"
"CRC","IGF_INSR_AXIS",3,3,0,3,-0.655183121553005,-0.386418658270493,-0.283448843494962,3,TRUE,3,3,"robust"
"CRC","JAK_STAT",3,2,3,0,0.654439428662535,-0.0254446458755764,0.23791063032212,3,TRUE,3,3,"robust"
"CRC","PDGFR_KIT_CSF1R",3,1,0,3,-0.300939823581263,-0.422725543086861,-0.129785600711626,3,FALSE,3,3,"estimated"
"CRC","PI3K_AKT",3,0,0,3,-0.154070590965714,-0.0143034676647918,-0.0520918973200411,3,FALSE,3,3,"estimated, not significant"
"CRC","RAS_MAPK",3,1,0,3,-0.279629596356671,-0.094142483032688,-0.0864826478819567,3,FALSE,3,3,"estimated"
"CRC","RET_ALK_NTRK",3,2,0,3,-0.773654354417228,-0.391606869256314,-0.342885078398327,3,TRUE,3,3,"robust"
"CRC","SRC_FAK",3,1,0,3,-0.301416654449285,-0.124195617091527,-0.0925505403408965,3,FALSE,3,3,"estimated"
"CRC","TAM_AXL_AXIS",3,2,3,0,0.519014623413623,-0.0103046583208432,0.247427629530545,3,TRUE,3,3,"robust"
"CRC","TGFB_SMAD",3,1,2,1,0.129426670539488,-0.203460653021372,0.0488909023088697,2,FALSE,3,3,"estimated"
"CRC","TIE_ANGPT_AXIS",3,0,3,0,0.233425203420937,-0.110283964949913,0.118154188718444,3,FALSE,3,3,"estimated, not significant"
"CRC","VEGF_PDGF_AXIS",3,3,3,0,1.08832868216541,0.250934919196432,0.406266207929558,3,TRUE,3,3,"robust"
"CRC","WNT_CTNNB1",3,3,3,0,1.65217120806222,0.908259805412207,0.852635937601793,3,TRUE,3,3,"robust"
"ESCC","EPH_RECEPTORS",2,1,0,2,-1.26391442771291,-0.138144904522029,-0.348553081591854,2,FALSE,2,2,"estimated"
"ESCC","ERBB_LIGANDS",2,1,0,2,-0.692779625637174,-0.209909903851036,-0.297217739337712,2,FALSE,2,2,"estimated"
"ESCC","ERBB_RECEPTORS",2,1,0,2,-0.830663394679579,-0.309865264559506,-0.34040343010807,2,FALSE,2,2,"estimated"
"ESCC","FGFR_AXIS",2,1,0,2,-0.830587505081085,-0.093700742370331,-0.27348206662971,2,FALSE,2,2,"estimated"
"ESCC","HGF_MET_AXIS",2,1,2,0,0.514452912485012,0.243963479678782,0.208918282538153,2,FALSE,2,2,"estimated"
"ESCC","IGF_INSR_AXIS",2,1,2,0,0.962878838409515,0.396882658912637,0.433221409553515,2,FALSE,2,2,"estimated"
"ESCC","JAK_STAT",2,1,1,1,0.089074386753139,-0.0640170863867937,0.0313298059585324,1,FALSE,2,2,"estimated"
"ESCC","PDGFR_KIT_CSF1R",2,0,1,1,-0.0867837873019485,-0.152747900358,-0.0312044035476757,1,FALSE,2,2,"estimated, not significant"
"ESCC","PI3K_AKT",2,1,1,1,0.269302963254451,0.0858973905840618,0.0704772026935139,1,FALSE,2,2,"estimated"
"ESCC","RAS_MAPK",2,0,0,2,-0.2914520083104,-0.189224660840644,-0.110899576239295,2,FALSE,2,2,"estimated, not significant"
"ESCC","RET_ALK_NTRK",2,1,0,2,-0.818348003682235,-0.147365759497225,-0.316128161667526,2,FALSE,2,2,"estimated"
"ESCC","SRC_FAK",2,1,2,0,1.06171985728917,0.487720748563619,0.432198472746385,2,FALSE,2,2,"estimated"
"ESCC","TAM_AXL_AXIS",2,0,0,2,-0.562442367319182,-0.325306100706912,-0.259754848997599,2,FALSE,2,2,"estimated, not significant"
"ESCC","TGFB_SMAD",2,1,2,0,0.47779867657105,0.164981413714575,0.189399788235831,2,FALSE,2,2,"estimated"
"ESCC","TIE_ANGPT_AXIS",2,1,2,0,0.504061245307534,0.230466836081469,0.247566294772285,2,FALSE,2,2,"estimated"
"ESCC","VEGF_PDGF_AXIS",2,2,2,0,1.05852937973407,0.389528193342464,0.419516375487738,2,TRUE,2,2,"robust"
"ESCC","WNT_CTNNB1",2,1,2,0,0.533022179574957,0.248798454549464,0.251936214254665,2,FALSE,2,2,"estimated"
"HCC","EPH_RECEPTORS",2,0,0,2,-0.419305364852727,-0.104208263350246,-0.142231292745589,2,FALSE,2,2,"estimated, not significant"
"HCC","ERBB_LIGANDS",2,1,1,1,-0.389873573433273,-0.288478327590145,-0.149225997765516,1,FALSE,2,2,"estimated"
"HCC","ERBB_RECEPTORS",2,1,0,2,-0.86858567892274,-0.193934598854142,-0.366022971163444,2,FALSE,2,2,"estimated"
"HCC","FGFR_AXIS",2,1,1,1,-0.6406227106128,-0.150758267718791,-0.217352486048309,1,FALSE,2,2,"estimated"
"HCC","HGF_MET_AXIS",2,0,0,2,-0.437959842129901,-0.276322379096171,-0.195626022521668,2,FALSE,2,2,"estimated, not significant"
"HCC","IGF_INSR_AXIS",2,1,0,2,-0.965548195691629,-0.366003669171422,-0.406703480809643,2,FALSE,2,2,"estimated"
"HCC","JAK_STAT",2,1,2,0,0.862072610998633,0.241515822904911,0.319644020881465,2,FALSE,2,2,"estimated"
"HCC","PDGFR_KIT_CSF1R",2,0,1,1,-0.157423704889658,-0.029393604988682,-0.0729726164414444,1,FALSE,2,2,"estimated, not significant"
"HCC","PI3K_AKT",2,0,1,1,0.487825603894219,0.248675529985465,0.165892364269507,1,FALSE,2,2,"estimated, not significant"
"HCC","RAS_MAPK",2,0,2,0,0.343661080776875,0.260338851985795,0.118427170205555,2,FALSE,2,2,"estimated, not significant"
"HCC","RET_ALK_NTRK",2,0,0,2,-0.436395502800091,-0.394339050075945,-0.177039447062536,2,FALSE,2,2,"estimated, not significant"
"HCC","SRC_FAK",2,0,0,2,-0.604147226558297,-0.2303958120987,-0.170325971619927,2,FALSE,2,2,"estimated, not significant"
"HCC","TAM_AXL_AXIS",2,0,1,1,-0.511921769102545,-0.225103895030113,-0.224115573567392,1,FALSE,2,2,"estimated, not significant"
"HCC","TGFB_SMAD",2,0,2,0,0.930476558813244,0.391005807967456,0.389481509693541,2,FALSE,2,2,"estimated, not significant"
"HCC","TIE_ANGPT_AXIS",2,1,0,2,-0.563269654911627,0.125910628237246,-0.262416881132913,2,FALSE,2,2,"estimated"
"HCC","VEGF_PDGF_AXIS",2,0,1,1,-0.268901429393205,0.211804898269,-0.126679057458672,1,FALSE,2,2,"estimated, not significant"
"HCC","WNT_CTNNB1",2,0,2,0,0.500628989845795,0.167516033285461,0.219766721045784,2,FALSE,2,2,"estimated, not significant"
"IBD","EPH_RECEPTORS",3,0,1,2,-0.189719874904924,0.0971707535708972,-0.0867880609859565,2,FALSE,3,3,"estimated, not significant"
"IBD","ERBB_LIGANDS",3,1,3,0,0.0915149268003456,0.254147691007825,0.0405519551048235,3,FALSE,3,3,"estimated"
"IBD","ERBB_RECEPTORS",3,0,0,3,-0.167175976740237,-0.566363611375108,-0.0844024554196322,3,FALSE,3,3,"estimated, not significant"
"IBD","FGFR_AXIS",3,1,0,3,-0.391979454712709,-0.00830339919742211,-0.106034929443635,3,FALSE,3,3,"estimated"
"IBD","HGF_MET_AXIS",3,1,3,0,0.585762579396843,0.585882681086315,0.317123521114332,3,FALSE,3,3,"estimated"
"IBD","IGF_INSR_AXIS",3,1,0,3,-0.50098119794206,-0.229679064602871,-0.242636999157294,3,FALSE,3,3,"estimated"
"IBD","JAK_STAT",3,3,3,0,0.671975635630335,0.772930839994185,0.337559911597654,3,TRUE,3,3,"robust"
"IBD","PDGFR_KIT_CSF1R",3,0,3,0,0.270718492971168,0.634861031888279,0.134889631195851,3,FALSE,3,3,"estimated, not significant"
"IBD","PI3K_AKT",3,0,1,2,-0.0509977516735297,0.037600384542341,-0.0183848852989896,2,FALSE,3,3,"estimated, not significant"
"IBD","RAS_MAPK",3,1,2,1,0.399992619993982,0.0260191609440962,0.134109238078365,2,FALSE,3,3,"estimated"
"IBD","RET_ALK_NTRK",2,0,2,0,0.389794853308321,-0.0685224031373997,0.164076813672832,2,FALSE,2,2,"estimated, not significant"
"IBD","SRC_FAK",3,0,3,0,0.545955974923196,0.168123114743385,0.207301411424127,3,FALSE,3,3,"estimated, not significant"
"IBD","TAM_AXL_AXIS",3,0,1,2,-0.0985368655687904,0.299823102727728,-0.0518632336752392,2,FALSE,3,3,"estimated, not significant"
"IBD","TGFB_SMAD",3,0,2,1,0.355338074538187,0.37474728337167,0.157547043473345,2,FALSE,3,3,"estimated, not significant"
"IBD","TIE_ANGPT_AXIS",3,0,2,1,0.0304860009170169,0.562369117278449,0.0168998679183519,2,FALSE,3,3,"estimated, not significant"
"IBD","VEGF_PDGF_AXIS",3,1,1,2,-0.113841896860518,0.467875522091017,-0.0479037572468603,2,FALSE,3,3,"estimated"
"IBD","WNT_CTNNB1",3,1,2,1,0.20827169107376,0.0756729555414231,0.0884108970972357,2,FALSE,3,3,"estimated"
"LUAD","EPH_RECEPTORS",3,1,1,2,-0.289938703904681,0.582332051645729,-0.122132830527167,2,FALSE,3,3,"estimated"
"LUAD","ERBB_LIGANDS",3,0,0,3,-0.682888711238064,-0.0307081152133881,-0.208577472032417,3,FALSE,3,3,"estimated, not significant"
"LUAD","ERBB_RECEPTORS",3,0,1,2,-0.258529779345934,0.230368546784345,-0.113693889920636,2,FALSE,3,3,"estimated, not significant"
"LUAD","FGFR_AXIS",3,0,0,3,-0.790755893953696,-0.604920982243176,-0.327432218864034,3,FALSE,3,3,"estimated, not significant"
"LUAD","HGF_MET_AXIS",3,0,3,0,0.499602959732576,0.256977830666296,0.226266796350796,3,FALSE,3,3,"estimated, not significant"
"LUAD","IGF_INSR_AXIS",3,0,3,0,0.600162492575227,-0.222076902604801,0.288512272186096,3,FALSE,3,3,"estimated, not significant"
