"disease","feature","k","n_pos","n_neg","frac_majority","median_yi","I2","direction_consistent","concordance"
"STAD","JAK_STAT",3,3,0,1,0.900578783989241,NA,TRUE,1
"STAD","PDGFR_KIT_CSF1R",3,0,3,1,-0.13963552180469,NA,TRUE,1
"STAD","PI3K_AKT",3,3,0,1,0.875487107408834,NA,TRUE,1
"STAD","RAS_MAPK",3,3,0,1,0.927741489679317,NA,TRUE,1
"STAD","RET_ALK_NTRK",3,0,3,1,-1.15148100368772,NA,TRUE,1
"STAD","SRC_FAK",3,2,1,0.666666666666667,0.403350945014211,NA,FALSE,0.666666666666667
"STAD","TAM_AXL_AXIS",1,0,1,1,-0.165962177108069,NA,TRUE,1
"STAD","TGFB_SMAD",3,3,0,1,0.49522259801863,NA,TRUE,1
"STAD","TIE_ANGPT_AXIS",3,2,1,0.666666666666667,0.102923028340267,NA,FALSE,0.666666666666667
"STAD","VEGF_PDGF_AXIS",3,3,0,1,0.753684363582816,NA,TRUE,1
"STAD","WNT_CTNNB1",3,3,0,1,0.887167404352647,NA,TRUE,1
