context,module,cell_type,comparison_type,n_donors_a,n_donors_b,n_overlap_donors,n_pairs,median_diff,mean_a,mean_b,p_paired,p_unpaired,test_used,p_used,fdr
CRC,EPH_RECEPTORS,colonocyte,tumour-vs-adjacent,14,20,13,13,-0.012117687045879982,0.08894996979279042,0.0778622114591515,0.5302845968336095,nan,wilcoxon-signed-rank (paired donors),0.5302845968336095,0.5965701714378107
CRC,EPH_RECEPTORS,early colonocyte,tumour-vs-adjacent,18,20,14,14,0.01275698966017199,0.19899654281950038,0.18905417242029252,0.5015869140625,nan,wilcoxon-signed-rank (paired donors),0.5015869140625,0.5965701714378107
CRC,EPH_RECEPTORS,enteroendocrine cell of colon,tumour-vs-adjacent,9,15,6,6,-0.042815698818726974,0.06944487823380364,0.08936231501504185,0.5001842570707944,nan,wilcoxon-signed-rank (paired donors),0.5001842570707944,0.5965701714378107
CRC,EPH_RECEPTORS,intestinal crypt stem cell of colon,tumour-vs-adjacent,21,20,16,16,-0.07594149487004392,0.13429950481127134,0.24217053644946884,0.01824951171875,nan,wilcoxon-signed-rank (paired donors),0.01824951171875,0.052734375
CRC,EPH_RECEPTORS,malignant cell,tumour-vs-adjacent,28,20,19,19,0.14827654798483025,0.2714748563251171,0.11733841210294593,3.814697265625e-06,nan,wilcoxon-signed-rank (paired donors),3.814697265625e-06,3.4332275390625e-05
CRC,EPH_RECEPTORS,secretory cell,tumour-vs-adjacent,19,18,13,13,-0.03299639340612412,0.16341409809562132,0.18778113553634285,0.0478515625,nan,wilcoxon-signed-rank (paired donors),0.0478515625,0.0861328125
CRC,EPH_RECEPTORS,tuft cell of colon,tumour-vs-adjacent,16,18,11,11,-0.10899485565803863,0.07142628796613548,0.1120686326299875,0.7988593499960496,nan,wilcoxon-signed-rank (paired donors),0.7988593499960496,0.7988593499960496
CRC,EPH_RECEPTORS,malignant cell vs BEST4+ colonocyte,cell-identity,28,16,16,0,nan,0.2714748563251171,0.15433295824201365,nan,0.000867652370143851,mann-whitney (cell-identity; unpaired),0.000867652370143851,0.001735304740287702
CRC,EPH_RECEPTORS,malignant cell vs colonocyte,cell-identity,28,20,20,0,nan,0.2714748563251171,0.0778622114591515,nan,5.10077001841921e-08,mann-whitney (cell-identity; unpaired),5.10077001841921e-08,2.040308007367684e-07
CRC,EPH_RECEPTORS,malignant cell vs early colonocyte,cell-identity,28,20,20,0,nan,0.2714748563251171,0.18905417242029252,nan,0.009226058407522594,mann-whitney (cell-identity; unpaired),0.009226058407522594,0.012301411210030125
CRC,EPH_RECEPTORS,malignant cell vs secretory cell,cell-identity,28,18,18,0,nan,0.2714748563251171,0.18778113553634285,nan,0.016527931992040976,mann-whitney (cell-identity; unpaired),0.016527931992040976,0.016527931992040976
CRC,JAK_STAT,BEST4+ colonocyte,tumour-vs-adjacent,9,16,8,8,-0.056182866420892874,0.27809979708748067,0.32528951830499886,0.84375,nan,wilcoxon-signed-rank (paired donors),0.84375,0.84375
CRC,JAK_STAT,colon goblet cell,tumour-vs-adjacent,14,17,10,10,-0.06881715345185352,0.2369874255500326,0.2895834352673626,0.083984375,nan,wilcoxon-signed-rank (paired donors),0.083984375,0.23531341552734375
