context,module,cell_type,comparison_type,n_donors_a,n_donors_b,n_overlap_donors,median_diff,test_used,p_used,fdr_family,fdr_global
CRC,JAK_STAT,intestinal crypt stem cell of colon,tumour-vs-adjacent,6,9,2,0.1653687747583897,not testable,nan,nan,nan
CRC,JAK_STAT,malignant cell,tumour-vs-adjacent,26,10,8,0.05456359022832942,wilcoxon-signed-rank (paired donors),0.3125,0.390625,0.521978021978022
CRC,JAK_STAT,secretory cell,tumour-vs-adjacent,11,13,7,-0.005528671793214313,wilcoxon-signed-rank (paired donors),0.6875,0.6875,0.8403954248145444
CRC,JAK_STAT,tuft cell of colon,tumour-vs-adjacent,3,8,2,-0.09662326100076693,not testable,nan,nan,nan
CRC,JAK_STAT,malignant cell vs BEST4+ colonocyte,cell-identity,26,12,12,nan,mann-whitney (cell-identity; unpaired),0.00013587920522093602,0.0005435168208837441,0.0020653639193582277
CRC,JAK_STAT,malignant cell vs colonocyte,cell-identity,26,17,16,nan,mann-whitney (cell-identity; unpaired),0.07990693953467842,0.15981387906935685,0.21689026445127002
CRC,JAK_STAT,malignant cell vs early colonocyte,cell-identity,26,18,17,nan,mann-whitney (cell-identity; unpaired),0.14869256869714248,0.19825675826285663,0.3392857142857143
CRC,JAK_STAT,malignant cell vs secretory cell,cell-identity,26,13,12,nan,mann-whitney (cell-identity; unpaired),0.964355784037191,0.964355784037191,0.9971570011813131
CRC,SRC_FAK,BEST4+ colonocyte,tumour-vs-adjacent,3,12,2,-0.1023614872020299,not testable,nan,nan,nan
CRC,SRC_FAK,colon goblet cell,tumour-vs-adjacent,7,15,6,-0.03906242812619905,wilcoxon-signed-rank (paired donors),0.15625,0.546875,0.3392857142857143
CRC,SRC_FAK,colonocyte,tumour-vs-adjacent,7,17,7,-0.03729027258307953,wilcoxon-signed-rank (paired donors),0.578125,0.72265625,0.7510683760683761
CRC,SRC_FAK,early colonocyte,tumour-vs-adjacent,13,18,10,-0.0011994589259488458,wilcoxon-signed-rank (paired donors),0.845703125,0.845703125,0.9419732492649342
CRC,SRC_FAK,intestinal crypt stem cell of colon,tumour-vs-adjacent,6,9,2,0.17590940983924622,not testable,nan,nan,nan
CRC,SRC_FAK,malignant cell,tumour-vs-adjacent,26,10,8,0.05778272016322487,wilcoxon-signed-rank (paired donors),0.4609375,0.72265625,0.6628093601935747
CRC,SRC_FAK,secretory cell,tumour-vs-adjacent,11,13,7,-0.014412940971374938,wilcoxon-signed-rank (paired donors),0.21875,0.546875,0.415625
CRC,SRC_FAK,tuft cell of colon,tumour-vs-adjacent,3,8,2,-0.026593112964783956,not testable,nan,nan,nan
CRC,SRC_FAK,malignant cell vs BEST4+ colonocyte,cell-identity,26,12,12,nan,mann-whitney (cell-identity; unpaired),0.002441827707567162,0.009767310830268649,0.019534621660537297
CRC,SRC_FAK,malignant cell vs colonocyte,cell-identity,26,17,16,nan,mann-whitney (cell-identity; unpaired),0.3914542381253051,0.4665829048731085,0.5769691569891822
CRC,SRC_FAK,malignant cell vs early colonocyte,cell-identity,26,18,17,nan,mann-whitney (cell-identity; unpaired),0.4665829048731085,0.4665829048731085,0.6628093601935747
