"disease","feature","k","est","p","fdr","scenario"
"ESCC","TIE_ANGPT_AXIS",2,0.401362448332207,0.402661978362081,0.556341190807378,"all cohorts"
"HCC","TIE_ANGPT_AXIS",2,0.367886121008346,0.158393605418228,0.472001393376343,"all cohorts"
"IBD","TIE_ANGPT_AXIS",3,1.49988361949914,0.0269177937714959,0.0762670823525717,"all cohorts"
"LUAD","TIE_ANGPT_AXIS",3,-2.21722538485613,0.0212235973992208,0.0721602311573508,"all cohorts"
"NAFLD","TIE_ANGPT_AXIS",2,0.190482551112248,0.689964865006061,0.919661679056586,"all cohorts"
"PAAD","TIE_ANGPT_AXIS",3,0.364417623211455,0.313132003241722,0.41750933765563,"all cohorts"
"STAD","TIE_ANGPT_AXIS",3,0.0508914738612976,0.367618739311361,0.452453832998598,"all cohorts"
"Asthma","VEGF_PDGF_AXIS",3,-0.318548975658325,0.177478793468043,0.364933265639017,"all cohorts"
"COPD","VEGF_PDGF_AXIS",2,-0.385987812246985,0.0395627180303111,0.296720385227333,"all cohorts"
"CRC","VEGF_PDGF_AXIS",3,0.910328765529681,0.0746542345119263,0.115374726063886,"all cohorts"
"ESCC","VEGF_PDGF_AXIS",2,1.0237545639717,0.141610834529229,0.399358533729142,"all cohorts"
"HCC","VEGF_PDGF_AXIS",2,0.808570398833122,0.148514324626323,0.472001393376343,"all cohorts"
"IBD","VEGF_PDGF_AXIS",3,1.75352818011205,0.0593129411140298,0.100831999893851,"all cohorts"
"LUAD","VEGF_PDGF_AXIS",3,-1.20781509815084,0.0193848205974983,0.0721602311573508,"all cohorts"
"NAFLD","VEGF_PDGF_AXIS",2,0.169082315942198,0.79370704894193,0.919661679056586,"all cohorts"
"PAAD","VEGF_PDGF_AXIS",3,0.289969923023666,0.393555364906378,0.484375833730927,"all cohorts"
"STAD","VEGF_PDGF_AXIS",3,0.623597442170167,0.0564047375926842,0.150412633580491,"all cohorts"
"Asthma","WNT_CTNNB1",3,-0.55079336941894,0.0245243666484038,0.208457116511432,"all cohorts"
"COPD","WNT_CTNNB1",2,-0.525496294100538,0.189145787155745,0.415475115455989,"all cohorts"
"CRC","WNT_CTNNB1",3,2.80345878009869,0.0135953846858031,0.0461435789931031,"all cohorts"
"ESCC","WNT_CTNNB1",2,0.585422817470789,0.0811221396547785,0.399358533729142,"all cohorts"
"HCC","WNT_CTNNB1",2,0.354175326184387,0.573830440507998,0.573830440507998,"all cohorts"
"IBD","WNT_CTNNB1",3,0.15053069950135,0.730276296397272,0.770608934586456,"all cohorts"
"LUAD","WNT_CTNNB1",3,-0.760932852582995,0.254770624927574,0.314658572613102,"all cohorts"
"NAFLD","WNT_CTNNB1",2,0.082836599039974,0.0191384409054684,0.306215054487494,"all cohorts"
"PAAD","WNT_CTNNB1",3,1.02803593813987,0.0393702145516885,0.139390303984712,"all cohorts"
"STAD","WNT_CTNNB1",3,0.836244745364086,0.0834077668900991,0.166815533780198,"all cohorts"
"Asthma","EPH_RECEPTORS",3,0.149957153913401,0.27606598106283,0.391093473172343,"coverage >= 0.60"
"COPD","EPH_RECEPTORS",2,0.102986615747994,0.782344329430561,0.782344329430561,"coverage >= 0.60"
"CRC","EPH_RECEPTORS",3,2.25484763862376,0.00816308832136224,0.0374386882242313,"coverage >= 0.60"
"ESCC","EPH_RECEPTORS",2,-0.388996239834087,0.380658710399866,0.556341190807378,"coverage >= 0.60"
"HCC","EPH_RECEPTORS",2,-0.186920782928567,0.274627294887602,0.472001393376343,"coverage >= 0.60"
"IBD","EPH_RECEPTORS",3,-0.100069979219483,0.770608934586456,0.770608934586456,"coverage >= 0.60"
"LUAD","EPH_RECEPTORS",3,1.37654015831525,0.0560746814873682,0.114048372220049,"coverage >= 0.60"
"NAFLD","EPH_RECEPTORS",2,-0.14089221205073,0.862182824115549,0.919661679056586,"coverage >= 0.60"
"PAAD","EPH_RECEPTORS",3,0.978803194046275,0.139206152690811,0.278412305381622,"coverage >= 0.60"
"STAD","EPH_RECEPTORS",3,1.56719726693813,0.0154515169280368,0.1239794902749,"coverage >= 0.60"
"Asthma","ERBB_LIGANDS",3,-0.248715662477111,0.147199469334186,0.357484425525881,"coverage >= 0.60"
"COPD","ERBB_LIGANDS",2,-0.143883887129669,0.494288399535055,0.647626107011489,"coverage >= 0.60"
"CRC","ERBB_LIGANDS",3,-0.402298938241559,0.0584702318207639,0.0993993940952986,"coverage >= 0.60"
"ESCC","ERBB_LIGANDS",2,-0.502518197896739,0.0206037959941235,0.350264531900099,"coverage >= 0.60"
"HCC","ERBB_LIGANDS",2,-0.833441932511757,0.392228280064468,0.472001393376343,"coverage >= 0.60"
"IBD","ERBB_LIGANDS",3,0.615046621050884,0.284218920930561,0.439247423256321,"coverage >= 0.60"
"LUAD","ERBB_LIGANDS",3,-0.169213687834068,0.631143417243362,0.71529587287581,"coverage >= 0.60"
"NAFLD","ERBB_LIGANDS",2,0.125596579190446,0.618039308987193,0.919661679056586,"coverage >= 0.60"
"PAAD","ERBB_LIGANDS",3,0.500782697328845,0.00716345412630461,0.0518488837533965,"coverage >= 0.60"
"STAD","ERBB_LIGANDS",3,-0.31166629183861,0.453422312595659,0.487362733211594,"coverage >= 0.60"
"Asthma","ERBB_RECEPTORS",3,-0.441141421988087,0.0565172548367801,0.238988416282864,"coverage >= 0.60"
"COPD","ERBB_RECEPTORS",2,-0.225703474427274,0.596001036033779,0.647626107011489,"coverage >= 0.60"
"CRC","ERBB_RECEPTORS",3,-0.0867944633426476,0.864781343818,0.864781343818,"coverage >= 0.60"
"ESCC","ERBB_RECEPTORS",2,-0.923873043282417,0.146868505716176,0.399358533729142,"coverage >= 0.60"
"HCC","ERBB_RECEPTORS",2,-0.528332352667163,0.0661351790414987,0.472001393376343,"coverage >= 0.60"
"IBD","ERBB_RECEPTORS",3,-1.49362404801439,6.10591513493046e-05,0.00103800557293818,"coverage >= 0.60"
"LUAD","ERBB_RECEPTORS",3,0.985669803446403,0.153874072552125,0.217988269448843,"coverage >= 0.60"
"NAFLD","ERBB_RECEPTORS",2,-0.12030634176465,0.73898629250212,0.919661679056586,"coverage >= 0.60"
"PAAD","ERBB_RECEPTORS",3,0.158143050431548,0.298863732713721,0.41750933765563,"coverage >= 0.60"
"STAD","ERBB_RECEPTORS",3,-0.250765903707943,0.456902562385869,0.487362733211594,"coverage >= 0.60"
"Asthma","FGFR_AXIS",3,-0.158563111336145,0.528164936104842,0.561175244611395,"coverage >= 0.60"
"COPD","FGFR_AXIS",2,-0.192455350788257,0.550327589323342,0.647626107011489,"coverage >= 0.60"
"CRC","FGFR_AXIS",3,-1.61486384771969,0.0201575925298152,0.048954153286694,"coverage >= 0.60"
"ESCC","FGFR_AXIS",2,-0.338543918548958,0.709689692552471,0.74228256929028,"coverage >= 0.60"
"HCC","FGFR_AXIS",2,-0.558215245569507,0.242792881231899,0.472001393376343,"coverage >= 0.60"
"IBD","FGFR_AXIS",3,-0.152114907038824,0.527937934888739,0.723493494053571,"coverage >= 0.60"
"LUAD","FGFR_AXIS",3,-2.0083442487795,0.00291390723339685,0.0294364755141446,"coverage >= 0.60"
