"state","accession","gene","n_members","smd_full","smd_loo","flip","delta"
"IBD JAK_STAT","GSE87473","STAT1",9,1.90121920225641,1.82728340827196,FALSE,-0.0739357939844534
"IBD JAK_STAT","GSE87473","STAT3",9,1.90121920225641,1.82227648474355,FALSE,-0.078942717512863
"IBD JAK_STAT","GSE87473","STAT5A",9,1.90121920225641,1.89454818474398,FALSE,-0.00667101751243293
"IBD JAK_STAT","GSE87473","STAT5B",9,1.90121920225641,1.87952161026815,FALSE,-0.0216975919882598
"IBD JAK_STAT","GSE87473","STAT6",9,1.90121920225641,1.97166812076158,FALSE,0.0704489185051653
"IBD JAK_STAT","GSE179285","JAK1",9,1.35759154506285,1.28032688621794,FALSE,-0.0772646588449106
"IBD JAK_STAT","GSE179285","JAK2",9,1.35759154506285,1.25228242945248,FALSE,-0.105309115610371
"IBD JAK_STAT","GSE179285","JAK3",9,1.35759154506285,1.38335647125052,FALSE,0.025764926187666
"IBD JAK_STAT","GSE179285","TYK2",9,1.35759154506285,1.35594211488539,FALSE,-0.001649430177459
"IBD JAK_STAT","GSE179285","STAT1",9,1.35759154506285,1.30337122762393,FALSE,-0.0542203174389249
"IBD JAK_STAT","GSE179285","STAT3",9,1.35759154506285,1.33974536345421,FALSE,-0.0178461816086408
"IBD JAK_STAT","GSE179285","STAT5A",9,1.35759154506285,1.29986111896252,FALSE,-0.0577304261003324
"IBD JAK_STAT","GSE179285","STAT5B",9,1.35759154506285,1.37364881579291,FALSE,0.0160572707300624
"IBD JAK_STAT","GSE179285","STAT6",9,1.35759154506285,1.47629040778042,FALSE,0.118698862717572
"CRC ERBB_LIGANDS","GSE41258","EGF",6,-0.368326155568458,-0.230162323533806,FALSE,0.138163832034652
"CRC ERBB_LIGANDS","GSE41258","TGFA",6,-0.368326155568458,-0.242579263181256,FALSE,0.125746892387202
"CRC ERBB_LIGANDS","GSE41258","AREG",6,-0.368326155568458,-0.681721144190082,FALSE,-0.313394988621625
"CRC ERBB_LIGANDS","GSE41258","EREG",6,-0.368326155568458,-0.659754714798763,FALSE,-0.291428559230306
"CRC ERBB_LIGANDS","GSE41258","HBEGF",6,-0.368326155568458,-0.426814022469914,FALSE,-0.0584878669014568
"CRC ERBB_LIGANDS","GSE41258","NRG1",6,-0.368326155568458,0.0882695594614668,TRUE,0.456595715029924
"CRC ERBB_LIGANDS","GSE23878","EGF",6,-0.367770626227353,-0.24255977851816,FALSE,0.125210847709193
"CRC ERBB_LIGANDS","GSE23878","TGFA",6,-0.367770626227353,-0.136028414519966,FALSE,0.231742211707387
"CRC ERBB_LIGANDS","GSE23878","AREG",6,-0.367770626227353,-0.575886371111248,FALSE,-0.208115744883895
"CRC ERBB_LIGANDS","GSE23878","EREG",6,-0.367770626227353,-0.714336913177372,FALSE,-0.346566286950019
"CRC ERBB_LIGANDS","GSE23878","HBEGF",6,-0.367770626227353,-0.243181548877237,FALSE,0.124589077350116
"CRC ERBB_LIGANDS","GSE23878","NRG1",6,-0.367770626227353,-0.363865009296776,FALSE,0.00390561693057695
"CRC PDGFR_KIT_CSF1R","GSE41258","PDGFRA",5,-1.06919679692872,-0.780079622118047,FALSE,0.289117174810668
"CRC PDGFR_KIT_CSF1R","GSE41258","PDGFRB",5,-1.06919679692872,-1.82585971076956,FALSE,-0.756662913840844
"CRC PDGFR_KIT_CSF1R","GSE41258","KIT",5,-1.06919679692872,-0.600374554207211,FALSE,0.468822242721504
"CRC PDGFR_KIT_CSF1R","GSE41258","CSF1R",5,-1.06919679692872,-0.961043885552805,FALSE,0.10815291137591
"CRC PDGFR_KIT_CSF1R","GSE41258","FLT3",5,-1.06919679692872,-0.946986505864588,FALSE,0.122210291064127
"CRC PDGFR_KIT_CSF1R","GSE23878","PDGFRA",5,-1.07629322072237,-1.04879121554044,FALSE,0.0275020051819321
"CRC PDGFR_KIT_CSF1R","GSE23878","PDGFRB",5,-1.07629322072237,-1.83554273667917,FALSE,-0.759249515956799
"CRC PDGFR_KIT_CSF1R","GSE23878","KIT",5,-1.07629322072237,-0.625239500746525,FALSE,0.451053719975847
"CRC PDGFR_KIT_CSF1R","GSE23878","CSF1R",5,-1.07629322072237,-0.818522185531759,FALSE,0.257771035190613
"CRC PDGFR_KIT_CSF1R","GSE23878","FLT3",5,-1.07629322072237,-0.810241878136254,FALSE,0.266051342586118
"COPD SRC_FAK","GSE76925","SRC",5,-0.278776314371841,-0.322523582527776,FALSE,-0.0437472681559354
"COPD SRC_FAK","GSE76925","FYN",5,-0.278776314371841,-0.367220149182473,FALSE,-0.0884438348106328
"COPD SRC_FAK","GSE76925","YES1",5,-0.278776314371841,0.114127120158783,TRUE,0.392903434530623
"COPD SRC_FAK","GSE76925","PTK2",5,-0.278776314371841,-0.21017181426051,FALSE,0.0686045001113309
"COPD SRC_FAK","GSE76925","PTK2B",5,-0.278776314371841,-0.451934046648129,FALSE,-0.173157732276288
"COPD SRC_FAK","GSE47460","SRC",5,-0.280518517499887,-0.27363241880119,FALSE,0.00688609869869738
"COPD SRC_FAK","GSE47460","FYN",5,-0.280518517499887,-0.225745701953742,FALSE,0.054772815546145
"COPD SRC_FAK","GSE47460","YES1",5,-0.280518517499887,-0.454670933618248,FALSE,-0.17415241611836
"COPD SRC_FAK","GSE47460","PTK2",5,-0.280518517499887,-0.122359177810292,FALSE,0.158159339689595
