"context","feature","n","events","hazard_ratio_per_1sd","ci_low","ci_high","p_value","fdr"
"ESCC","JAK_STAT",94,31,1.01439803434755,0.708039983487471,1.45331251918824,0.937886685347077,0.981604145326129
"ESCC","PDGFR_KIT_CSF1R",94,31,0.982572049960267,0.686368326781506,1.40660312501637,0.923479790650064,0.981604145326129
"ESCC","PI3K_AKT",94,31,0.864300134494357,0.622596842980069,1.19983699067821,0.38354524773751,0.625307847406105
"ESCC","RAS_MAPK",94,31,0.733599529569079,0.519813135745917,1.03531102385806,0.0779796204706086,0.199149431273392
"ESCC","RET_ALK_NTRK",94,31,0.950009659315851,0.687584404437394,1.31259282055982,0.755869639161224,0.916204659682388
"ESCC","SRC_FAK",94,31,0.852558353358246,0.598606823108098,1.21424567482698,0.376656303845142,0.625307847406105
"ESCC","TAM_AXL_AXIS",94,31,0.715037059939547,0.525924482587736,0.97215097226758,0.0323403862387628,0.105841264054133
"ESCC","TGFB_SMAD",94,31,0.82446417008411,0.572195347781601,1.18795297862493,0.300313249829999,0.53638454682694
"ESCC","TIE_ANGPT_AXIS",94,31,0.946280689793283,0.644662977477709,1.38901592794913,0.777970301827239,0.916204659682388
"ESCC","VEGF_PDGF_AXIS",94,31,0.957105106913076,0.638746123033832,1.43413815386958,0.831731327158852,0.938599045499954
"ESCC","WNT_CTNNB1",94,31,0.709737202569793,0.490220015590765,1.0275526920388,0.0693700485726723,0.182730859654844
"HCC","EGFR",360,129,0.850725036431231,0.723691959825733,1.0000568305128,0.0500805593889756,0.15370658718226
"HCC","EPH_RECEPTORS",360,129,0.9327073583547,0.794732002297613,1.09463695159368,0.393712348366807,0.625307847406105
"HCC","ERBB_LIGANDS",360,129,1.2283378934308,1.04142346091853,1.44879968337495,0.0146108959422952,0.0830514085140988
"HCC","ERBB_RECEPTORS",360,129,0.890872061385147,0.755860591853414,1.04999921719763,0.168171897350401,0.349280094496987
"HCC","FGFR_AXIS",360,129,1.00572176612026,0.847308335562976,1.19375229582274,0.947980060998509,0.981604145326129
"HCC","HGF_MET_AXIS",360,129,1.04848169946536,0.878963687880281,1.25069316204051,0.598777209873993,0.80834923332989
"HCC","IGF_INSR_AXIS",360,129,0.818914771901118,0.69505435288102,0.96484742647552,0.0169560093414179,0.0848005434485004
"HCC","JAK_STAT",360,129,0.821293892799183,0.695817760496866,0.969397012613727,0.0199442067770739,0.0848005434485004
"HCC","PDGFR_KIT_CSF1R",360,129,0.926316133303187,0.777667707622087,1.10337817863301,0.391091617044306,0.625307847406105
"HCC","PI3K_AKT",360,129,0.99651636770607,0.850176196020697,1.16804596006582,0.96564948282472,0.98386928438745
"HCC","RAS_MAPK",360,129,1.44348403003663,1.20146489090762,1.73425470917985,8.84834270920774e-05,0.004106374310041
"HCC","RET_ALK_NTRK",360,129,0.925688366041313,0.778130593670901,1.10122768336577,0.38343821195638,0.625307847406105
"HCC","SRC_FAK",360,129,0.883645136820802,0.747454889422541,1.04464997002066,0.147486010905614,0.318569783556126
"HCC","TAM_AXL_AXIS",360,129,1.22913566853438,1.02297583643714,1.47684279320346,0.0276323935625796,0.0981278127905013
"HCC","TGFB_SMAD",360,129,1.11620523262299,0.938380523376267,1.32772802748737,0.21436773986154,0.42094028918266
