"accession","module","n_members","n_present","coverage","missing"
"GSE33814","TIE_ANGPT_AXIS",3,3,1,""
"GSE33814","VEGF_PDGF_AXIS",9,9,1,""
"GSE33814","WNT_CTNNB1",4,4,1,""
"GSE47460","EPH_RECEPTORS",4,3,0.75,"EPHB2"
"GSE47460","ERBB_LIGANDS",6,6,1,""
"GSE47460","ERBB_RECEPTORS",4,4,1,""
"GSE47460","FGFR_AXIS",8,7,0.875,"FGF2"
"GSE47460","HGF_MET_AXIS",3,2,0.667,"HGF"
"GSE47460","IGF_INSR_AXIS",4,3,0.75,"INSR"
"GSE47460","JAK_STAT",9,6,0.667,"JAK1;JAK2;STAT5B"
"GSE47460","PDGFR_KIT_CSF1R",5,5,1,""
"GSE47460","PI3K_AKT",9,8,0.889,"AKT1"
"GSE47460","RAS_MAPK",12,12,1,""
"GSE47460","RET_ALK_NTRK",6,6,1,""
"GSE47460","SRC_FAK",5,4,0.8,"PTK2B"
"GSE47460","TAM_AXL_AXIS",3,2,0.667,"MERTK"
"GSE47460","TGFB_SMAD",5,4,0.8,"TGFBR1"
"GSE47460","TIE_ANGPT_AXIS",3,3,1,""
"GSE47460","VEGF_PDGF_AXIS",9,7,0.778,"FLT1;PGF"
"GSE47460","WNT_CTNNB1",4,4,1,""
"GSE57957","EPH_RECEPTORS",4,4,1,""
"GSE57957","ERBB_LIGANDS",6,6,1,""
"GSE57957","ERBB_RECEPTORS",4,4,1,""
"GSE57957","FGFR_AXIS",8,8,1,""
"GSE57957","HGF_MET_AXIS",3,3,1,""
"GSE57957","IGF_INSR_AXIS",4,4,1,""
"GSE57957","JAK_STAT",9,9,1,""
"GSE57957","PDGFR_KIT_CSF1R",5,5,1,""
"GSE57957","PI3K_AKT",9,9,1,""
"GSE57957","RAS_MAPK",12,12,1,""
"GSE57957","RET_ALK_NTRK",6,6,1,""
"GSE57957","SRC_FAK",5,5,1,""
"GSE57957","TAM_AXL_AXIS",3,3,1,""
"GSE57957","TGFB_SMAD",5,5,1,""
"GSE57957","TIE_ANGPT_AXIS",3,3,1,""
"GSE57957","VEGF_PDGF_AXIS",9,9,1,""
"GSE57957","WNT_CTNNB1",4,4,1,""
"GSE62232","EPH_RECEPTORS",4,4,1,""
"GSE62232","ERBB_LIGANDS",6,6,1,""
"GSE62232","ERBB_RECEPTORS",4,4,1,""
"GSE62232","FGFR_AXIS",8,8,1,""
"GSE62232","HGF_MET_AXIS",3,3,1,""
"GSE62232","IGF_INSR_AXIS",4,3,0.75,"IGF2"
"GSE62232","JAK_STAT",9,9,1,""
"GSE62232","PDGFR_KIT_CSF1R",5,5,1,""
"GSE62232","PI3K_AKT",9,9,1,""
"GSE62232","RAS_MAPK",12,12,1,""
"GSE62232","RET_ALK_NTRK",6,6,1,""
"GSE62232","SRC_FAK",5,5,1,""
"GSE62232","TAM_AXL_AXIS",3,3,1,""
"GSE62232","TGFB_SMAD",5,5,1,""
"GSE62232","TIE_ANGPT_AXIS",3,3,1,""
"GSE62232","VEGF_PDGF_AXIS",9,9,1,""
"GSE62232","WNT_CTNNB1",4,4,1,""
"GSE62452","EPH_RECEPTORS",4,4,1,""
"GSE62452","ERBB_LIGANDS",6,6,1,""
"GSE62452","ERBB_RECEPTORS",4,4,1,""
"GSE62452","FGFR_AXIS",8,8,1,""
"GSE62452","HGF_MET_AXIS",3,3,1,""
"GSE62452","IGF_INSR_AXIS",4,3,0.75,"IGF2"
"GSE62452","JAK_STAT",9,9,1,""
"GSE62452","PDGFR_KIT_CSF1R",5,4,0.8,"PDGFRB"
"GSE62452","PI3K_AKT",9,9,1,""
"GSE62452","RAS_MAPK",12,10,0.833,"BRAF;RAF1"
"GSE62452","RET_ALK_NTRK",6,2,0.333,"RET;ALK;ROS1;NTRK1"
"GSE62452","SRC_FAK",5,5,1,""
"GSE62452","TAM_AXL_AXIS",3,3,1,""
"GSE62452","TGFB_SMAD",5,5,1,""
"GSE62452","TIE_ANGPT_AXIS",3,3,1,""
"GSE62452","VEGF_PDGF_AXIS",9,9,1,""
"GSE62452","WNT_CTNNB1",4,4,1,""
"GSE66676","EPH_RECEPTORS",4,4,1,""
"GSE66676","ERBB_LIGANDS",6,6,1,""
"GSE66676","ERBB_RECEPTORS",4,4,1,""
"GSE66676","FGFR_AXIS",8,8,1,""
"GSE66676","HGF_MET_AXIS",3,3,1,""
"GSE66676","IGF_INSR_AXIS",4,3,0.75,"IGF2"
"GSE66676","JAK_STAT",9,9,1,""
"GSE66676","PDGFR_KIT_CSF1R",5,4,0.8,"PDGFRB"
"GSE66676","PI3K_AKT",9,9,1,""
"GSE66676","RAS_MAPK",12,10,0.833,"BRAF;RAF1"
"GSE66676","RET_ALK_NTRK",6,2,0.333,"RET;ALK;ROS1;NTRK1"
"GSE66676","SRC_FAK",5,5,1,""
"GSE66676","TAM_AXL_AXIS",3,3,1,""
"GSE66676","TGFB_SMAD",5,5,1,""
"GSE66676","TIE_ANGPT_AXIS",3,3,1,""
"GSE66676","VEGF_PDGF_AXIS",9,9,1,""
"GSE66676","WNT_CTNNB1",4,4,1,""
"GSE76925","EPH_RECEPTORS",4,4,1,""
"GSE76925","ERBB_LIGANDS",6,5,0.833,"AREG"
"GSE76925","ERBB_RECEPTORS",4,3,0.75,"ERBB4"
"GSE76925","FGFR_AXIS",8,8,1,""
"GSE76925","HGF_MET_AXIS",3,3,1,""
"GSE76925","IGF_INSR_AXIS",4,4,1,""
"GSE76925","JAK_STAT",9,8,0.889,"JAK3"
"GSE76925","PDGFR_KIT_CSF1R",5,5,1,""
