accession,disease_e,sample,epic_cancer,epic_caf,epic_endo,epic_immune,pos,disease_x,epi,fib,end,imm
GSE41258,CRC,GSM1012305,0.631836323247247,0.0251310220099669,0.081813495036105,0.261219159706681,4,CRC,0.412974694710369,0.0,0.137146069500045,0.575335214063041
GSE41258,CRC,GSM1012306,0.632252706390254,0.0145233479214684,0.0573140846618585,0.295909861026419,5,CRC,0.470354435031064,0.0,0.0143531109461205,0.600820228385802
GSE41258,CRC,GSM1012307,0.636856337719446,0.0221209716247336,0.102970953310526,0.238051737345295,6,CRC,0.460557556948844,0.0709905246371722,0.156115298314712,0.182943322309562
GSE41258,CRC,GSM1012308,0.701671644977484,0.0134053704103138,0.0481783062466888,0.236744678365513,7,CRC,0.493284846030752,1.80704498616534e-17,0.0383211147507172,0.348673570962443
GSE41258,CRC,GSM1012310,0.620410636995235,0.0402608974293902,0.0753987809926479,0.263929684582727,8,CRC,0.449753229363161,0.086168519970264,0.0792425776964118,0.259450428041245
GSE41258,CRC,GSM1012312,0.624864683121586,0.013759839430489,0.0418170415072736,0.319558435940651,9,CRC,0.44738987905435,1.95587535752332e-20,0.0055306799528504,0.598458011252392
GSE41258,CRC,GSM1012314,0.660764536235883,0.0586372821453855,0.0659862533711688,0.214611928247563,10,CRC,0.437353638116711,0.182227719924766,0.128115328960828,0.316714970873328
GSE41258,CRC,GSM1012315,0.656426182160171,0.0078598157754319,0.053071718051057,0.28264228401334,11,CRC,0.496588787722426,2.10763340933587e-17,0.0021973650342936,0.568483677159034
GSE41258,CRC,GSM1012316,0.693924620026111,0.032698169151274,0.0850575878603448,0.18831962296227,12,CRC,0.473110142238928,0.090201770599303,0.124337301555069,0.330538633256919
GSE41258,CRC,GSM1012317,0.656089254385815,0.0507912395611479,0.0472797661566075,0.24583973989643,13,CRC,0.40648826525567,0.0460260176258832,0.043679089193006,0.429842611176767
GSE41258,CRC,GSM1012318,0.608067888627328,0.0179878565924734,0.0831004124806101,0.290843842299589,14,CRC,0.45642795720389,0.324317452778361,0.135956596288212,0.31325980033438
GSE41258,CRC,GSM1012319,0.743396337172917,0.015268213565493,0.0351839771674443,0.206151472094145,15,CRC,0.509879041487705,8.448696613080229e-18,0.0433686651983627,0.147994950621696
GSE41258,CRC,GSM1012320,0.701912071775541,0.0310091562515486,0.0574076118140182,0.209671160158892,16,CRC,0.46888243722583,0.0396817349038626,0.10306327413499,0.240717690567764
GSE41258,CRC,GSM1012322,0.709170279599796,0.0304411215300886,0.05507250723066,0.205316091639456,17,CRC,0.441534741813732,0.0938895748230349,0.0728500075735159,0.293155138385908
GSE41258,CRC,GSM1012324,0.700660379079756,0.0257936492292935,0.0513550577545129,0.222190913936438,18,CRC,0.450715025584915,0.0357655164376011,0.0947181068358646,0.257186468308474
GSE41258,CRC,GSM1012325,0.552891908587082,0.0201422535395551,0.05380565064296,0.373160187230403,19,CRC,0.354033258219449,9.57999378044527e-18,0.0,0.824004108662566
GSE41258,CRC,GSM1012326,0.667896936422479,0.0325025237915415,0.056821575298305,0.242778964487675,20,CRC,0.447729409814011,0.115419990445002,0.0892201014597265,0.523930677197003
GSE41258,CRC,GSM1012327,0.642017268495323,0.0100444511316296,0.0663684147370447,0.281569865636003,21,CRC,0.4583740407793,0.0,0.064066209781149,0.544198658816884
GSE41258,CRC,GSM1012328,0.677201828456194,0.0286913469563254,0.054540360811137,0.239566463776343,22,CRC,0.392573511808841,0.0836279055085128,0.0826688426082648,0.2934017711084
GSE41258,CRC,GSM1012330,0.599326410868654,0.0102251964834323,0.052283659064048,0.338164733583866,23,CRC,0.456100657057902,0.0,0.0,0.656105203125995
GSE41258,CRC,GSM1012331,0.690385294598913,0.0217181595176624,0.0603080315295759,0.227588514353849,24,CRC,0.42031503078656,0.0,0.0585174332322292,0.50921547710998
GSE41258,CRC,GSM1012333,0.638404845130001,0.014620892451797,0.064214575797601,0.282759686620601,25,CRC,0.382322269047757,0.367600143649985,0.0752830235757364,0.44915136016726
GSE41258,CRC,GSM1012334,0.660871454313516,0.0483291863507698,0.0651555733970205,0.225643785938693,26,CRC,0.420710500581573,0.0422181993565358,0.121355573791083,0.398196043210944
GSE41258,CRC,GSM1012335,0.59861893143956,0.0120663207437884,0.0822429935519206,0.30707175426473,27,CRC,0.448063074874807,0.157531364778946,0.106403788955325,0.559135846452427
GSE41258,CRC,GSM1012336,0.681861104814677,0.0352991551499744,0.0471371990608245,0.235702540974524,28,CRC,0.443228926505763,0.115113961753044,0.0728081698335834,0.210166022233977
GSE41258,CRC,GSM1012337,0.664776485943764,0.0160514173420975,0.0510649534775093,0.268107143236629,29,CRC,0.463290515545385,9.33134151995363e-19,0.0556646964837875,0.365851353325901
GSE41258,CRC,GSM1012338,0.716043148763023,0.0171936512879774,0.0340576012735398,0.23270559867546,30,CRC,0.46423821635148,0.0,4.95697688848701e-20,0.322247395459158
GSE41258,CRC,GSM1012339,0.765687183659756,0.0185883762022271,0.0365047236827531,0.179219716455264,31,CRC,0.504777442785604,3.7475813746104195e-18,1.91758774815606e-18,0.0382272996639752
GSE41258,CRC,GSM1012340,0.599641417248051,0.0113619681046505,0.0570704150289801,0.331926199618318,32,CRC,0.434415652853524,2.46438317303248e-19,0.0,0.796290491609799
GSE41258,CRC,GSM1012341,0.725208377263472,0.0300860467030291,0.0405700264578953,0.204135549575603,33,CRC,0.443010592401643,0.0488548402979001,0.0,0.390954719047839
GSE41258,CRC,GSM1012342,0.613196589743392,0.0177590491305568,0.0955256951766829,0.273518665949368,34,CRC,0.236064976758425,0.411245039296466,0.0928113200371954,0.501023025311402
GSE41258,CRC,GSM1012344,0.596459174946596,0.0441335102382967,0.078892235508748,0.280515079306359,35,CRC,0.36208287011917,0.137846787037057,0.12664899034133,0.594228332196163
GSE41258,CRC,GSM1012345,0.650691251761678,0.0147747513855238,0.065220683837527,0.269313313015271,36,CRC,0.439741633094682,0.0494865371307148,0.0409668478966194,0.59470780422427
GSE41258,CRC,GSM1012346,0.581540068786633,0.0426881081886328,0.0731744597625988,0.302597363262135,37,CRC,0.381924141254947,0.0520155055109369,0.117732553216367,0.720502091901868
GSE41258,CRC,GSM1012347,0.547591950092563,0.0264920842442183,0.0833087449616153,0.342607220701603,38,CRC,1.21220114784773e-17,0.527151174156802,0.071345107878084,0.576688677245645
GSE41258,CRC,GSM1012350,0.711125657206089,0.0178347057961508,0.0406420967392292,0.230397540258531,39,CRC,0.468870109470809,0.0,0.0156289093745926,0.316985840645805
GSE41258,CRC,GSM1012351,0.0968745436931472,0.0094288641151891,0.0581519268233231,0.835544665368341,40,CRC,0.182636669310828,4.91033931962518e-19,1.7316861115914398e-18,1.04161054374006
GSE41258,CRC,GSM1012352,0.680876029202978,0.024870571201399,0.0548054379183286,0.239447961677294,41,CRC,0.476878548151709,0.0,0.0677286116300844,0.431094421354417
GSE41258,CRC,GSM1012354,0.707731774303258,0.0289750583273449,0.068708524272598,0.194584643096799,42,CRC,0.454457589244512,0.0794982083700918,0.096831113676411,0.165260682183238
GSE41258,CRC,GSM1012355,0.647781604853617,0.0146271530549042,0.055979745880565,0.281611496210914,43,CRC,0.362981456949869,0.409090074654969,0.0298070073152573,0.327262967310505
GSE41258,CRC,GSM1012356,0.6430022670049,0.0464254024916177,0.0515591878805632,0.259013142622919,44,CRC,0.458347437794716,0.203237338318432,0.0307421695190282,0.392195213191763
GSE41258,CRC,GSM1012357,0.645836024647469,0.0169911678486594,0.0596966020138471,0.277476205490024,45,CRC,0.458520495885821,0.224365809622089,0.0305260858696261,0.396962492706342
GSE41258,CRC,GSM1012358,0.671064268033145,0.0175125312590842,0.0722537496680294,0.239169451039741,46,CRC,0.503087081769221,0.0330324048543665,0.143949459901517,0.176925269942288
GSE41258,CRC,GSM1012359,0.654057668290413,0.0233405525308713,0.0655710425745769,0.257030736604139,47,CRC,0.495176004329495,0.10124787397907,0.0413864894536419,0.385850293239852
GSE41258,CRC,GSM1012361,0.646645925996844,0.0345522110382556,0.0960866746643757,0.222715188300524,48,CRC,0.38312826310824,0.106053946076592,0.199546605130578,0.334928494374528
GSE41258,CRC,GSM1012363,0.698228414345702,0.0196018341200524,0.0498130053766035,0.232356746157642,49,CRC,0.417350757152792,0.0888776442983486,0.111346051077936,0.402308553693917
GSE41258,CRC,GSM1012364,0.628837976026597,0.0512730922859888,0.0806488928990883,0.239240038788326,50,CRC,0.356904566052749,0.123149983844674,0.142273375473943,0.565914277287982
GSE41258,CRC,GSM1012366,0.649478343559075,0.054295895989321,0.0742356594553207,0.221990100996283,51,CRC,0.364021063805787,0.10938459151462,0.14660986912881,0.366250885203294
GSE41258,CRC,GSM1012367,0.655384383433288,0.0269104977502719,0.043593112442007,0.274112006374433,52,CRC,0.428363516818407,0.0107521085689278,0.0,0.439333401632724
GSE41258,CRC,GSM1012368,0.657552067530899,0.0327762450672509,0.0477948675719122,0.261876819829938,53,CRC,0.470767100298025,0.127998025385292,6.8225377099015594e-18,0.316550921372912
GSE41258,CRC,GSM1012369,0.545851068881023,0.0380953235098179,0.0882648331323072,0.327788774476852,54,CRC,0.158620911425166,0.412219919520583,0.061247665747923,0.710445022691889
GSE41258,CRC,GSM1012370,0.686571507716637,0.0261409388987848,0.0391136441053486,0.248173909279229,55,CRC,0.438585230884358,0.040351637135889,0.0268278947563038,0.234670094363426
GSE41258,CRC,GSM1012371,0.685304494133939,0.0256695463948496,0.0515759165211085,0.237450042950103,56,CRC,0.425499790441234,4.32613234283078e-18,0.0303456785580248,0.426397354445724
GSE41258,CRC,GSM1012373,0.724006860390889,0.0213653360037908,0.042611268892271,0.212016534713049,57,CRC,0.469884094731022,3.99720271353246e-20,0.0415451258451854,0.317658907499916
GSE41258,CRC,GSM1012374,0.567112025388924,0.0312024949996764,0.0570947345944191,0.344590745016981,58,CRC,0.35574860648134,0.0108210241984321,0.0319987391405935,0.664318716293765
GSE41258,CRC,GSM1012375,0.685731195929612,0.0396036547188317,0.0458974852871179,0.228767664064438,59,CRC,0.403011503945622,0.0802263095804278,0.0216949582441104,0.577673955736413
