accession,disease,feature,paired,patient_ids_available,n_both_arm_patients,n_case,n_control,npair,r_emp,measure,yi,vi,mean_case,sd_case,mean_ctrl,sd_ctrl,beta_base,se_base,p_base,not_estimable_reason
GSE63089,STAD,JAK_STAT,TRUE,TRUE,45,45,45,45,0.159408267886471,SMCRPH,1.1135265761183,0.0458256877248322,0.238010672563661,0.340112255940748,-0.187359271292713,0.413617413822191,0.425369943856374,0.0733190538431168,6.59848573542873e-07,
GSE63089,STAD,PDGFR_KIT_CSF1R,TRUE,TRUE,45,45,45,45,-0.00807502193298301,SMCRPH,-0.13963552180469,0.0459186441021092,-0.0268799987049862,0.523878057758294,0.0352290384151323,0.338373426191934,-0.0621090371201183,0.0933104323457037,0.509130277801853,
GSE63089,STAD,PI3K_AKT,TRUE,TRUE,45,45,45,45,0.477863887543612,SMCRPH,0.946831578742555,0.0310005148451481,0.168409034755661,0.305025205630406,-0.170816113192497,0.397883610973226,0.339225147948158,0.0548452958535249,1.80301355577127e-07,
GSE63089,STAD,RAS_MAPK,TRUE,TRUE,45,45,45,45,0.506018352790376,SMCRPH,1.33146433557997,0.0351157266915727,0.234065594420549,0.348958554855393,-0.230275726901361,0.340987224770193,0.46434132132191,0.051125488046799,1.19238162592533e-11,
GSE63089,STAD,RET_ALK_NTRK,TRUE,TRUE,45,45,45,45,0.366940235647176,SMCRPH,-1.46229586125046,0.0425625262360333,-0.256170075545721,0.339883200710137,0.24332507480676,0.33664334649962,-0.499495150352481,0.0567409623508503,2.9235833536127e-11,
GSE63089,STAD,SRC_FAK,TRUE,TRUE,45,45,45,45,0.335776269163781,SMCRPH,0.950671161520968,0.0360071894806577,0.202366503192543,0.366136681382752,-0.166233986999557,0.401137269416987,0.3686004901921,0.0660530997576748,1.39082070183783e-06,
GSE63089,STAD,TGFB_SMAD,TRUE,TRUE,45,45,45,45,-0.0880338772170653,SMCRPH,1.14386445708621,0.0569729064748226,0.236706495760384,0.353674831323361,-0.186028336144783,0.378663890307434,0.422734831905167,0.0805607991626124,4.24209250895312e-06,
GSE63089,STAD,TIE_ANGPT_AXIS,TRUE,TRUE,45,45,45,45,0.0986140667090413,SMCRPH,0.102923028340267,0.0411572487479997,-0.0369645745792208,0.540606418638075,-0.0875511506656686,0.427293870107167,0.0505865760864477,0.0976702029673437,0.607099956425192,
GSE63089,STAD,VEGF_PDGF_AXIS,TRUE,TRUE,45,45,45,45,-0.179139136511862,SMCRPH,0.753684363582816,0.0568864337146847,0.0935016123786103,0.423012550187907,-0.199456452041366,0.343404969627637,0.292958064419976,0.0880544963937576,0.00177961057904501,
GSE63089,STAD,WNT_CTNNB1,TRUE,TRUE,45,45,45,45,0.379445632052165,SMCRPH,0.887167404352647,0.0337418382211963,0.148540185292454,0.447200546537972,-0.219848024785567,0.371678211107882,0.368388210078021,0.0686365853673991,2.84308822893376e-06,
