"context","driver","feature","n_plus","n_minus","events_plus","events_minus","HR_plus","p_plus","HR_minus","p_minus","HR_interaction","p_interaction","fdr_interaction"
"LUAD","EGFR_mut","WNT_CTNNB1",69,430,29,150,1.35328813706733,0.204258566019642,1.05137287647269,0.522849254595821,1.18876103016667,0.464724798678277,0.957898382242042
"STAD","TP53_mut","EGFR",172,209,62,95,1.16425582622582,0.179513139579803,1.23737954787396,0.0334267344863298,0.928843642649388,0.624285223427234,0.957898382242042
"STAD","TP53_mut","EPH_RECEPTORS",172,209,62,95,0.790175895058553,0.0791331126067184,0.96271316643969,0.675667682250462,0.807186957347237,0.181730121970821,0.94370508256248
"STAD","TP53_mut","ERBB_LIGANDS",172,209,62,95,1.01992125464083,0.870459786647363,1.11259564243942,0.365047946220597,0.912054773181615,0.584686304632487,0.957898382242042
"STAD","TP53_mut","ERBB_RECEPTORS",172,209,62,95,1.21591439939515,0.120820825761696,1.09586149781922,0.406895280880555,1.08754596777121,0.61065817662951,0.957898382242042
"STAD","TP53_mut","FGFR_AXIS",172,209,62,95,1.09838368381588,0.521010965713535,1.24346644681145,0.0186130898749818,0.894515880470844,0.517422371703281,0.957898382242042
"STAD","TP53_mut","HGF_MET_AXIS",172,209,62,95,0.976295229165465,0.849325552431046,1.1239826525039,0.271023540010762,0.863577127439376,0.373222724678567,0.957898382242042
"STAD","TP53_mut","IGF_INSR_AXIS",172,209,62,95,1.09831073205595,0.451406769929897,1.15615813947752,0.151806550479633,0.95056059154285,0.750489907217698,0.957898382242042
"STAD","TP53_mut","JAK_STAT",172,209,62,95,0.932952797980741,0.611290439348502,0.957208594376646,0.673996747722582,0.972617893190624,0.87170957758837,0.983432752794374
"STAD","TP53_mut","PDGFR_KIT_CSF1R",172,209,62,95,1.19016301648989,0.211767254432567,1.25818553337058,0.0197293487433881,0.948620073022426,0.757732649198968,0.957898382242042
"STAD","TP53_mut","PI3K_AKT",172,209,62,95,0.868799574871717,0.268681702552358,1.04396295457719,0.684733354818765,0.824734578699014,0.244664280664347,0.94370508256248
"STAD","TP53_mut","RAS_MAPK",172,209,62,95,0.952945980044729,0.70607608931485,1.02189103287242,0.830526728845125,0.924606908204867,0.630552564564875,0.957898382242042
"STAD","TP53_mut","RET_ALK_NTRK",172,209,62,95,1.12040929212629,0.405582902262839,1.31897571396361,0.00153729347483038,0.857112872132354,0.341116318120706,0.957898382242042
"STAD","TP53_mut","SRC_FAK",172,209,62,95,0.925544455328824,0.528992676906471,1.04160262921511,0.693455224808693,0.878813584612379,0.420626936523343,0.957898382242042
