"accession","disease","role","feature","n_case","n_control","paired","npair","r_emp","smd_unified","var_unified","d_adj","se_adj","p_adj","df_resid","joint_fallback","rank_full"
"GSE41258","CRC","validation","VEGF_PDGF_AXIS",182,53,FALSE,NA,NA,1.08933278673441,0.0268872085765405,1.67390614381796,0.198546753175596,3.85699546480657e-15,229,FALSE,TRUE
"GSE41258","CRC","validation","WNT_CTNNB1",182,53,FALSE,NA,NA,2.59042072981352,0.0386396205705683,2.52013529621172,0.198546753175596,2.6375863278556e-28,229,FALSE,TRUE
"GSE23878","CRC","validation","EPH_RECEPTORS",35,24,FALSE,NA,NA,1.88593889091891,0.100380175748947,1.14130977000489,0.417233966070484,0.0084557241124826,53,FALSE,TRUE
"GSE23878","CRC","validation","ERBB_LIGANDS",35,24,FALSE,NA,NA,-0.367770626227353,0.0713843260306008,-0.0132575732982046,0.417233966070484,0.974770912034886,53,FALSE,TRUE
"GSE23878","CRC","validation","ERBB_RECEPTORS",35,24,FALSE,NA,NA,0.193337738318514,0.0705548705012996,-0.29910720061851,0.417233966070484,0.476594834764217,53,FALSE,TRUE
"GSE23878","CRC","validation","FGFR_AXIS",35,24,FALSE,NA,NA,-1.70202181824785,0.0947879110837878,-1.88571017774702,0.417233966070484,3.50960764341265e-05,53,FALSE,TRUE
"GSE23878","CRC","validation","HGF_MET_AXIS",35,24,FALSE,NA,NA,0.488604639795293,0.0722612689163112,0.474964521666751,0.417233966070484,0.260087792362566,53,FALSE,TRUE
"GSE23878","CRC","validation","IGF_INSR_AXIS",35,24,FALSE,NA,NA,-0.691015583482067,0.0742847269043246,-1.11132690603727,0.417233966070484,0.0102186360325507,53,FALSE,TRUE
"GSE23878","CRC","validation","JAK_STAT",35,24,FALSE,NA,NA,-0.063384206898812,0.0702721423371138,0.739460302573101,0.417233966070484,0.082093928856297,53,FALSE,TRUE
"GSE23878","CRC","validation","PDGFR_KIT_CSF1R",35,24,FALSE,NA,NA,-1.07629322072237,0.080055104534476,-0.454741894353699,0.417233966070484,0.280689358377319,53,FALSE,TRUE
"GSE23878","CRC","validation","PI3K_AKT",35,24,FALSE,NA,NA,0.237396261618447,0.0707156968061496,-0.163606632181023,0.417233966070484,0.696540466199039,53,FALSE,TRUE
"GSE23878","CRC","validation","RAS_MAPK",35,24,FALSE,NA,NA,0.0961889481067344,0.0703165046765518,-0.279170608399786,0.417233966070484,0.506336916319171,53,FALSE,TRUE
"GSE23878","CRC","validation","RET_ALK_NTRK",35,24,FALSE,NA,NA,-0.73541346180249,0.0748214254058946,-0.811969207266897,0.417233966070484,0.0569560782581838,53,FALSE,TRUE
"GSE23878","CRC","validation","SRC_FAK",35,24,FALSE,NA,NA,-0.280267493453698,0.0709037720845937,-0.119323335987818,0.417233966070484,0.776003215676878,53,FALSE,TRUE
"GSE23878","CRC","validation","TAM_AXL_AXIS",35,24,FALSE,NA,NA,-0.348712954205475,0.0712686098519148,0.290326604751672,0.417233966070484,0.489571412380067,53,FALSE,TRUE
"GSE23878","CRC","validation","TGFB_SMAD",35,24,FALSE,NA,NA,-0.684776604932195,0.0742119850572687,-0.378869318316787,0.417233966070484,0.367962328172404,53,FALSE,TRUE
"GSE23878","CRC","validation","TIE_ANGPT_AXIS",35,24,FALSE,NA,NA,-0.221915535544863,0.0706554385000966,0.441829053851734,0.417233966070484,0.294425918690795,53,FALSE,TRUE
"GSE23878","CRC","validation","VEGF_PDGF_AXIS",35,24,FALSE,NA,NA,0.646035018723919,0.0737750549450242,1.25722115725475,0.417233966070484,0.00395805103470391,53,FALSE,TRUE
"GSE23878","CRC","validation","WNT_CTNNB1",35,24,FALSE,NA,NA,2.56687191729534,0.126075649812667,2.41812937708492,0.417233966070484,3.82127107411402e-07,53,FALSE,TRUE
"GSE75214","IBD","discovery","EPH_RECEPTORS",74,23,FALSE,NA,NA,-0.517553254942549,0.0583725031031902,-0.407811226782302,0.352629481737415,0.250509250606565,91,FALSE,TRUE
"GSE75214","IBD","discovery","ERBB_LIGANDS",74,23,FALSE,NA,NA,0.583856193547061,0.0587489293044358,0.0964647145462669,0.352629481737415,0.785044025918838,91,FALSE,TRUE
"GSE75214","IBD","discovery","ERBB_RECEPTORS",74,23,FALSE,NA,NA,-1.30727534685935,0.0658008920764098,-0.24006097752673,0.352629481737415,0.497743097460766,91,FALSE,TRUE
"GSE75214","IBD","discovery","FGFR_AXIS",74,23,FALSE,NA,NA,0.184539563723066,0.0571673148499813,-0.917025580968815,0.352629481737415,0.010861979556249,91,FALSE,TRUE
"GSE75214","IBD","discovery","HGF_MET_AXIS",74,23,FALSE,NA,NA,1.91260940648997,0.0758478297531504,1.55007692215775,0.352629481737415,2.98451816473161e-05,91,FALSE,TRUE
"GSE75214","IBD","discovery","IGF_INSR_AXIS",74,23,FALSE,NA,NA,-0.79234636144423,0.0602279226124288,-1.02438489071909,0.352629481737415,0.00461004125479491,91,FALSE,TRUE
"GSE75214","IBD","discovery","JAK_STAT",74,23,FALSE,NA,NA,1.9986501550238,0.0775825086211028,1.14212735305934,0.352629481737415,0.00167574408914335,91,FALSE,TRUE
"GSE75214","IBD","discovery","PDGFR_KIT_CSF1R",74,23,FALSE,NA,NA,1.40396626350664,0.0671521932957839,0.402252413304275,0.352629481737415,0.25697862906954,91,FALSE,TRUE
"GSE75214","IBD","discovery","PI3K_AKT",74,23,FALSE,NA,NA,0.103036096195405,0.057046498285755,-0.0531725025057147,0.352629481737415,0.880476235358318,91,FALSE,TRUE
"GSE75214","IBD","discovery","RAS_MAPK",74,23,FALSE,NA,NA,0.484808797369852,0.0582033185583736,1.06597086923892,0.352629481737415,0.00325186089029986,91,FALSE,TRUE
"GSE75214","IBD","discovery","SRC_FAK",74,23,FALSE,NA,NA,0.442038701768916,0.0579989816710249,0.727305492340393,0.352629481737415,0.0420085487578114,91,FALSE,TRUE
"GSE75214","IBD","discovery","TAM_AXL_AXIS",74,23,FALSE,NA,NA,0.583532190363733,0.0587469796263297,-0.559289583377965,0.352629481737415,0.116195924551433,91,FALSE,TRUE
"GSE75214","IBD","discovery","TGFB_SMAD",74,23,FALSE,NA,NA,0.933028350307032,0.0614791037772883,-0.393560885890621,0.352629481737415,0.267328546301702,91,FALSE,TRUE
"GSE75214","IBD","discovery","TIE_ANGPT_AXIS",74,23,FALSE,NA,NA,1.06446884286535,0.0628324646791153,-0.475884848614355,0.352629481737415,0.180513938861791,91,FALSE,TRUE
"GSE75214","IBD","discovery","VEGF_PDGF_AXIS",74,23,FALSE,NA,NA,1.31504804408233,0.0659059566420724,-0.19088620721053,0.352629481737415,0.589608254064389,91,FALSE,TRUE
"GSE75214","IBD","discovery","WNT_CTNNB1",74,23,FALSE,NA,NA,-0.352752714337921,0.0576331892154126,-0.602202950180981,0.352629481737415,0.091092296166589,91,FALSE,TRUE
"GSE87473","IBD","validation","EPH_RECEPTORS",106,21,FALSE,NA,NA,0.452564130718272,0.0578593653651387,0.173223360338441,0.311697638473445,0.579413607938271,121,FALSE,TRUE
"GSE87473","IBD","validation","ERBB_LIGANDS",106,21,FALSE,NA,NA,1.17247176735466,0.0624651754156543,0.984048713007862,0.311697638473445,0.00201202031709173,121,FALSE,TRUE
"GSE87473","IBD","validation","ERBB_RECEPTORS",106,21,FALSE,NA,NA,-1.31220491894465,0.0638320718883266,-0.334753986842768,0.311697638473446,0.284973077628147,121,FALSE,TRUE
"GSE87473","IBD","validation","FGFR_AXIS",106,21,FALSE,NA,NA,-0.182371096881846,0.0571839516823241,-0.0767774903493684,0.311697638473445,0.805851587419506,121,FALSE,TRUE
"GSE87473","IBD","validation","HGF_MET_AXIS",106,21,FALSE,NA,NA,1.39293035037872,0.064691808942278,0.721832509269683,0.311697638473445,0.0222520945269794,121,FALSE,TRUE
"GSE87473","IBD","validation","IGF_INSR_AXIS",106,21,FALSE,NA,NA,-0.477022038247529,0.057948876123253,-0.541417346048756,0.311697638473445,0.084932763188288,121,FALSE,TRUE
"GSE87473","IBD","validation","JAK_STAT",106,21,FALSE,NA,NA,1.90121920225641,0.0712838541943345,0.980112825827894,0.311697638473445,0.00209395287696824,121,FALSE,TRUE
"GSE87473","IBD","validation","PDGFR_KIT_CSF1R",106,21,FALSE,NA,NA,1.63885527969242,0.0676272092051502,0.485606395622391,0.311697638473445,0.121859084826298,121,FALSE,TRUE
"GSE87473","IBD","validation","PI3K_AKT",106,21,FALSE,NA,NA,0.579935245604522,0.0583771236197906,0.114429832916265,0.311697638473445,0.714172223619616,121,FALSE,TRUE
"GSE87473","IBD","validation","RAS_MAPK",106,21,FALSE,NA,NA,0.0841968675104843,0.0570809197749252,-0.0732676792319396,0.311697638473445,0.814559421942593,121,FALSE,TRUE
"GSE87473","IBD","validation","RET_ALK_NTRK",106,21,FALSE,NA,NA,-0.42754962454761,0.0577726897314301,0.693808914536647,0.311697638473445,0.0278724943676206,121,FALSE,TRUE
